year,nation,current_rating,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,gk,passing,defending
2002,Denmark,83.0,74.0,62.0,78.0,80.0,41.0,59.0,75.0,79.0,73.0,85.0,22.0,53.5,82.0
2002,Denmark,79.0,73.0,73.0,70.0,70.0,50.0,76.0,78.0,84.0,83.0,81.0,29.5,80.0,81.0
2002,Denmark,78.0,80.0,72.0,81.0,55.0,59.0,79.0,65.0,70.0,68.0,87.0,28.5,84.0,76.0
2002,Denmark,76.0,66.0,47.0,80.0,86.0,64.0,70.0,66.0,76.0,87.0,84.0,20.5,66.5,76.0
2002,Denmark,69.0,61.0,61.0,74.0,64.0,57.0,59.0,76.0,80.0,84.0,86.0,27.5,63.0,73.5
2002,Denmark,61.0,63.0,49.0,67.0,61.0,57.0,62.0,66.0,73.0,65.0,87.0,32.0,61.0,63.5
2002,Denmark,85.0,83.0,79.0,84.0,84.0,65.0,86.0,75.0,80.0,93.0,92.0,29.5,88.0,82.5
2002,Denmark,83.0,85.0,90.0,78.0,63.0,76.0,73.0,91.0,96.0,84.0,85.0,25.0,78.5,58.5
2002,Denmark,56,54,40,66,54.0,48,52,60,64,57,77.0,30.0,50.0,63.0
2002,Denmark,79.0,78.0,74.0,80.0,76.0,77.0,80.0,79.0,77.0,79.0,81.0,25.5,78.5,80.5
2002,Denmark,74.0,78.0,78.0,73.0,71.0,60.0,71.0,70.0,76.0,80.0,93.0,26.5,74.5,71.0
2002,Denmark,77.0,74.0,64.0,70.0,81.0,60.0,62.0,72.0,78.0,84.0,86.0,24.5,74.0,83.0
2002,Denmark,85.0,86.0,83.0,84.0,80.0,88.0,66.0,95.0,98.0,92.0,92.0,29.0,84.0,43.5
2002,Denmark,59.0,65.0,52.0,63.0,62.0,59.0,65.0,66.0,69.0,63.0,86.0,30.5,60.5,59.5
2002,Denmark,87.0,84.0,85.0,93.0,82.0,51.0,56.0,84.0,85.0,85.0,86.0,21.5,63.5,31.5
2002,Denmark,81.0,77.0,71.0,81.0,84.0,60.0,57.0,74.0,79.0,84.0,75.0,29.0,70.0,37.0
2002,Denmark,82.0,81.0,82.0,82.0,83.0,85.0,81.0,90.0,90.0,81.0,87.0,26.5,81.5,87.0
2002,Denmark,79.0,87.0,76.0,80.0,65.0,84.0,50.0,80.0,76.0,84.0,75.0,32.5,73.5,30.0
2002,Spain,94,25,35,95,95.0,29,85,80,68,95,95.0,94.0,43.5,49.0
2002,Spain,74.0,26.0,36.0,60.0,72.0,50.0,25.0,30.0,40.0,60.0,70.0,77.0,33.5,31.5
2002,Spain,61,31,40,76,84.0,42,36,60,75,48,86.0,59.0,37.5,30.0
2002,Spain,79,72,55,78,71.0,60,70,85,87,83,82.0,20.0,69.5,86.0
2002,Spain,85,85,80,85,74.0,60,60,86,93,76,95.0,30.0,65.0,45.0
2002,Spain,88,77,76,93,85.0,73,80,92,93,92,94.0,35.0,70.0,94.0
2002,Spain,75.0,72.0,52.0,60.0,60.0,55.0,74.0,62.0,62.0,55.0,75.0,26.5,60.0,77.5
2002,Spain,73,75,60,65,72.0,60,71,80,75,75,77.0,29.5,74.0,72.5
2002,Spain,82,69,46,78,73.0,60,66,70,78,80,71.0,28.0,67.5,82.5
2002,Spain,63,60,35,55,25.0,26,29,35,45,55,75.0,32.5,35.0,62.5
2002,Spain,85,88,83,85,84.0,87,81,77,86,84,92.0,20.0,83.0,81.5
2002,Spain,76.0,84.0,75.0,84.0,75.0,86.0,76.0,70.0,78.0,88.0,82.0,30.0,81.5,73.5
2002,Spain,83,80,71,90,88.0,75,77,78,85,83,94.0,27.0,75.5,91.0
2002,Spain,73,72,72,64,63.0,68,76,66,71,55,73.0,32.0,72.0,51.0
2002,Spain,91,93,95,90,93.0,97,85,87,86,90,80.0,26.0,94.0,68.5
2002,Spain,76.0,78.0,72.0,81.0,80.0,84.0,79.0,81.0,80.0,80.0,83.0,29.0,79.0,76.0
2002,Spain,86.0,88.0,82.0,85.0,80.0,85.0,84.0,85.0,85.0,87.0,90.0,23.5,87.5,82.5
2002,Spain,89.0,87.0,92.0,85.0,90.0,86.0,84.0,92.0,91.0,87.0,90.0,30.0,89.0,61.0
2002,Spain,90.0,93.0,90.0,94.0,82.0,85.0,71.0,94.0,91.0,88.0,89.0,32.0,81.5,50.0
2002,Spain,90,87,84,87,95.0,83,72,88,87,89,85.0,33.5,65.0,38.0
2002,Spain,87,89,92,90,80.0,85,69,72,73,75,75.0,26.5,84.5,55.0
2002,Spain,87,87,89,80,85.0,82,85,91,92,93,79.0,30.0,87.5,61.5
2002,Slovenia,67,65,64,70,52.0,33,62,68,75,59,73.0,28.0,64.5,62.0
2002,Slovenia,66,40,39,59,58.0,50,64,55,64,56,52.0,28.0,49.0,65.0
2002,Slovenia,56,50,62,60,59.0,52,65,54,55,51,63.0,20.5,57.5,58.0
2002,Slovenia,78.0,66.0,35.0,82.0,85.0,55.0,70.0,75.0,75.0,60.0,75.0,26.5,45.0,80.0
2002,Slovenia,64,64,64,70,68.0,68,59,61,62,59,64.0,28.0,67.0,63.0
2002,Slovenia,67.0,60.0,45.0,50.0,45.0,60.0,50.0,75.0,55.0,45.0,55.0,27.5,40.0,72.5
2002,Slovenia,76.0,80.0,71.0,76.0,66.0,80.0,72.0,60.0,60.0,77.0,76.0,24.5,72.0,49.0
2002,Slovenia,60.0,56.0,53.0,50.0,50.0,50.0,59.0,60.0,60.0,60.0,75.0,24.5,54.5,60.5
2002,Slovenia,72,57,59,64,60.0,60,40,65,35,69,82.0,35.0,38.0,74.0
2002,Slovenia,75.0,75.0,75.0,73.0,60.0,75.0,82.0,65.0,77.0,65.0,74.0,34.0,72.5,76.5
2002,Slovenia,53,62,35,62,64.0,60,55,75,80,58,78.0,33.5,45.0,52.5
2002,Slovenia,67,60,65,70,70.0,55,45,70,75,65,70.0,30.0,55.0,32.5
2002,Slovenia,67.0,70.0,66.0,78.0,70.0,70.0,64.0,65.0,79.0,68.0,77.0,29.5,67.5,63.0
2002,Slovenia,57,35,50,70,50.0,40,60,75,80,50,75.0,30.0,45.0,67.5
2002,Paraguay,75.0,23.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,21.0,72.5,21.0,25.5
2002,Paraguay,71,22,20,41,33.0,22,22,21,33,46,67.0,68.5,21.5,21.5
2002,Paraguay,64.0,43.0,50.0,55.0,64.0,59.0,28.0,55.0,57.0,55.0,62.0,30.5,54.5,77.0
2002,Paraguay,89,91,87,85,97.0,60,73,87,88,90,94.0,31.5,52.5,24.5
2002,Paraguay,74.0,40.0,40.0,50.0,74.0,30.0,40.0,55.0,75.0,45.0,70.0,27.0,47.5,81.0
2002,Paraguay,72,68,44,86,75.0,42,33,50,56,70,61.0,21.0,52.0,76.5
2002,Paraguay,57,63,51,52,48.0,40,44,56,50,52,63.0,26.5,50.5,41.5
2002,Paraguay,65.0,72.0,64.0,56.0,51.0,24.0,62.0,68.0,72.0,67.0,75.0,30.0,70.0,65.5
2002,Paraguay,74,75,73,69,69.0,71,80,75,69,61,68.0,24.0,82.5,70.0
2002,Paraguay,67.0,63.0,56.0,53.0,52.0,55.0,50.0,47.0,52.0,46.0,75.0,20.0,58.0,69.0
2002,Paraguay,77,58,54,76,75.0,33,36,66,74,64,85.0,33.0,41.5,78.5
2002,Paraguay,74,76,64,69,56.0,75,63,67,73,68,81.0,27.5,70.5,74.0
2002,Paraguay,64,60,65,70,60.0,62,70,65,65,60,77.0,26.0,50.0,65.0
2002,Paraguay,70,74,59,75,60.0,71,72,75,65,74,92.0,20.0,75.0,61.0
2002,Paraguay,70.0,75.0,70.0,75.0,65.0,73.0,72.0,67.0,77.0,74.0,81.0,27.0,76.0,67.0
2002,Paraguay,61.0,59.0,54.0,57.0,50.0,61.0,60.0,57.0,57.0,60.0,69.0,26.5,62.5,59.5
2002,Paraguay,57,59,48,72,64.0,47,48,68,68,48,77.0,25.5,57.5,55.5
2002,Paraguay,77.0,80.0,80.0,92.0,92.0,59.0,41.0,80.0,80.0,88.0,86.0,34.5,63.5,31.0
2002,Paraguay,74,60,50,70,80.0,40,63,65,70,50,70.0,29.5,82.5,80.0
2002,Paraguay,79,72,71,80,56.0,81,44,77,72,74,81.0,20.0,65.0,44.5
2002,Paraguay,69,70,66,65,52.0,55,76,61,36,39,44.0,23.5,67.5,34.5
2002,South Africa,58.0,29.0,35.0,48.0,30.0,20.0,32.0,35.0,35.0,25.0,75.0,61.0,35.0,33.0
2002,South Africa,91,23,34,84,87.0,22,35,68,62,83,82.0,91.5,23.0,27.0
2002,South Africa,62,53,45,69,62.0,60,53,60,66,51,77.0,30.5,45.5,63.5
2002,South Africa,73,48,48,66,75.0,41,26,65,64,79,79.0,26.0,39.0,75.5
2002,South Africa,68.0,68.0,63.0,70.0,68.0,69.0,57.0,69.0,70.0,70.0,69.0,27.0,62.0,68.5
2002,South Africa,76,82,73,73,70.0,58,79,81,83,66,61.0,30.5,80.5,73.0
2002,South Africa,70.0,66.0,62.0,74.0,78.0,43.0,42.0,68.0,71.0,73.0,81.0,26.0,55.0,67.5
2002,South Africa,62.0,43.0,46.0,56.0,51.0,53.0,43.0,65.0,48.0,56.0,71.0,26.5,43.0,65.5
2002,South Africa,65,55,64,62,60.0,36,38,75,80,62,69.0,31.0,40.5,28.5
2002,South Africa,75.0,75.0,77.0,78.0,75.0,66.0,73.0,76.0,82.0,74.0,86.0,29.5,71.0,73.0
2002,South Africa,60,58,56,57,58.0,54,59,60,61,61,77.0,22.5,61.0,62.0
2002,South Africa,62.0,72.0,67.0,47.0,49.0,44.0,47.0,62.0,61.0,55.0,52.0,24.0,67.0,42.0
2002,South Africa,44,65,35,65,53.0,60,55,65,65,65,60.0,26.0,35.0,40.0
2002,South Africa,60.0,64.0,62.0,64.0,57.0,60.0,59.0,83.0,80.0,73.0,86.0,28.0,56.5,34.5
2002,South Africa,68.0,69.0,65.0,65.0,65.0,70.0,45.0,85.0,91.0,65.0,81.0,28.0,67.5,31.5
2002,South Africa,73.0,85.0,75.0,75.0,70.0,76.0,78.0,72.0,65.0,73.0,94.0,26.5,71.0,61.5
2002,South Africa,48.0,63.0,65.0,62.0,60.0,50.0,52.0,75.0,83.0,55.0,61.0,28.5,35.0,29.0
2002,South Africa,81,72,77,82,78.0,85,72,87,88,87,84.0,27.5,83.5,67.0
2002,South Africa,69.0,76.0,63.0,68.0,45.0,58.0,68.0,65.0,70.0,76.0,74.0,29.5,67.5,58.0
2002,Brazil,69,68,72,66,69.0,69,70,77,77,74,73.0,24.5,64.0,60.0
2002,Brazil,90.0,38.0,31.0,77.0,84.0,26.0,24.0,60.0,62.0,65.0,83.0,89.0,28.5,27.5
2002,Brazil,85.0,46.0,31.0,80.0,74.0,42.0,29.0,26.0,20.0,30.0,85.0,83.5,39.0,28.5
2002,Brazil,93.0,85.0,70.0,93.0,95.0,70.0,50.0,95.0,88.0,90.0,95.0,31.0,59.0,94.5
2002,Brazil,40,29,41,44,41.0,45,54,64,63,44,76.0,22.5,36.0,37.5
2002,Brazil,71,73,65,57,55.0,74,54,70,67,54,63.0,33.5,68.5,41.0
2002,Brazil,87,92,89,92,92.0,86,87,92,95,95,96.0,26.5,85.5,89.5
2002,Brazil,84,79,74,80,61.0,70,80,80,85,82,88.0,34.0,80.5,87.5
2002,Brazil,66.0,46.0,40.0,66.0,53.0,41.0,57.0,65.0,61.0,45.0,80.0,26.5,47.5,68.0
2002,Brazil,68.0,72.0,75.0,83.0,70.0,64.0,66.0,70.0,87.0,72.0,90.0,28.0,74.5,77.5
2002,Brazil,84.0,86.0,76.0,81.0,78.0,77.0,88.0,62.0,67.0,63.0,73.0,30.5,81.0,49.0
2002,Brazil,89,92,94,87,86.0,86,86,87,90,85,94.0,24.0,88.5,91.5
2002,Brazil,84.0,91.0,92.0,84.0,80.0,93.0,86.0,68.0,74.0,76.0,75.0,24.5,84.5,54.0
2002,Brazil,93.0,97.0,95.0,84.0,93.0,96.0,91.0,95.0,93.0,94.0,89.0,27.0,90.0,57.5
2002,Brazil,83.0,83.0,87.0,84.0,74.0,74.0,77.0,71.0,82.0,73.0,85.0,30.0,73.0,86.5
2002,Brazil,65,68,72,75,73.0,70,68,72,75,71,72.0,20.0,65.0,65.0
2002,Brazil,80,78,90,85,80.0,92,78,82,84,88,85.0,28.5,78.0,65.5
2002,Brazil,92.0,95.0,95.0,88.0,81.0,97.0,91.0,97.0,90.0,92.0,84.0,23.5,89.0,61.0
2002,Brazil,67,60,75,60,60.0,60,60,85,90,60,80.0,26.5,51.5,47.5
2002,Brazil,89.0,90.0,92.0,87.0,90.0,92.0,82.0,89.0,92.0,94.0,93.0,29.5,87.0,59.5
2002,Brazil,80.0,87.0,87.0,79.0,47.0,82.0,50.0,82.0,83.0,78.0,68.0,20.0,75.0,31.0
2002,Brazil,82.0,81.0,78.0,78.0,79.0,70.0,67.0,67.0,70.0,75.0,79.0,20.0,71.5,32.0
2002,Turkey,82,20,35,75,75.0,40,39,70,64,50,83.0,80.0,37.5,31.5
2002,Turkey,64,33,35,40,33.0,29,25,57,64,61,61.0,54.5,35.0,34.0
2002,Turkey,49,51,48,54,53.0,44,61,50,44,42,49.0,24.0,49.0,49.0
2002,Turkey,76.0,55.0,40.0,75.0,75.0,40.0,40.0,70.0,70.0,75.0,85.0,22.0,47.5,80.0
2002,Turkey,46,56,35,46,45.0,44,46,35,50,28,65.0,28.0,35.0,40.5
2002,Turkey,78.0,54.0,56.0,63.0,58.0,37.0,58.0,62.0,68.0,74.0,64.0,20.0,59.5,79.5
2002,Turkey,74.0,65.0,65.0,74.0,72.0,70.0,80.0,75.0,71.0,75.0,72.0,27.5,80.0,75.0
2002,Turkey,66,75,65,60,49.0,55,77,55,85,65,86.0,28.5,65.0,55.0
2002,Turkey,63,65,67,64,64.0,62,65,62,75,62,75.0,28.5,63.5,63.5
2002,Turkey,85,91,88,78,58.0,85,81,88,85,81,61.0,34.0,87.0,50.5
2002,Turkey,71.0,74.0,72.0,74.0,75.0,72.0,68.0,74.0,76.0,71.0,78.0,24.5,72.0,72.0
2002,Turkey,77.0,85.0,80.0,70.0,80.0,75.0,75.0,55.0,55.0,75.0,70.0,29.0,77.5,57.5
2002,Turkey,62,55,65,70,75.0,45,52,60,65,60,82.0,28.0,65.0,64.5
2002,Turkey,82,92,89,75,95.0,80,94,84,85,74,92.0,25.5,91.0,63.0
2002,Turkey,72,75,75,70,63.0,80,70,45,45,65,70.0,28.0,75.0,57.5
2002,Turkey,71.0,67.0,79.0,78.0,68.0,70.0,60.0,71.0,75.0,74.0,65.0,30.5,70.0,45.0
2002,Turkey,81.0,78.0,81.0,82.0,75.0,75.0,57.0,74.0,81.0,78.0,81.0,23.0,76.5,45.0
2002,Turkey,80.0,90.0,90.0,70.0,70.0,80.0,80.0,75.0,70.0,75.0,80.0,29.5,75.0,67.5
2002,Turkey,84,80,83,79,88.0,80,75,90,90,80,86.0,31.5,77.5,53.0
2002,Turkey,71,76,69,69,73.0,77,50,77,78,76,76.0,20.5,65.0,52.0
2002,China,47,35,33,47,51.0,23,27,61,62,45,79.0,45.0,26.5,24.0
2002,China,70,64,64,81,80.0,41,32,72,74,80,81.0,28.5,61.0,76.5
2002,China,83,86,76,90,90.0,72,46,73,79,80,84.0,28.5,64.0,46.0
2002,China,63,63,64,63,61.0,63,65,62,60,63,63.0,24.5,64.0,60.5
2002,China,64,75,55,80,56.0,80,70,65,60,80,70.0,25.5,60.0,47.5
2002,China,73.0,75.0,64.0,73.0,62.0,25.0,47.0,67.0,71.0,44.0,84.0,35.5,44.0,73.5
2002,China,62,65,55,65,60.0,60,60,65,75,60,78.0,24.5,70.0,55.0
2002,China,60,45,70,70,70.0,75,65,70,60,40,65.0,22.0,67.5,67.5
2002,China,55.0,60.0,60.0,50.0,49.0,58.0,51.0,71.0,72.0,65.0,70.0,33.5,66.0,52.0
2002,China,59,70,49,62,58.0,71,60,65,65,62,56.0,28.5,65.0,40.0
2002,China,73,71,81,80,56.0,74,73,72,76,77,83.0,30.0,73.0,72.5
2002,China,71,71,66,79,90.0,49,47,74,72,91,82.0,21.0,70.0,55.0
2002,China,77,82,63,70,59.0,82,88,70,80,55,71.0,25.5,81.0,39.5
2002,China,69,76,62,71,45.0,41,43,65,62,76,80.0,32.0,55.0,41.5
2002,China,75,74,68,74,70.0,73,68,74,80,57,76.0,28.0,76.5,67.0
2002,China,66.0,70.0,71.0,71.0,66.0,68.0,68.0,60.0,63.0,66.0,60.0,20.0,65.0,62.5
2002,China,65.0,67.0,61.0,60.0,60.0,70.0,69.0,57.0,67.0,54.0,69.0,21.5,73.0,42.0
2002,China,70.0,70.0,72.0,67.0,65.0,70.0,61.0,84.0,72.0,74.0,60.0,39.5,62.0,24.5
2002,China,68,66,53,72,70.0,51,54,64,60,67,69.0,31.0,58.5,67.5
2002,China,71,70,56,68,50.0,64,44,71,77,71,74.0,32.0,53.0,83.0
2002,China,49,63,65,64,43.0,45,50,64,62,63,78.0,29.0,35.0,52.5
2002,Costa Rica,63,26,35,61,58.0,48,31,48,42,53,63.0,66.0,35.0,30.0
2002,Costa Rica,54,50,49,50,50.0,53,46,52,51,41,46.0,21.0,52.5,57.0
2002,Costa Rica,69,69,35,62,69.0,63,60,65,65,59,60.0,27.5,50.0,66.5
2002,Costa Rica,65,55,54,60,72.0,52,30,60,62,60,75.0,25.5,42.5,70.0
2002,Costa Rica,71.0,56.0,42.0,62.0,56.0,53.0,64.0,64.0,62.0,65.0,67.0,30.0,53.0,76.5
2002,Costa Rica,64.0,81.0,50.0,75.0,60.0,55.0,43.0,80.0,75.0,70.0,75.0,20.0,60.0,62.5
2002,Costa Rica,52,57,35,43,44.0,55,56,35,35,47,72.0,33.0,50.0,39.5
2002,Costa Rica,55,60,60,45,75.0,50,55,65,60,55,68.0,32.5,60.0,43.0
2002,Costa Rica,69.0,55.0,46.0,50.0,75.0,21.0,62.0,50.0,52.0,50.0,64.0,24.0,58.5,72.0
2002,Costa Rica,58,58,54,63,52.0,41,39,54,51,66,54.0,27.0,51.5,28.5
2002,Costa Rica,72,35,35,65,70.0,40,60,45,45,50,80.0,26.5,40.0,75.0
2002,Costa Rica,69.0,67.0,62.0,65.0,53.0,56.0,62.0,65.0,65.0,69.0,78.0,26.5,63.5,75.0
2002,Costa Rica,73.0,82.0,67.0,54.0,74.0,77.0,71.0,66.0,70.0,73.0,75.0,31.5,75.0,55.5
2002,Costa Rica,63,55,57,55,64.0,53,28,67,69,63,72.0,29.0,32.0,63.0
2002,Costa Rica,65.0,65.0,62.0,65.0,66.0,65.0,62.0,63.0,65.0,63.0,63.0,20.0,59.0,45.5
2002,Costa Rica,74.0,72.0,75.0,71.0,74.0,46.0,40.0,75.0,77.0,82.0,83.0,25.5,62.0,49.0
2002,Costa Rica,54,69,35,69,43.0,55,36,35,35,62,77.0,31.0,65.0,30.0
2002,Costa Rica,70.0,63.0,62.0,61.0,72.0,74.0,52.0,88.0,61.0,55.0,61.0,25.0,46.0,32.0
2002,Costa Rica,64.0,64.0,67.0,62.0,65.0,71.0,45.0,62.0,62.0,66.0,76.0,25.0,62.5,69.5
2002,Costa Rica,57,57,68,58,55.0,68,57,84,81,50,92.0,25.0,61.0,44.5
2002,South Korea,76,33,28,79,83.0,25,37,30,50,30,62.0,74.5,32.5,28.5
2002,South Korea,75,50,20,60,65.0,20,32,60,20,40,80.0,77.0,28.5,29.5
2002,South Korea,71,30,40,60,65.0,30,30,20,50,49,50.0,68.5,31.0,27.5
2002,South Korea,67,70,65,70,68.0,55,65,65,62,60,74.0,24.0,57.5,70.0
2002,South Korea,74,69,55,75,75.0,50,65,68,64,72,80.0,27.5,54.0,73.0
2002,South Korea,74,65,28,77,66.0,30,32,62,72,64,74.0,32.0,40.5,82.5
2002,South Korea,67,71,30,60,58.0,24,31,69,36,51,66.0,26.0,26.0,71.5
2002,South Korea,75.0,61.0,63.0,86.0,77.0,52.0,65.0,65.0,55.0,88.0,68.0,30.5,65.5,76.5
2002,South Korea,67,64,64,80,75.0,61,62,75,71,61,75.0,21.5,66.0,69.5
2002,South Korea,74,65,66,77,74.0,55,60,65,80,76,88.0,26.0,62.0,84.5
2002,South Korea,63,59,64,50,80.0,46,59,65,60,46,80.0,29.0,69.5,65.0
2002,South Korea,79,86,80,76,75.0,65,75,80,85,80,74.0,24.5,75.0,78.5
2002,South Korea,68,60,40,75,65.0,60,65,75,75,77,87.0,20.0,55.0,70.0
2002,South Korea,72,74,66,69,70.0,84,64,65,59,71,57.0,20.5,73.5,30.0
2002,South Korea,67,70,35,80,40.0,72,70,65,89,60,60.0,20.0,50.0,77.5
2002,South Korea,77,80,80,70,74.0,70,70,81,85,80,81.0,29.5,80.0,77.5
2002,South Korea,75,77,74,71,73.0,64,60,80,75,77,84.0,27.5,73.0,76.0
2002,South Korea,72,74,71,68,70.0,76,56,81,72,80,68.0,23.5,74.5,50.0
2002,South Korea,66,62,67,61,65.0,66,48,60,62,62,68.0,34.5,69.0,61.5
2002,South Korea,65,72,71,62,65.0,75,56,65,64,69,70.0,28.0,65.0,50.0
2002,South Korea,68,71,66,66,72.0,70,62,68,79,70,76.0,30.0,62.0,50.0
2002,South Korea,74,88,77,56,63.0,61,55,86,76,82,72.0,23.5,58.5,70.0
2002,Poland,83.0,25.0,22.0,60.0,76.0,20.0,23.0,65.0,75.0,45.0,90.0,86.5,28.5,29.0
2002,Poland,67.0,23.0,35.0,60.0,60.0,40.0,24.0,35.0,35.0,60.0,50.0,72.5,35.0,32.5
2002,Poland,54,50,65,40,39.0,50,50,25,35,50,40.0,27.5,50.0,42.5
2002,Poland,71.0,63.0,41.0,70.0,58.0,50.0,58.0,65.0,58.0,76.0,84.0,31.0,48.0,69.5
2002,Poland,74.0,61.0,54.0,81.0,75.0,68.0,68.0,61.0,58.0,72.0,80.0,21.5,53.5,79.0
2002,Poland,73.0,71.0,56.0,58.0,59.0,65.0,69.0,67.0,69.0,58.0,73.0,30.5,73.0,74.5
2002,Poland,72.0,70.0,59.0,69.0,71.0,77.0,69.0,64.0,77.0,68.0,89.0,22.5,67.5,73.0
2002,Poland,64.0,35.0,35.0,62.0,36.0,40.0,47.0,35.0,35.0,62.0,67.0,28.0,35.0,66.5
