year,nation,Fullname,birth_date,N_name
2002,Costa Rica,Gilberto Martínez,1979.10.01,gilbertomartinez
2002,Costa Rica,Daniel Vallejos,1981.05.27,danielvallejos
2002,Costa Rica,Juan José Rodríguez,1967.06.23,juanjoserodriguez
2002,Costa Rica,Harold Wallace,1975.09.07,haroldwallace
2002,Costa Rica,Pablo Chinchilla,1978.12.21,pablochinchilla
2002,Costa Rica,Carlos Castro,1978.09.10,carloscastro
2002,Costa Rica,Wílmer López,1971.03.08,wilmerlopez
2002,Costa Rica,Mauricio Solís,1972.12.13,mauriciosolis
2002,Costa Rica,Walter Centeno,1974.10.06,waltercenteno
2002,Costa Rica,Hernán Medford,1968.05.23,hernanmedford
2002,Costa Rica,Rodrigo Cordero,1973.12.04,rodrigocordero
2002,Costa Rica,Rolando Fonseca,1974.06.06,rolandofonseca
2002,Costa Rica,Paulo Wanchope,1976.07.31,paulowanchope
2002,Costa Rica,Rónald Gómez,1975.01.24,ronaldgomez
2002,Costa Rica,Winston Parks,1981.10.12,winstonparks
2002,Costa Rica,Steven Bryce,1977.08.16,stevenbryce
2002,Costa Rica,William Sunsing,1977.05.12,williamsunsing
2002,South Korea,Lee Woon-jae,1973.04.26,leewoonjae
2002,South Korea,Kim Byung-ji,1970.04.08,kimbyungji
2002,South Korea,Choi Eun-sung,1971.04.05,choieunsung
2002,South Korea,Hyun Young-min,1979.12.25,hyunyoungmin
2002,South Korea,Choi Jin-cheul,1971.03.26,choijincheul
2002,South Korea,Kim Tae-young,1970.11.08,kimtaeyoung
2002,South Korea,Lee Min-sung,1973.06.23,leeminsung
2002,South Korea,Hong Myung-bo,1969.02.12,hongmyungbo
2002,South Korea,Choi Sung-yong,1975.12.25,choisungyong
2002,South Korea,Kim Nam-il,1977.03.14,kimnamil
2002,South Korea,Yoo Sang-chul,1971.10.18,yoosangchul
2002,South Korea,Lee Young-pyo,1977.04.23,leeyoungpyo
2002,South Korea,Lee Eul-yong,1975.09.08,leeeulyong
2002,South Korea,Yoon Jong-hwan,1973.02.16,yoonjonghwan
2002,South Korea,Ahn Jung-hwan,1976.01.27,ahnjunghwan
2002,South Korea,Park Ji-sung,1981.02.25,parkjisung
2002,South Korea,Song Chong-gug,1979.02.20,songchonggug
2002,South Korea,Choi Tae-uk,1981.03.13,choitaeuk
2002,South Korea,Seol Ki-hyeon,1979.01.08,seolkihyeon
2002,South Korea,Choi Yong-soo,1973.09.10,choiyongsoo
2002,South Korea,Lee Chun-soo,1981.07.09,leechunsoo
2002,South Korea,Cha Du-ri,1980.07.25,chaduri
2002,South Korea,Hwang Sun-hong,1968.07.14,hwangsunhong
2002,Poland,Jerzy Dudek,1973.03.23,jerzydudek
2002,Poland,Radosław Majdan,1972.05.10,radosławmajdan
2002,Poland,Adam Matysek,1968.07.19,adammatysek
2002,Poland,Tomasz Kłos,1973.03.07,tomaszkłos
2002,Poland,Jacek Zieliński,1967.10.10,jacekzielinski
2002,Poland,Michał Żewłakow,1976.04.22,michałzewłakow
2002,Poland,Tomasz Rząsa,1973.03.11,tomaszrzasa
2002,Poland,Tomasz Hajto,1972.10.16,tomaszhajto
2002,Poland,Arkadiusz Głowacki,1979.03.13,arkadiuszgłowacki
2002,Poland,Tomasz Wałdoch,1971.05.10,tomaszwałdoch
2002,Poland,Maciej Murawski,1974.02.20,maciejmurawski
2002,Poland,Jacek Bąk,1973.03.24,bakjacek
2002,Poland,Piotr Świerczewski,1972.04.08,piotrswierczewski
2002,Poland,Radosław Kałużny,1974.02.02,radosławkałuzny
2002,Poland,Arkadiusz Bąk,1974.10.06,bakarkadiusz
2002,Poland,Jacek Krzynówek,1976.05.15,jacekkrzynowek
2002,Poland,Marek Koźmiński,1971.02.07,marekkozminski
2002,Poland,Paweł Sibik,1971.02.15,pawełsibik
2002,Poland,Cezary Kucharski,1972.02.17,cezarykucharski
2002,Poland,Paweł Kryszałowicz,1974.06.23,pawełkryszałowicz
2002,Poland,Emmanuel Olisadebe,1978.12.22,emmanuelolisadebe
2002,Poland,Marcin Żewłakow,1976.04.22,marcinzewłakow
2002,Poland,Maciej Żurawski,1976.09.12,maciejzurawski
2002,United States,Brad Friedel,1971.05.08,bradfriedel
2002,United States,Kasey Keller,1969.11.29,kaseykeller
2002,United States,Tony Meola,1969.02.21,tonymeola
2002,United States,Gregg Berhalter,1973.08.01,greggberhalter
2002,United States,Pablo Mastroeni,1976.08.29,pablomastroeni
2002,United States,David Regis,1968.12.02,davidregis
2002,United States,Jeff Agoos,1968.05.02,jeffagoos
2002,United States,Steve Cherundolo,1979.02.19,stevecherundolo
2002,United States,Carlos Llamosa,1969.06.30,carlosllamosa
2002,United States,Tony Sanneh,1971.06.01,tonysanneh
2002,United States,Eddie Pope,1973.12.24,eddiepope
2002,United States,Frankie Hejduk,1974.08.05,frankiehejduk
2002,United States,John O'Brien,1977.08.29,johno'brien
2002,United States,Eddie Lewis,1974.05.17,eddielewis
2002,United States,Earnie Stewart,1969.03.28,earniestewart
2002,United States,Claudio Reyna,1973.07.20,claudioreyna
2002,United States,Cobi Jones,1970.06.16,cobijones
2002,United States,DaMarcus Beasley,1982.05.24,damarcusbeasley
2002,United States,Joe-Max Moore,1971.02.23,joemaxmoore
2002,United States,Clint Mathis,1976.11.25,clintmathis
2002,United States,Josh Wolff,1977.02.25,joshwolff
2002,United States,Brian McBride,1972.06.19,brianmcbride
2002,United States,Landon Donovan,1982.03.04,landondonovan
2002,Portugal,Vítor Baía,1969.10.15,vitorbaia
2002,Portugal,Nélson Pereira,1975.10.20,nelsonpereira
2002,Portugal,Ricardo,1976.02.11,ricardo
2002,Portugal,Jorge Costa,1971.10.14,jorgecosta
2002,Portugal,Abel Xavier,1972.11.30,abelxavier
2002,Portugal,Marco Caneira,1979.02.09,marcocaneira
2002,Portugal,Fernando Couto,1969.08.02,fernandocouto
2002,Portugal,Jorge Andrade,1978.04.09,jorgeandrade
2002,Portugal,Nuno Frechaut,1977.09.24,nunofrechaut
2002,Portugal,Beto,1976.05.03,beto
2002,Portugal,Rui Jorge,1973.03.27,ruijorge
2002,Portugal,Paulo Sousa,1970.08.30,paulosousa
2002,Portugal,Luís Figo,1972.11.04,luisfigo
2002,Portugal,Rui Costa,1972.03.29,ruicosta
2002,Portugal,Sérgio Conceição,1974.11.15,sergioconceicao
2002,Portugal,Hugo Viana,1983.01.15,hugoviana
2002,Portugal,Pedro Barbosa,1970.08.06,pedrobarbosa
2002,Portugal,Paulo Bento,1969.06.20,paulobento
2002,Portugal,Capucho,1972.02.21,capucho
2002,Portugal,Petit,1976.09.25,petit
2002,Portugal,João Pinto,1971.08.19,joaopinto
2002,Portugal,Pauleta,1973.04.28,pauleta
2002,Portugal,Nuno Gomes,1976.07.05,nunogomes
2002,Germany,Oliver Kahn,1969.06.15,oliverkahn
2002,Germany,Jens Lehmann,1969.11.10,jenslehmann
2002,Germany,Hans-Jörg Butt,1974.05.28,hansjorgbutt
2002,Germany,Thomas Linke,1969.12.26,thomaslinke
2002,Germany,Marko Rehmer,1972.04.29,markorehmer
2002,Germany,Frank Baumann,1975.10.29,frankbaumann
2002,Germany,Christian Ziege,1972.02.01,christianziege
2002,Germany,Sebastian Kehl,1980.02.13,sebastiankehl
2002,Germany,Christoph Metzelder,1980.11.05,christophmetzelder
2002,Germany,Carsten Ramelow,1974.03.20,carstenramelow
2002,Germany,Dietmar Hamann,1973.08.27,dietmarhamann
2002,Germany,Lars Ricken,1976.07.10,larsricken
2002,Germany,Michael Ballack,1976.09.26,michaelballack
2002,Germany,Jens Jeremies,1974.03.05,jensjeremies
2002,Germany,Marco Bode,1969.07.23,marcobode
2002,Germany,Jörg Böhme,1974.01.22,jorgbohme
2002,Germany,Bernd Schneider,1973.11.17,berndschneider
2002,Germany,Torsten Frings,1976.11.22,torstenfrings
2002,Germany,Oliver Neuville,1973.05.01,oliverneuville
2002,Germany,Carsten Jancker,1974.08.28,carstenjancker
2002,Germany,Miroslav Klose,1978.06.09,miroslavklose
2002,Germany,Gerald Asamoah,1978.10.03,geraldasamoah
2002,Germany,Oliver Bierhoff,1968.05.01,oliverbierhoff
2002,Saudi Arabia,Mohamed Al-Deayea,1972.08.02,mohamedaldeayea
2002,Saudi Arabia,Mabrouk Zaid,1979.02.11,mabroukzaid
2002,Saudi Arabia,Mohammed Al-Khojali,1973.01.15,mohammedalkhojali
2002,Saudi Arabia,Mohammed Al-Jahani,1974.09.28,mohammedaljahani
2002,Saudi Arabia,Redha Tukar,1975.11.29,redhatukar
2002,Saudi Arabia,Abdullah Zubromawi,1973.11.15,abdullahzubromawi
2002,Saudi Arabia,Mohsin Al-Harthi,1976.07.17,mohsinalharthi
2002,Saudi Arabia,Fouzi Al-Shehri,1980.05.15,fouzialshehri
2002,Saudi Arabia,Ahmed Dokhi,1976.10.25,ahmeddokhi
2002,Saudi Arabia,Hussein Sulaimani,1977.01.21,husseinsulaimani
2002,Saudi Arabia,Mansour Al-Thagafi,1979.01.14,mansouralthagafi
2002,Saudi Arabia,Ibrahim Al-Shahrani,1974.07.21,ibrahimalshahrani
2002,Saudi Arabia,Mohammed Noor,1978.02.26,mohammednoor
2002,Saudi Arabia,Mohammad Al-Shalhoub,1980.12.08,mohammadalshalhoub
2002,Saudi Arabia,Abdulaziz Khathran,1973.07.31,abdulazizkhathran
2002,Saudi Arabia,Khamis Al-Dosari,1973.09.08,khamisaldosari
2002,Saudi Arabia,Abdullah Al-Waked,1975.09.29,abdullahalwaked
2002,Saudi Arabia,Nawaf Al-Temyat,1976.06.28,nawafaltemyat
2002,Saudi Arabia,Omar Al-Ghamdi,1979.04.11,omaralghamdi
2002,Saudi Arabia,Sami Al-Jaber,1972.12.11,samialjaber
2002,Saudi Arabia,Obeid Al-Dosari,1975.10.02,obeidaldosari
2002,Saudi Arabia,Abdullah Al-Dosari,1977.11.10,abdullahaldosari
2002,Saudi Arabia,Al Hasan Al-Yami,1972.08.21,alhasanalyami
2002,Republic of Ireland,Shay Given,1976.04.20,shaygiven
2002,Republic of Ireland,Dean Kiely,1970.10.10,deankiely
2002,Republic of Ireland,Alan Kelly,1968.08.11,alankelly
2002,Republic of Ireland,Steve Finnan,1976.04.24,stevefinnan
2002,Republic of Ireland,Ian Harte,1977.08.31,ianharte
2002,Republic of Ireland,Kenny Cunningham,1971.06.28,kennycunningham
2002,Republic of Ireland,Steve Staunton,1969.01.19,stevestaunton
2002,Republic of Ireland,Gary Breen,1973.12.12,garybreen
2002,Republic of Ireland,Richard Dunne,1979.09.21,richarddunne
2002,Republic of Ireland,Gary Kelly,1974.07.09,garykelly
2002,Republic of Ireland,Andrew O'Brien,1979.06.29,andrewo'brien
2002,Republic of Ireland,Roy Keane,1971.08.10,roykeane
2002,Republic of Ireland,Jason McAteer,1971.06.18,jasonmcateer
2002,Republic of Ireland,Matt Holland,1974.04.11,mattholland
2002,Republic of Ireland,Damien Duff,1979.03.02,damienduff
2002,Republic of Ireland,Kevin Kilbane,1977.02.01,kevinkilbane
2002,Republic of Ireland,Mark Kinsella,1972.08.12,markkinsella
2002,Republic of Ireland,Steven Reid,1981.03.10,stevenreid
2002,Republic of Ireland,Lee Carsley,1974.02.28,leecarsley
2002,Republic of Ireland,Robbie Keane,1980.07.08,robbiekeane
2002,Republic of Ireland,David Connolly,1977.06.06,davidconnolly
2002,Republic of Ireland,Niall Quinn,1966.10.06,niallquinn
2002,Republic of Ireland,Clinton Morrison,1979.05.14,clintonmorrison
2002,Cameroon,Alioum Boukar,1972.01.03,alioumboukar
2002,Cameroon,Jacques Songo'o,1964.03.17,jacquessongo'o
2002,Cameroon,Carlos Kameni,1984.02.18,carloskameni
2002,Cameroon,Pierre Womé,1979.03.26,pierrewome
2002,Cameroon,Rigobert Song,1976.07.01,rigobertsong
2002,Cameroon,Raymond Kalla,1975.04.22,raymondkalla
2002,Cameroon,Pierre Njanka,1975.03.15,pierrenjanka
2002,Cameroon,Geremi,1978.12.20,geremi
2002,Cameroon,Lucien Mettomo,1977.04.19,lucienmettomo
2002,Cameroon,Bill Tchato,1975.05.14,billtchato
2002,Cameroon,Joseph N'Do,1976.04.28,josephn'do
2002,Cameroon,Lauren,1977.01.19,lauren
2002,Cameroon,Joël Epalle,1978.02.20,joelepalle
2002,Cameroon,Nicolas Alnoudji,1979.12.09,nicolasalnoudji
2002,Cameroon,Marc-Vivien Foé,1975.05.01,marcvivienfoe
2002,Cameroon,Eric Djemba-Djemba,1981.05.04,ericdjembadjemba
2002,Cameroon,Salomon Olembé,1980.12.08,salomonolembe
2002,Cameroon,Daniel Kome,1980.05.19,danielkome
2002,Cameroon,Samuel Eto'o,1981.03.10,samueleto'o
2002,Cameroon,Patrick M'Boma,1970.11.15,patrickm'boma
2002,Cameroon,Pius Ndiefi,1975.07.05,piusndiefi
2002,Cameroon,Patrick Suffo,1978.01.17,patricksuffo
2002,Cameroon,Joseph-Désiré Job,1977.12.01,josephdesirejob
2002,Argentina,Germán Burgos,1969.04.16,germanburgos
2002,Argentina,Pablo Cavallero,1974.04.13,pablocavallero
2002,Argentina,Roberto Bonano,1970.01.24,robertobonano
2002,Argentina,Roberto Ayala,1973.04.14,robertoayala
2002,Argentina,Juan Pablo Sorín,1976.05.05,juanpablosorin
