,년도,국가,포지션,등번호,한글 성명,로마자 성명,생년월일,소속팀
22,2002,세네갈,FW,18,파페 티아우,Pape Thiaw,1981.02.05,RC 스트라스부르
23,2002,우루과이,GK,1,파비안 카리니,Fabián Carini,1979.12.26,유벤투스 FC
24,2002,우루과이,GK,12,구스타보 무누아,Gustavo Munúa,1978.01.27,클루브 나시오날 데 푸트볼
25,2002,우루과이,GK,23,페데리코 엘두아이옌,Federico Elduayen,1977.06.25,CA 페냐롤
26,2002,우루과이,DF,2,구스타보 멘데스,Gustavo Méndez,1971.02.03,클루브 나시오날 데 푸트볼
27,2002,우루과이,DF,3,알레한드로 렘보,Alejandro Lembo,1978.02.15,클루브 나시오날 데 푸트볼
28,2002,우루과이,DF,4,파올로 몬테로,Paolo Montero,1971.09.03,유벤투스 FC
29,2002,우루과이,DF,6,다리오 로드리게스,Darío Rodríguez,1974.09.17,CA 페냐롤
30,2002,우루과이,DF,14,곤살로 소론도,Gonzalo Sorondo,1979.10.09,FC 인테르나치오날레 밀라노
31,2002,우루과이,DF,19,조 비세라,Joe Bizera,1980.05.17,CA 페냐롤
32,2002,우루과이,MF,5,파블로 가르시아,Pablo García,1977.05.11,베네치아 FC
33,2002,우루과이,MF,7,지아니 기구,Gianni Guigou,1975.02.22,AS 로마
34,2002,우루과이,MF,10,파비안 오닐,Fabián O'Neill,1973.10.14,AC 페루자
35,2002,우루과이,MF,16,마르셀로 로메로,Marcelo Romero,1976.07.04,말라가 CF
36,2002,우루과이,MF,17,마리오 레게이로,Mario Regueiro,1978.09.14,라싱 데 산탄데르
37,2002,우루과이,MF,20,알바로 레코바,Álvaro Recoba,1976.03.17,FC 인테르나치오날레 밀라노
38,2002,우루과이,MF,22,곤살로 데로스산토스,Gonzalo de los Santos,1976.07.19,발렌시아 CF
39,2002,우루과이,FW,8,구스타보 바렐라,Gustavo Varela,1978.05.14,클루브 나시오날 데 푸트볼
40,2002,우루과이,FW,9,다리오 실바,Darío Silva,1972.11.02,말라가 CF
41,2002,우루과이,FW,11,페데리코 마가야네스,Federico Magallanes,1976.08.22,베네치아 FC
42,2002,우루과이,FW,13,세바스티안 아브레우,Sebastián Abreu,1976.10.17,CD 크루스 아술
43,2002,우루과이,FW,15,니콜라스 올리베이라,Nicolás Olivera,1978.05.30,세비야 FC
44,2002,우루과이,FW,18,리카르드 모랄레스,Richard Morales,1975.02.21,클루브 나시오날 데 푸트볼
45,2002,우루과이,FW,21,디에고 포를란,Diego Forlán,1979.05.19,맨체스터 유나이티드 FC
46,2002,덴마크,GK,1,토마스 쇠렌센,Thomas Sørensen,1976.06.12,선덜랜드 AFC
47,2002,덴마크,GK,16,페테르 키예르,Peter Kjær,1965.11.05,애버딘 FC
48,2002,덴마크,GK,22,예스페르 크리스티안센,Jesper Christiansen,1978.04.24,바일레 BK
49,2002,덴마크,DF,3,레네 헨릭센,René Henriksen,1969.08.27,파나티나이코스 FC
50,2002,덴마크,DF,4,마르틴 라우르센,Martin Laursen,1977.07.26,AC 밀란
51,2002,덴마크,DF,5,얀 헤인체,Jan Heintze,1963.08.17,PSV 에인트호번
52,2002,덴마크,DF,6,토마스 헬베그,Thomas Helveg,1971.06.24,AC 밀란
53,2002,덴마크,DF,12,니클라스 옌센,Niclas Jensen,1974.08.17,맨체스터 시티 FC
54,2002,덴마크,DF,13,스테벤 루스튀,Steven Lustü,1971.04.13,륀 포트발
55,2002,덴마크,DF,20,카스페르 뵈겔룬,Kasper Bøgelund,1980.10.08,PSV 에인트호번
56,2002,덴마크,MF,2,스티그 퇴프팅,Stig Tøfting,1969.08.14,볼턴 원더러스 FC
57,2002,덴마크,MF,7,토마스 그라베센,Thomas Gravesen,1976.03.11,에버튼 FC
58,2002,덴마크,MF,8,예스페르 그룅키에르,Jesper Grønkjær,1977.08.12,첼시 FC
59,2002,덴마크,MF,10,마르틴 예르겐센,Martin Jørgensen,1975.10.06,우디네세 칼초
60,2002,덴마크,MF,14,클라우스 옌센,Claus Jensen,1977.04.29,찰턴 애슬레틱 FC
61,2002,덴마크,MF,15,얀 미카엘센,Jan Michaelsen,1970.11.28,파나티나이코스 FC
62,2002,덴마크,MF,17,크리스티안 폴센,Christian Poulsen,1980.02.28,FC 코펜하겐
63,2002,덴마크,MF,19,데니스 롬메달,Dennis Rommedahl,1978.07.22,PSV 에인트호번
64,2002,덴마크,MF,23,브리안 스틸 닐센,Brian Steen Nielsen,1968.12.28,말뫼 FF
65,2002,덴마크,FW,9,욘 달 토마손,Jon Dahl Tomasson,1976.08.29,페예노르트 로테르담
66,2002,덴마크,FW,11,에베 산,Ebbe Sand,1972.07.19,FC 샬케 04
67,2002,덴마크,FW,18,페테르 뢰벤크란츠,Peter Løvenkrands,1980.01.29,레인저스 FC
68,2002,덴마크,FW,21,페테르 마센,Peter Madsen,1978.04.26,브뢴뷔 IF
69,2002,스페인,GK,1,이케르 카시야스,Iker Casillas,1981.05.20,레알 마드리드 CF
70,2002,스페인,GK,13,리카르도 로페스,Ricardo,1971.12.30,레알 바야돌리드 CF
71,2002,스페인,GK,23,페드로 콘트레라스,Pedro Contreras,1972.01.07,말라가 CF
72,2002,스페인,DF,2,쿠로 토레스,Curro Torres,1976.12.27,발렌시아 CF
73,2002,스페인,DF,3,후안프란,Juanfran,1976.07.15,RC 셀타 데 비고
74,2002,스페인,DF,5,카를레스 푸욜,Carles Puyol,1978.04.13,FC 바르셀로나
75,2002,스페인,DF,6,페르난도 이에로,Fernando Hierro,1968.03.23,레알 마드리드 CF
76,2002,스페인,DF,15,엔리케 로메로,Enrique Romero,1971.06.23,데포르티보 라 코루냐
77,2002,스페인,DF,20,미겔 앙헬 나달,Miguel Ángel Nadal,1966.07.28,RCD 마요르카
78,2002,스페인,MF,4,이반 엘게라,Iván Helguera,1975.03.18,레알 마드리드 CF
79,2002,스페인,MF,8,루벤 바라하,Rubén Baraja,1975.07.11,발렌시아 CF
80,2002,스페인,MF,11,하비에르 데페드로,Javier de Pedro,1973.08.04,레알 소시에다드
81,2002,스페인,MF,14,다비드 알벨다,David Albelda,1977.09.01,발렌시아 CF
82,2002,스페인,MF,16,가이스카 멘디에타,Gaizka Mendieta,1974.03.27,SS 라치오
83,2002,스페인,MF,17,후안 카를로스 발레론,Juan Carlos Valerón,1975.06.17,데포르티보 라 코루냐
84,2002,스페인,MF,18,세르히오 곤살레스,Sergio,1976.11.10,데포르티보 라 코루냐
85,2002,스페인,MF,19,사비 에르난데스,Xavi,1980.01.25,FC 바르셀로나
86,2002,스페인,MF,21,루이스 엔리케,Luis Enrique,1970.05.08,FC 바르셀로나
87,2002,스페인,MF,22,호아킨,Joaquín,1981.07.21,레알 베티스
88,2002,스페인,FW,7,라울 곤살레스,Raúl,1977.06.27,레알 마드리드 CF
89,2002,스페인,FW,9,페르난도 모리엔테스,Fernando Morientes,1976.04.05,레알 마드리드 CF
90,2002,스페인,FW,10,디에고 트리스탄,Diego Tristán,1976.01.05,데포르티보 라 코루냐
91,2002,스페인,FW,12,알베르트 루케,Albert Luque,1978.03.11,RCD 마요르카
92,2002,슬로베니아,GK,1,마르코 시메우노비치,Marko Simeunovič,1967.12.06,NK 마리보르
93,2002,슬로베니아,GK,12,믈라덴 다바노비치,Mladen Dabanovič,1971.09.13,KSC 로케런
94,2002,슬로베니아,GK,22,데얀 네메츠,Dejan Nemec,1977.03.01,클뤼프 브뤼허 KV
95,2002,슬로베니아,DF,2,고란 산코비치,Goran Sankovič,1979.06.18,SK 슬라비아 프라하
96,2002,슬로베니아,DF,3,젤코 밀리노비치,Željko Milinovič,1969.10.12,제프 유나이티드 이치하라 지바
97,2002,슬로베니아,DF,4,무아메르 부그달리치,Muamer Vugdalić,1977.08.25,NK 마리보르
98,2002,슬로베니아,DF,5,마린코 갈리치,Marinko Galič,1970.04.22,FC 코페르
99,2002,슬로베니아,DF,6,알렉산데르 크나브스,Aleksander Knavs,1975.12.05,1. FC 카이저슬라우테른
100,2002,슬로베니아,DF,14,사샤 가이세르,Saša Gajser,1974.02.11,KAA 헨트
101,2002,슬로베니아,DF,19,아미르 카리치,Amir Karić,1973.12.31,NK 마리보르
102,2002,슬로베니아,DF,23,스파소예 불라이치,Spasoje Bulajič,1975.11.24,1. FC 쾰른
103,2002,슬로베니아,MF,7,조니 노바크,Džoni Novak,1969.09.04,SpVgg 운터하힝
104,2002,슬로베니아,MF,8,알레시 체흐,Aleš Čeh,1968.04.07,그라츠 AK
105,2002,슬로베니아,MF,10,즐라트코 자호비치,Zlatko Zahovič,1971.02.01,SL 벤피카
106,2002,슬로베니아,MF,11,미란 파블린,Miran Pavlin,1971.10.08,FC 포르투
107,2002,슬로베니아,MF,15,라이코 타브챠르,Rajko Tavčar,1974.07.21,1. FC 뉘른베르크
108,2002,슬로베니아,MF,17,조란 파블로비치,Zoran Pavlović,1976.06.27,FK 아우스트리아 빈
109,2002,슬로베니아,MF,20,나스탸 체흐,Nastja Čeh,1978.01.26,클뤼프 브뤼허 KV
110,2002,슬로베니아,FW,9,밀란 오스테르츠,Milan Osterc,1975.07.04,하포엘 텔아비브 FC
111,2002,슬로베니아,FW,13,믈라덴 루도냐,Mladen Rudonja,1971.07.26,포츠머스 FC
112,2002,슬로베니아,FW,16,세나드 티가니,Senad Tiganj,1975.08.28,NK 올림피야 류블랴나
113,2002,슬로베니아,FW,18,밀렌코 아치모비치,Milenko Ačimovič,1977.02.15,FK 츠르베나 즈베즈다
114,2002,슬로베니아,FW,21,세바스티안 치미로티치,Sebastjan Cimirotič,1974.09.14,US 레체
115,2002,파라과이,GK,1,호세 루이스 칠라베르트,José Luis Chilavert,1965.07.27,RC 스트라스부르
116,2002,파라과이,GK,12,후스토 비야르,Justo Villar,1977.06.30,클루브 리베르타드
117,2002,파라과이,GK,22,리카르도 타바렐리,Ricardo Tavarelli,1970.08.02,클루브 올림피아
118,2002,파라과이,DF,2,프란시스코 아르세,Francisco Arce,1971.04.02,SE 파우메이라스
119,2002,파라과이,DF,3,페드로 사라비아,Pedro Sarabia,1975.07.05,CA 리버 플레이트
120,2002,파라과이,DF,4,카를로스 가마라,Carlos Gamarra,1971.02.17,AEK 아테네 FC
121,2002,파라과이,DF,5,셀소 아얄라,Celso Ayala,1970.08.20,CA 리버 플레이트
122,2002,파라과이,DF,17,후안 카를로스 프랑코,Juan Carlos Franco,1973.04.17,클루브 올림피아
123,2002,파라과이,DF,18,훌리오 세사르 카세레스,Julio César Cáceres,1979.10.05,클루브 올림피아
124,2002,파라과이,DF,19,다니엘 사라비아,Daniel Sarabia,1977.02.08,클루브 리베르타드
125,2002,파라과이,DF,21,데니스 카니사,Denis Caniza,1974.08.29,산토스 라구나
126,2002,파라과이,MF,6,에스타니슬라오 스트루와이,Estanislao Struway,1968.06.25,클루브 리베르타드
127,2002,파라과이,MF,8,기도 알바렝가,Guido Alvarenga,1970.08.24,클루브 레온
128,2002,파라과이,MF,10,로베르토 아쿠냐,Roberto Acuña,1972.03.25,레알 사라고사
129,2002,파라과이,MF,13,카를로스 파레데스,Carlos Paredes,1976.07.16,FC 포르투
130,2002,파라과이,MF,14,디에고 가빌란,Diego Gavilán,1980.03.01,테코스 FC
131,2002,파라과이,MF,15,카를로스 보네트,Carlos Bonet,1977.10.02,클루브 리베르타드
132,2002,파라과이,MF,16,구스타보 모리니고,Gustavo Morínigo,1977.01.23,클루브 리베르타드
133,2002,파라과이,FW,7,리차르트 바에스,Richart Báez,1973.07.31,클루브 올림피아
134,2002,파라과이,FW,9,로케 산타크루스,Roque Santa Cruz,1981.08.16,FC 바이에른 뮌헨
135,2002,파라과이,FW,11,호르헤 루이스 캄포스,Jorge Luis Campos,1970.08.11,CD 우니베르시다드 카톨리카
136,2002,파라과이,FW,20,호세 카르도소,José Cardozo,1971.03.19,데포르티보 톨루카
137,2002,파라과이,FW,23,넬손 쿠에바스,Nelson Cuevas,1980.01.10,CA 리버 플레이트
138,2002,공화국,GK,1,한스 봉크,Hans Vonk,1970.01.30,SC 헤이렌베인
139,2002,공화국,GK,16,안드레 아렌제,Andre Arendse,1967.06.27,산토스 케이프타운
140,2002,공화국,GK,20,캘빈 말린,Calvin Marlin,1976.04.20,아약스 케이프타운 FC
141,2002,공화국,DF,2,시릴 은자마,Cyril Nzama,1974.06.26,카이저 치프스 FC
142,2002,공화국,DF,3,브래들리 카넬,Bradley Carnell,1977.01.21,VfB 슈투트가르트
143,2002,공화국,DF,4,애런 모코에나,Aaron Mokoena,1980.11.25,게르미날 베이르스홋
144,2002,공화국,DF,5,제이콥 레크게토,Jacob Lekgetho,1974.03.24,FC 로코모티프 모스크바
145,2002,공화국,DF,13,피에르 이사,Pierre Issa,1975.09.12,왓포드 FC
146,2002,공화국,DF,19,루카스 라데베,Lucas Radebe,1969.04.12,리즈 유나이티드 FC
147,2002,공화국,DF,22,타방 몰레페,Thabang Molefe,1979.04.11,조모 코스모스
148,2002,공화국,MF,6,맥베스 시바야,MacBeth Sibaya,1977.11.25,조모 코스모스
149,2002,공화국,MF,7,퀸튼 포춘,Quinton Fortune,1977.05.21,맨체스터 유나이티드 FC
150,2002,공화국,MF,8,타보 음고메니,Thabo Mngomeni,1969.06.24,올랜도 파이리츠 FC
151,2002,공화국,MF,9,맥도날드 무칸시,MacDonald Mukansi,1975.05.26,FC 로코모티프 1929 소피아
152,2002,공화국,MF,10,베넷 음구니,Bennett Mnguni,1974.03.18,FC 로코모티프 모스크바
153,2002,공화국,MF,11,자부 풀레,Jabu Pule,1980.07.11,카이저 치프스 FC
154,2002,공화국,MF,12,테보호 모코에나,Teboho Mokoena,1974.07.10,FC 장크트갈렌
155,2002,공화국,MF,15,시부시소 주마,Sibusiso Zuma,1975.06.23,FC 코펜하겐
156,2002,공화국,MF,18,델론 버클리,Delron Buckley,1977.12.07,VfL 보훔
157,2002,공화국,MF,21,스티븐 피에나르,Steven Pienaar,1982.03.17,AFC 아약스
158,2002,공화국,FW,14,시야봉가 놈베테,Siyabonga Nomvethe,1977.12.02,우디네세 칼초
159,2002,공화국,FW,17,베니 매카시,Benni McCarthy,1977.11.12,FC 포르투
160,2002,공화국,FW,23,조지 쿠만타라키스,George Koumantarakis,1974.03.27,FC 바젤
161,2002,브라질,GK,1,마르쿠스,Marcos,1973.08.04,SE 파우메이라스
162,2002,브라질,GK,12,지다,Dida,1973.10.07,SC 코린치안스
163,2002,브라질,GK,22,호제리우 세니,Rogério Ceni,1973.01.22,상파울루 FC
164,2002,브라질,DF,2,카푸,Cafu,1970.06.07,AS 로마
165,2002,브라질,DF,3,루시우,Lúcio,1978.05.08,바이어 04 레버쿠젠
166,2002,브라질,DF,4,호케 주니오르,Roque Júnior,1976.08.31,AC 밀란
167,2002,브라질,DF,5,에드미우송,Edmílson,1976.07.10,올랭피크 리옹
168,2002,브라질,DF,6,호베르투 카를루스,Roberto Carlos,1973.04.10,레알 마드리드 CF
169,2002,브라질,DF,13,줄리아누 벨레티,Juliano Belletti,1976.06.20,상파울루 FC
170,2002,브라질,DF,14,안데르송 포우가,Ânderson Polga,1979.02.09,그레미우
171,2002,브라질,DF,16,주니오르,Júnior,1973.06.20,파르마 AC
172,2002,브라질,MF,7,히카르지뉴,Ricardinho,1976.05.23,SC 코린치안스
173,2002,브라질,MF,8,지우베르투 시우바,Gilberto Silva,1976.10.07,아틀레치쿠 미네이루
174,2002,브라질,MF,10,히바우두,Rivaldo,1972.04.19,FC 바르셀로나
175,2002,브라질,MF,11,호나우지뉴,Ronaldinho,1980.03.21,파리 생제르맹 FC
176,2002,브라질,MF,15,클레베르송,Kléberson,1979.06.19,아틀레치쿠 파라나엔시
177,2002,브라질,MF,18,밤페타,Vampeta,1974.03.13,SC 코린치안스
178,2002,브라질,MF,19,주니뉴 파울리스타,Juninho Paulista,1973.02.22,CR 플라멩구
179,2002,브라질,MF,23,카카,Kaká,1982.04.22,상파울루 FC
180,2002,브라질,FW,9,호나우두,Ronaldo,1976.09.18,FC 인테르나치오날레 밀라노
181,2002,브라질,FW,17,데니우손,Denilson,1977.08.24,레알 베티스
182,2002,브라질,FW,20,이지우송,Edílson,1971.09.17,크루제이루 EC
183,2002,브라질,FW,21,루이장,Luizão,1975.11.14,그레미우
184,2002,터키,GK,1,뤼슈튀 레츠베르,Rüştü Reçber,1973.05.10,페네르바흐체 SK
185,2002,터키,GK,12,외메르 차트크츠,Ömer Çatkıç,1974.10.15,가지안텝스포르
186,2002,터키,GK,23,자페르 외즈귈테큰,Zafer Özgültekin,1975.03.10,MKE 앙카라귀쥐
187,2002,터키,DF,2,엠레 아슥,Emre Aşık,1973.12.13,갈라타사라이 SK
188,2002,터키,DF,3,뷜렌트 코르크마즈,Bülent Korkmaz,1968.11.24,갈라타사라이 SK
189,2002,터키,DF,4,파티 아켈,Fatih Akyel,1977.12.26,페네르바흐체 SK
190,2002,터키,DF,5,알파이 외잘란,Alpay Özalan,1973.05.29,아스톤 빌라 FC
191,2002,터키,DF,16,위미트 외자트,Ümit Özat,1976.10.30,페네르바흐체 SK
192,2002,터키,DF,20,하칸 운살,Hakan Ünsal,1973.05.14,블랙번 로버스 FC
193,2002,터키,MF,7,오칸 부루크,Okan Buruk,1973.10.19,FC 인테르나치오날레 밀라노
194,2002,터키,MF,8,투가이 케리몰루,Tugay Kerimoğlu,1970.08.24,블랙번 로버스 FC
195,2002,터키,MF,10,이을드라이 바쉬튀르크,Yıldıray Baştürk,1978.12.24,바이어 04 레버쿠젠
196,2002,터키,MF,13,무지 이제트,Muzzy Izzet,1974.10.31,레스터 시티 FC
197,2002,터키,MF,14,타이푸르 하부트추,Tayfur Havutçu,1970.04.23,베식타스 JK
198,2002,터키,MF,18,에르귄 펜베,Ergün Penbe,1972.05.17,갈라타사라이 SK
199,2002,터키,MF,19,압둘라 에르잔,Abdullah Ercan,1971.12.08,페네르바흐체 SK
200,2002,터키,MF,21,엠레 벨뢰졸루,Emre Belözoğlu,1980.09.07,FC 인테르나치오날레 밀라노
201,2002,터키,MF,22,위미트 다발라,Ümit Davala,1973.07.30,AC 밀란
202,2002,터키,FW,6,아리프 에르뎀,Arif Erdem,1972.01.02,갈라타사라이 SK
203,2002,터키,FW,9,하칸 쉬퀴르,Hakan Şükür,1971.09.01,파르마 AC
204,2002,터키,FW,11,하산 샤슈,Hasan Şaş,1976.08.01,갈라타사라이 SK
205,2002,터키,FW,15,니하트 카베시,Nihat Kahveci,1979.11.23,레알 소시에다드
206,2002,터키,FW,17,일한 만시즈,İlhan Mansız,1975.08.10,베식타스 JK
207,2002,중국,GK,1,안치,An Qi,1981.06.21,다롄 스더
208,2002,중국,GK,22,장진,Jiang Jin,1968.10.07,톈진 터다
209,2002,중국,GK,23,어우추량,Ou Chuliang,1968.08.26,윈난 홍타
210,2002,중국,DF,2,장언화,Zhang Enhua,1973.04.28,다롄 스더
211,2002,중국,DF,3,양푸,Yang Pu,1978.03.30,베이징 궈안
212,2002,중국,DF,4,우청잉,Wu Chengying,1975.04.21,상하이 선화
213,2002,중국,DF,5,판즈이,Fan Zhiyi,1969.11.06,던디 유나이티드 FC
214,2002,중국,DF,7,쑨지하이,Sun Jihai,1977.09.30,맨체스터 시티 FC
215,2002,중국,DF,14,리웨이펑,Li Weifeng,1978.12.01,선전 핑안
216,2002,중국,DF,17,두웨이,Du Wei,1982.02.09,상하이 선화
217,2002,중국,DF,21,쉬윈룽,Xu Yunlong,1979.02.17,베이징 궈안
218,2002,중국,MF,6,샤오자이,Shao Jiayi,1980.04.10,베이징 궈안
219,2002,중국,MF,8,리톄,Li Tie,1977.05.18,랴오닝 훙윈
220,2002,중국,MF,9,마밍위,Ma Mingyu,1970.02.04,쓰촨 다허
221,2002,중국,MF,11,위건웨이,Yu Genwei,1974.01.07,톈진 터다
222,2002,중국,MF,13,가오야오,Gao Yao,1977.07.13,산둥 루넝
223,2002,중국,MF,15,자오쥔저,Zhao Junzhe,1979.04.19,랴오닝 훙윈
224,2002,중국,MF,18,리샤오펑,Li Xiaopeng,1975.06.20,산둥 루넝
225,2002,중국,MF,19,치훙,Qi Hong,1976.06.03,상하이 중위안
226,2002,중국,FW,10,하오하이둥,Hao Haidong,1970.05.09,다롄 스더
227,2002,중국,FW,12,쑤마오전,Su Maozhen,1972.07.30,산둥 루넝
228,2002,중국,FW,16,취보,Qu Bo,1981.07.15,칭다오 중넝
229,2002,중국,FW,20,양천,Yang Chen,1974.01.17,아인트라흐트 프랑크푸르트
230,2002,코스타리카,GK,1,에릭 로니스,Erick Lonnis,1965.09.09,데포르티보 사프리사
231,2002,코스타리카,GK,18,알바로 메센,Álvaro Mesén,1972.12.24,LD 알라후엘렌세
232,2002,코스타리카,GK,23,레스테르 모르간,Lester Morgan,1976.05.02,CS 에레디아노
233,2002,코스타리카,DF,2,헤르비스 드루몬드,Jervis Drummond,1976.09.08,데포르티보 사프리사
234,2002,코스타리카,DF,3,루이스 마린,Luis Marín,1974.08.10,LD 알라후엘렌세
235,2002,코스타리카,DF,4,마우리시오 라이트,Mauricio Wright,1970.12.20,CS 에레디아노
236,2002,코스타리카,DF,5,힐베르토 마르티네스,Gilberto Martínez,1979.10.01,데포르티보 사프리사
237,2002,코스타리카,DF,13,다니엘 바예호스,Daniel Vallejos,1981.05.27,CS 에레디아노
238,2002,코스타리카,DF,14,후안 호세 로드리게스,Juan José Rodríguez,1967.06.23,AD 산 카를로스
239,2002,코스타리카,DF,15,아롤드 왈라세,Harold Wallace,1975.09.07,LD 알라후엘렌세
240,2002,코스타리카,DF,21,파블로 친치야,Pablo Chinchilla,1978.12.21,LD 알라후엘렌세
241,2002,코스타리카,DF,22,카를로스 카스트로,Carlos Castro,1978.09.10,LD 알라후엘렌세
242,2002,코스타리카,MF,6,윌메르 로페스,Wílmer López,1971.03.08,LD 알라후엘렌세
243,2002,코스타리카,MF,8,마우리시오 솔리스,Mauricio Solís,1972.12.13,LD 알라후엘렌세
244,2002,코스타리카,MF,10,왈테르 센테노,Walter Centeno,1974.10.06,데포르티보 사프리사
245,2002,코스타리카,MF,17,에르난 메드포르드,Hernán Medford,1968.05.23,데포르티보 사프리사
246,2002,코스타리카,MF,19,로드리고 코르데로,Rodrigo Cordero,1973.12.04,CS 에레디아노
247,2002,코스타리카,FW,7,롤란도 폰세카,Rolando Fonseca,1974.06.06,데포르티보 사프리사
248,2002,코스타리카,FW,9,파울로 완초페,Paulo Wanchope,1976.07.31,맨체스터 시티 FC
249,2002,코스타리카,FW,11,로날드 고메스,Rónald Gómez,1975.01.24,OFI 크레타 FC
250,2002,코스타리카,FW,12,윈스톤 파르크스,Winston Parks,1981.10.12,우디네세 칼초
251,2002,코스타리카,FW,16,스테벤 브리세,Steven Bryce,1977.08.16,LD 알라후엘렌세
252,2002,코스타리카,FW,20,윌리암 순싱,William Sunsing,1977.05.12,CS 에레디아노
253,2002,대한민국,GK,1,이운재,Lee Woon-jae,1973.04.26,수원 삼성 블루윙즈
254,2002,대한민국,GK,12,김병지,Kim Byung-ji,1970.04.08,포항 스틸러스
255,2002,대한민국,GK,23,최은성,Choi Eun-sung,1971.04.05,대전 시티즌
256,2002,대한민국,DF,2,현영민,Hyun Young-min,1979.12.25,울산 현대 호랑이
257,2002,대한민국,DF,4,최진철,Choi Jin-cheul,1971.03.26,전북 현대 모터스
258,2002,대한민국,DF,7,김태영,Kim Tae-young,1970.11.08,전남 드래곤즈
259,2002,대한민국,DF,15,이민성,Lee Min-sung,1973.06.23,부산 아이콘스
260,2002,대한민국,DF,20,홍명보,Hong Myung-bo,1969.02.12,포항 스틸러스
261,2002,대한민국,MF,3,최성용,Choi Sung-yong,1975.12.25,수원 삼성 블루윙즈
262,2002,대한민국,MF,5,김남일,Kim Nam-il,1977.03.14,전남 드래곤즈
263,2002,대한민국,MF,6,유상철,Yoo Sang-chul,1971.10.18,가시와 레이솔
264,2002,대한민국,MF,10,이영표,Lee Young-pyo,1977.04.23,안양 LG 치타스
265,2002,대한민국,MF,13,이을용,Lee Eul-yong,1975.09.08,부천 SK
266,2002,대한민국,MF,17,윤정환,Yoon Jong-hwan,1973.02.16,세레소 오사카
267,2002,대한민국,MF,19,안정환,Ahn Jung-hwan,1976.01.27,AC 페루자
268,2002,대한민국,MF,21,박지성,Park Ji-sung,1981.02.25,교토 퍼플 상가
269,2002,대한민국,MF,22,송종국,Song Chong-gug,1979.02.20,부산 아이콘스
270,2002,대한민국,FW,8,최태욱,Choi Tae-uk,1981.03.13,안양 LG 치타스
271,2002,대한민국,FW,9,설기현,Seol Ki-hyeon,1979.01.08,RSC 안데를레흐트
272,2002,대한민국,FW,11,최용수,Choi Yong-soo,1973.09.10,제프 유나이티드 이치하라
273,2002,대한민국,FW,14,이천수,Lee Chun-soo,1981.07.09,울산 현대 호랑이
274,2002,대한민국,FW,16,차두리,Cha Du-ri,1980.07.25,고려대학교
275,2002,대한민국,FW,18,황선홍,Hwang Sun-hong,1968.07.14,가시와 레이솔
276,2002,폴란드,GK,1,예지 두덱,Jerzy Dudek,1973.03.23,리버풀 FC
277,2002,폴란드,GK,12,라도스와프 마이단,Radosław Majdan,1972.05.10,괴즈테페 SK
278,2002,폴란드,GK,22,아담 마티세크,Adam Matysek,1968.07.19,RKS 라돔스코
279,2002,폴란드,DF,2,토마시 크워스,Tomasz Kłos,1973.03.07,1. FC 카이저슬라우테른
280,2002,폴란드,DF,3,야체크 지엘린스키,Jacek Zieliński,1967.10.10,레기아 바르샤바
281,2002,폴란드,DF,4,미하우 제브와코프,Michał Żewłakow,1976.04.22,로얄 엑셀 무스크롱
