년도,국가,포지션,등번호,한글 성명,로마자 성명,생년월일,소속팀
2002,덴마크,DF,13,스테벤 루스튀,Steven Lustü,1971.04.13,륀 포트발
2002,덴마크,DF,20,카스페르 뵈겔룬,Kasper Bøgelund,1980.10.08,PSV 에인트호번
2002,덴마크,MF,2,스티그 퇴프팅,Stig Tøfting,1969.08.14,볼턴 원더러스 FC
2002,덴마크,MF,7,토마스 그라베센,Thomas Gravesen,1976.03.11,에버튼 FC
2002,덴마크,MF,8,예스페르 그룅키에르,Jesper Grønkjær,1977.08.12,첼시 FC
2002,덴마크,MF,10,마르틴 예르겐센,Martin Jørgensen,1975.10.06,우디네세 칼초
2002,덴마크,MF,14,클라우스 옌센,Claus Jensen,1977.04.29,찰턴 애슬레틱 FC
2002,덴마크,MF,15,얀 미카엘센,Jan Michaelsen,1970.11.28,파나티나이코스 FC
2002,덴마크,MF,17,크리스티안 폴센,Christian Poulsen,1980.02.28,FC 코펜하겐
2002,덴마크,MF,19,데니스 롬메달,Dennis Rommedahl,1978.07.22,PSV 에인트호번
2002,덴마크,MF,23,브리안 스틸 닐센,Brian Steen Nielsen,1968.12.28,말뫼 FF
2002,덴마크,FW,9,욘 달 토마손,Jon Dahl Tomasson,1976.08.29,페예노르트 로테르담
2002,덴마크,FW,11,에베 산,Ebbe Sand,1972.07.19,FC 샬케 04
2002,덴마크,FW,18,페테르 뢰벤크란츠,Peter Løvenkrands,1980.01.29,레인저스 FC
2002,덴마크,FW,21,페테르 마센,Peter Madsen,1978.04.26,브뢴뷔 IF
2002,스페인,GK,1,이케르 카시야스,Iker Casillas,1981.05.20,레알 마드리드 CF
2002,스페인,GK,13,리카르도 로페스,Ricardo,1971.12.30,레알 바야돌리드 CF
2002,스페인,GK,23,페드로 콘트레라스,Pedro Contreras,1972.01.07,말라가 CF
2002,스페인,DF,2,쿠로 토레스,Curro Torres,1976.12.27,발렌시아 CF
2002,스페인,DF,3,후안프란,Juanfran,1976.07.15,RC 셀타 데 비고
2002,스페인,DF,5,카를레스 푸욜,Carles Puyol,1978.04.13,FC 바르셀로나
2002,스페인,DF,6,페르난도 이에로,Fernando Hierro,1968.03.23,레알 마드리드 CF
2002,스페인,DF,15,엔리케 로메로,Enrique Romero,1971.06.23,데포르티보 라 코루냐
2002,스페인,DF,20,미겔 앙헬 나달,Miguel Ángel Nadal,1966.07.28,RCD 마요르카
2002,스페인,MF,4,이반 엘게라,Iván Helguera,1975.03.18,레알 마드리드 CF
2002,스페인,MF,8,루벤 바라하,Rubén Baraja,1975.07.11,발렌시아 CF
2002,스페인,MF,11,하비에르 데페드로,Javier de Pedro,1973.08.04,레알 소시에다드
2002,스페인,MF,14,다비드 알벨다,David Albelda,1977.09.01,발렌시아 CF
2002,스페인,MF,16,가이스카 멘디에타,Gaizka Mendieta,1974.03.27,SS 라치오
2002,스페인,MF,17,후안 카를로스 발레론,Juan Carlos Valerón,1975.06.17,데포르티보 라 코루냐
2002,스페인,MF,18,세르히오 곤살레스,Sergio,1976.11.10,데포르티보 라 코루냐
2002,스페인,MF,19,사비 에르난데스,Xavi,1980.01.25,FC 바르셀로나
2002,스페인,MF,21,루이스 엔리케,Luis Enrique,1970.05.08,FC 바르셀로나
2002,스페인,MF,22,호아킨,Joaquín,1981.07.21,레알 베티스
2002,스페인,FW,7,라울 곤살레스,Raúl,1977.06.27,레알 마드리드 CF
2002,스페인,FW,9,페르난도 모리엔테스,Fernando Morientes,1976.04.05,레알 마드리드 CF
2002,스페인,FW,10,디에고 트리스탄,Diego Tristán,1976.01.05,데포르티보 라 코루냐
2002,스페인,FW,12,알베르트 루케,Albert Luque,1978.03.11,RCD 마요르카
2002,슬로베니아,GK,1,마르코 시메우노비치,Marko Simeunovič,1967.12.06,NK 마리보르
2002,슬로베니아,GK,12,믈라덴 다바노비치,Mladen Dabanovič,1971.09.13,KSC 로케런
2002,슬로베니아,GK,22,데얀 네메츠,Dejan Nemec,1977.03.01,클뤼프 브뤼허 KV
2002,슬로베니아,DF,2,고란 산코비치,Goran Sankovič,1979.06.18,SK 슬라비아 프라하
2002,슬로베니아,DF,3,젤코 밀리노비치,Željko Milinovič,1969.10.12,제프 유나이티드 이치하라 지바
2002,슬로베니아,DF,4,무아메르 부그달리치,Muamer Vugdalić,1977.08.25,NK 마리보르
2002,슬로베니아,DF,5,마린코 갈리치,Marinko Galič,1970.04.22,FC 코페르
2002,슬로베니아,DF,6,알렉산데르 크나브스,Aleksander Knavs,1975.12.05,1. FC 카이저슬라우테른
2002,슬로베니아,DF,14,사샤 가이세르,Saša Gajser,1974.02.11,KAA 헨트
2002,슬로베니아,DF,19,아미르 카리치,Amir Karić,1973.12.31,NK 마리보르
2002,슬로베니아,DF,23,스파소예 불라이치,Spasoje Bulajič,1975.11.24,1. FC 쾰른
2002,슬로베니아,MF,7,조니 노바크,Džoni Novak,1969.09.04,SpVgg 운터하힝
2002,슬로베니아,MF,8,알레시 체흐,Aleš Čeh,1968.04.07,그라츠 AK
2002,슬로베니아,MF,10,즐라트코 자호비치,Zlatko Zahovič,1971.02.01,SL 벤피카
2002,슬로베니아,MF,11,미란 파블린,Miran Pavlin,1971.10.08,FC 포르투
2002,슬로베니아,MF,15,라이코 타브챠르,Rajko Tavčar,1974.07.21,1. FC 뉘른베르크
2002,슬로베니아,MF,17,조란 파블로비치,Zoran Pavlović,1976.06.27,FK 아우스트리아 빈
2002,슬로베니아,MF,20,나스탸 체흐,Nastja Čeh,1978.01.26,클뤼프 브뤼허 KV
2002,슬로베니아,FW,9,밀란 오스테르츠,Milan Osterc,1975.07.04,하포엘 텔아비브 FC
2002,슬로베니아,FW,13,믈라덴 루도냐,Mladen Rudonja,1971.07.26,포츠머스 FC
2002,슬로베니아,FW,16,세나드 티가니,Senad Tiganj,1975.08.28,NK 올림피야 류블랴나
2002,슬로베니아,FW,18,밀렌코 아치모비치,Milenko Ačimovič,1977.02.15,FK 츠르베나 즈베즈다
2002,슬로베니아,FW,21,세바스티안 치미로티치,Sebastjan Cimirotič,1974.09.14,US 레체
2002,파라과이,GK,1,호세 루이스 칠라베르트,José Luis Chilavert,1965.07.27,RC 스트라스부르
2002,파라과이,GK,12,후스토 비야르,Justo Villar,1977.06.30,클루브 리베르타드
2002,파라과이,GK,22,리카르도 타바렐리,Ricardo Tavarelli,1970.08.02,클루브 올림피아
2002,파라과이,DF,2,프란시스코 아르세,Francisco Arce,1971.04.02,SE 파우메이라스
2002,파라과이,DF,3,페드로 사라비아,Pedro Sarabia,1975.07.05,CA 리버 플레이트
2002,파라과이,DF,4,카를로스 가마라,Carlos Gamarra,1971.02.17,AEK 아테네 FC
2002,파라과이,DF,5,셀소 아얄라,Celso Ayala,1970.08.20,CA 리버 플레이트
2002,파라과이,DF,17,후안 카를로스 프랑코,Juan Carlos Franco,1973.04.17,클루브 올림피아
2002,파라과이,DF,18,훌리오 세사르 카세레스,Julio César Cáceres,1979.10.05,클루브 올림피아
2002,파라과이,DF,19,다니엘 사라비아,Daniel Sarabia,1977.02.08,클루브 리베르타드
2002,파라과이,DF,21,데니스 카니사,Denis Caniza,1974.08.29,산토스 라구나
2002,파라과이,MF,6,에스타니슬라오 스트루와이,Estanislao Struway,1968.06.25,클루브 리베르타드
2002,파라과이,MF,8,기도 알바렝가,Guido Alvarenga,1970.08.24,클루브 레온
2002,파라과이,MF,10,로베르토 아쿠냐,Roberto Acuña,1972.03.25,레알 사라고사
2002,파라과이,MF,13,카를로스 파레데스,Carlos Paredes,1976.07.16,FC 포르투
2002,파라과이,MF,14,디에고 가빌란,Diego Gavilán,1980.03.01,테코스 FC
2002,파라과이,MF,15,카를로스 보네트,Carlos Bonet,1977.10.02,클루브 리베르타드
2002,파라과이,MF,16,구스타보 모리니고,Gustavo Morínigo,1977.01.23,클루브 리베르타드
2002,파라과이,FW,7,리차르트 바에스,Richart Báez,1973.07.31,클루브 올림피아
2002,파라과이,FW,9,로케 산타크루스,Roque Santa Cruz,1981.08.16,FC 바이에른 뮌헨
2002,파라과이,FW,11,호르헤 루이스 캄포스,Jorge Luis Campos,1970.08.11,CD 우니베르시다드 카톨리카
2002,파라과이,FW,20,호세 카르도소,José Cardozo,1971.03.19,데포르티보 톨루카
2002,파라과이,FW,23,넬손 쿠에바스,Nelson Cuevas,1980.01.10,CA 리버 플레이트
2002,공화국,GK,1,한스 봉크,Hans Vonk,1970.01.30,SC 헤이렌베인
2002,공화국,GK,16,안드레 아렌제,Andre Arendse,1967.06.27,산토스 케이프타운
2002,공화국,GK,20,캘빈 말린,Calvin Marlin,1976.04.20,아약스 케이프타운 FC
2002,공화국,DF,2,시릴 은자마,Cyril Nzama,1974.06.26,카이저 치프스 FC
2002,공화국,DF,3,브래들리 카넬,Bradley Carnell,1977.01.21,VfB 슈투트가르트
2002,공화국,DF,4,애런 모코에나,Aaron Mokoena,1980.11.25,게르미날 베이르스홋
2002,공화국,DF,5,제이콥 레크게토,Jacob Lekgetho,1974.03.24,FC 로코모티프 모스크바
2002,공화국,DF,13,피에르 이사,Pierre Issa,1975.09.12,왓포드 FC
2002,공화국,DF,19,루카스 라데베,Lucas Radebe,1969.04.12,리즈 유나이티드 FC
2002,공화국,DF,22,타방 몰레페,Thabang Molefe,1979.04.11,조모 코스모스
2002,공화국,MF,6,맥베스 시바야,MacBeth Sibaya,1977.11.25,조모 코스모스
2002,공화국,MF,7,퀸튼 포춘,Quinton Fortune,1977.05.21,맨체스터 유나이티드 FC
2002,공화국,MF,8,타보 음고메니,Thabo Mngomeni,1969.06.24,올랜도 파이리츠 FC
2002,공화국,MF,9,맥도날드 무칸시,MacDonald Mukansi,1975.05.26,FC 로코모티프 1929 소피아
2002,공화국,MF,10,베넷 음구니,Bennett Mnguni,1974.03.18,FC 로코모티프 모스크바
2002,공화국,MF,11,자부 풀레,Jabu Pule,1980.07.11,카이저 치프스 FC
2002,공화국,MF,12,테보호 모코에나,Teboho Mokoena,1974.07.10,FC 장크트갈렌
2002,공화국,MF,15,시부시소 주마,Sibusiso Zuma,1975.06.23,FC 코펜하겐
2002,공화국,MF,18,델론 버클리,Delron Buckley,1977.12.07,VfL 보훔
2002,공화국,MF,21,스티븐 피에나르,Steven Pienaar,1982.03.17,AFC 아약스
2002,공화국,FW,14,시야봉가 놈베테,Siyabonga Nomvethe,1977.12.02,우디네세 칼초
2002,공화국,FW,17,베니 매카시,Benni McCarthy,1977.11.12,FC 포르투
2002,공화국,FW,23,조지 쿠만타라키스,George Koumantarakis,1974.03.27,FC 바젤
2002,브라질,GK,1,마르쿠스,Marcos,1973.08.04,SE 파우메이라스
2002,브라질,GK,12,지다,Dida,1973.10.07,SC 코린치안스
2002,브라질,GK,22,호제리우 세니,Rogério Ceni,1973.01.22,상파울루 FC
2002,브라질,DF,2,카푸,Cafu,1970.06.07,AS 로마
2002,브라질,DF,3,루시우,Lúcio,1978.05.08,바이어 04 레버쿠젠
2002,브라질,DF,4,호케 주니오르,Roque Júnior,1976.08.31,AC 밀란
2002,브라질,DF,5,에드미우송,Edmílson,1976.07.10,올랭피크 리옹
2002,브라질,DF,6,호베르투 카를루스,Roberto Carlos,1973.04.10,레알 마드리드 CF
2002,브라질,DF,13,줄리아누 벨레티,Juliano Belletti,1976.06.20,상파울루 FC
2002,브라질,DF,14,안데르송 포우가,Ânderson Polga,1979.02.09,그레미우
2002,브라질,DF,16,주니오르,Júnior,1973.06.20,파르마 AC
2002,브라질,MF,7,히카르지뉴,Ricardinho,1976.05.23,SC 코린치안스
2002,브라질,MF,8,지우베르투 시우바,Gilberto Silva,1976.10.07,아틀레치쿠 미네이루
2002,브라질,MF,10,히바우두,Rivaldo,1972.04.19,FC 바르셀로나
2002,브라질,MF,11,호나우지뉴,Ronaldinho,1980.03.21,파리 생제르맹 FC
2002,브라질,MF,15,클레베르송,Kléberson,1979.06.19,아틀레치쿠 파라나엔시
2002,브라질,MF,18,밤페타,Vampeta,1974.03.13,SC 코린치안스
2002,브라질,MF,19,주니뉴 파울리스타,Juninho Paulista,1973.02.22,CR 플라멩구
2002,브라질,MF,23,카카,Kaká,1982.04.22,상파울루 FC
2002,브라질,FW,9,호나우두,Ronaldo,1976.09.18,FC 인테르나치오날레 밀라노
2002,브라질,FW,17,데니우손,Denilson,1977.08.24,레알 베티스
2002,브라질,FW,20,이지우송,Edílson,1971.09.17,크루제이루 EC
2002,브라질,FW,21,루이장,Luizão,1975.11.14,그레미우
2002,터키,GK,1,뤼슈튀 레츠베르,Rüştü Reçber,1973.05.10,페네르바흐체 SK
2002,터키,GK,12,외메르 차트크츠,Ömer Çatkıç,1974.10.15,가지안텝스포르
2002,터키,GK,23,자페르 외즈귈테큰,Zafer Özgültekin,1975.03.10,MKE 앙카라귀쥐
2002,터키,DF,2,엠레 아슥,Emre Aşık,1973.12.13,갈라타사라이 SK
2002,터키,DF,3,뷜렌트 코르크마즈,Bülent Korkmaz,1968.11.24,갈라타사라이 SK
2002,터키,DF,4,파티 아켈,Fatih Akyel,1977.12.26,페네르바흐체 SK
2002,터키,DF,5,알파이 외잘란,Alpay Özalan,1973.05.29,아스톤 빌라 FC
2002,터키,DF,16,위미트 외자트,Ümit Özat,1976.10.30,페네르바흐체 SK
2002,터키,DF,20,하칸 운살,Hakan Ünsal,1973.05.14,블랙번 로버스 FC
2002,터키,MF,7,오칸 부루크,Okan Buruk,1973.10.19,FC 인테르나치오날레 밀라노
2002,터키,MF,8,투가이 케리몰루,Tugay Kerimoğlu,1970.08.24,블랙번 로버스 FC
2002,터키,MF,10,이을드라이 바쉬튀르크,Yıldıray Baştürk,1978.12.24,바이어 04 레버쿠젠
2002,터키,MF,13,무지 이제트,Muzzy Izzet,1974.10.31,레스터 시티 FC
2002,터키,MF,14,타이푸르 하부트추,Tayfur Havutçu,1970.04.23,베식타스 JK
2002,터키,MF,18,에르귄 펜베,Ergün Penbe,1972.05.17,갈라타사라이 SK
2002,터키,MF,19,압둘라 에르잔,Abdullah Ercan,1971.12.08,페네르바흐체 SK
2002,터키,MF,21,엠레 벨뢰졸루,Emre Belözoğlu,1980.09.07,FC 인테르나치오날레 밀라노
2002,터키,MF,22,위미트 다발라,Ümit Davala,1973.07.30,AC 밀란
2002,터키,FW,6,아리프 에르뎀,Arif Erdem,1972.01.02,갈라타사라이 SK
2002,터키,FW,9,하칸 쉬퀴르,Hakan Şükür,1971.09.01,파르마 AC
2002,터키,FW,11,하산 샤슈,Hasan Şaş,1976.08.01,갈라타사라이 SK
2002,터키,FW,15,니하트 카베시,Nihat Kahveci,1979.11.23,레알 소시에다드
2002,터키,FW,17,일한 만시즈,İlhan Mansız,1975.08.10,베식타스 JK
2002,중국,GK,1,안치,An Qi,1981.06.21,다롄 스더
2002,중국,GK,22,장진,Jiang Jin,1968.10.07,톈진 터다
2002,중국,GK,23,어우추량,Ou Chuliang,1968.08.26,윈난 홍타
2002,중국,DF,2,장언화,Zhang Enhua,1973.04.28,다롄 스더
2002,중국,DF,3,양푸,Yang Pu,1978.03.30,베이징 궈안
2002,중국,DF,4,우청잉,Wu Chengying,1975.04.21,상하이 선화
2002,중국,DF,5,판즈이,Fan Zhiyi,1969.11.06,던디 유나이티드 FC
2002,중국,DF,7,쑨지하이,Sun Jihai,1977.09.30,맨체스터 시티 FC
2002,중국,DF,14,리웨이펑,Li Weifeng,1978.12.01,선전 핑안
2002,중국,DF,17,두웨이,Du Wei,1982.02.09,상하이 선화
2002,중국,DF,21,쉬윈룽,Xu Yunlong,1979.02.17,베이징 궈안
2002,중국,MF,6,샤오자이,Shao Jiayi,1980.04.10,베이징 궈안
2002,중국,MF,8,리톄,Li Tie,1977.05.18,랴오닝 훙윈
2002,중국,MF,9,마밍위,Ma Mingyu,1970.02.04,쓰촨 다허
2002,중국,MF,11,위건웨이,Yu Genwei,1974.01.07,톈진 터다
2002,중국,MF,13,가오야오,Gao Yao,1977.07.13,산둥 루넝
2002,중국,MF,15,자오쥔저,Zhao Junzhe,1979.04.19,랴오닝 훙윈
2002,중국,MF,18,리샤오펑,Li Xiaopeng,1975.06.20,산둥 루넝
2002,중국,MF,19,치훙,Qi Hong,1976.06.03,상하이 중위안
2002,중국,FW,10,하오하이둥,Hao Haidong,1970.05.09,다롄 스더
2002,중국,FW,12,쑤마오전,Su Maozhen,1972.07.30,산둥 루넝
2002,중국,FW,16,취보,Qu Bo,1981.07.15,칭다오 중넝
2002,중국,FW,20,양천,Yang Chen,1974.01.17,아인트라흐트 프랑크푸르트
2002,코스타리카,GK,1,에릭 로니스,Erick Lonnis,1965.09.09,데포르티보 사프리사
2002,코스타리카,GK,18,알바로 메센,Álvaro Mesén,1972.12.24,LD 알라후엘렌세
2002,코스타리카,GK,23,레스테르 모르간,Lester Morgan,1976.05.02,CS 에레디아노
2002,코스타리카,DF,2,헤르비스 드루몬드,Jervis Drummond,1976.09.08,데포르티보 사프리사
2002,코스타리카,DF,3,루이스 마린,Luis Marín,1974.08.10,LD 알라후엘렌세
2002,코스타리카,DF,4,마우리시오 라이트,Mauricio Wright,1970.12.20,CS 에레디아노
2002,코스타리카,DF,5,힐베르토 마르티네스,Gilberto Martínez,1979.10.01,데포르티보 사프리사
2002,코스타리카,DF,13,다니엘 바예호스,Daniel Vallejos,1981.05.27,CS 에레디아노
2002,코스타리카,DF,14,후안 호세 로드리게스,Juan José Rodríguez,1967.06.23,AD 산 카를로스
2002,코스타리카,DF,15,아롤드 왈라세,Harold Wallace,1975.09.07,LD 알라후엘렌세
2002,코스타리카,DF,21,파블로 친치야,Pablo Chinchilla,1978.12.21,LD 알라후엘렌세
2002,코스타리카,DF,22,카를로스 카스트로,Carlos Castro,1978.09.10,LD 알라후엘렌세
2002,코스타리카,MF,6,윌메르 로페스,Wílmer López,1971.03.08,LD 알라후엘렌세
2002,코스타리카,MF,8,마우리시오 솔리스,Mauricio Solís,1972.12.13,LD 알라후엘렌세
2002,코스타리카,MF,10,왈테르 센테노,Walter Centeno,1974.10.06,데포르티보 사프리사
2002,코스타리카,MF,17,에르난 메드포르드,Hernán Medford,1968.05.23,데포르티보 사프리사
2002,코스타리카,MF,19,로드리고 코르데로,Rodrigo Cordero,1973.12.04,CS 에레디아노
2002,코스타리카,FW,7,롤란도 폰세카,Rolando Fonseca,1974.06.06,데포르티보 사프리사
2002,코스타리카,FW,9,파울로 완초페,Paulo Wanchope,1976.07.31,맨체스터 시티 FC
2002,코스타리카,FW,11,로날드 고메스,Rónald Gómez,1975.01.24,OFI 크레타 FC
2002,코스타리카,FW,12,윈스톤 파르크스,Winston Parks,1981.10.12,우디네세 칼초
2002,코스타리카,FW,16,스테벤 브리세,Steven Bryce,1977.08.16,LD 알라후엘렌세
2002,코스타리카,FW,20,윌리암 순싱,William Sunsing,1977.05.12,CS 에레디아노
2002,대한민국,GK,1,이운재,Lee Woon-jae,1973.04.26,수원 삼성 블루윙즈
2002,대한민국,GK,12,김병지,Kim Byung-ji,1970.04.08,포항 스틸러스
2002,대한민국,GK,23,최은성,Choi Eun-sung,1971.04.05,대전 시티즌
2002,대한민국,DF,2,현영민,Hyun Young-min,1979.12.25,울산 현대 호랑이
2002,대한민국,DF,4,최진철,Choi Jin-cheul,1971.03.26,전북 현대 모터스
2002,대한민국,DF,7,김태영,Kim Tae-young,1970.11.08,전남 드래곤즈
2002,대한민국,DF,15,이민성,Lee Min-sung,1973.06.23,부산 아이콘스
2002,대한민국,DF,20,홍명보,Hong Myung-bo,1969.02.12,포항 스틸러스
2002,대한민국,MF,3,최성용,Choi Sung-yong,1975.12.25,수원 삼성 블루윙즈
2002,대한민국,MF,5,김남일,Kim Nam-il,1977.03.14,전남 드래곤즈
2002,대한민국,MF,6,유상철,Yoo Sang-chul,1971.10.18,가시와 레이솔
2002,대한민국,MF,10,이영표,Lee Young-pyo,1977.04.23,안양 LG 치타스
2002,대한민국,MF,13,이을용,Lee Eul-yong,1975.09.08,부천 SK
2002,대한민국,MF,17,윤정환,Yoon Jong-hwan,1973.02.16,세레소 오사카
2002,대한민국,MF,19,안정환,Ahn Jung-hwan,1976.01.27,AC 페루자
2002,대한민국,MF,21,박지성,Park Ji-sung,1981.02.25,교토 퍼플 상가
2002,대한민국,MF,22,송종국,Song Chong-gug,1979.02.20,부산 아이콘스
2002,대한민국,FW,8,최태욱,Choi Tae-uk,1981.03.13,안양 LG 치타스
2002,대한민국,FW,9,설기현,Seol Ki-hyeon,1979.01.08,RSC 안데를레흐트
2002,대한민국,FW,11,최용수,Choi Yong-soo,1973.09.10,제프 유나이티드 이치하라
2002,대한민국,FW,14,이천수,Lee Chun-soo,1981.07.09,울산 현대 호랑이
2002,대한민국,FW,16,차두리,Cha Du-ri,1980.07.25,고려대학교
2002,대한민국,FW,18,황선홍,Hwang Sun-hong,1968.07.14,가시와 레이솔
2002,폴란드,GK,1,예지 두덱,Jerzy Dudek,1973.03.23,리버풀 FC
2002,폴란드,GK,12,라도스와프 마이단,Radosław Majdan,1972.05.10,괴즈테페 SK
2002,폴란드,GK,22,아담 마티세크,Adam Matysek,1968.07.19,RKS 라돔스코
2002,폴란드,DF,2,토마시 크워스,Tomasz Kłos,1973.03.07,1. FC 카이저슬라우테른
2002,폴란드,DF,3,야체크 지엘린스키,Jacek Zieliński,1967.10.10,레기아 바르샤바
2002,폴란드,DF,4,미하우 제브와코프,Michał Żewłakow,1976.04.22,로얄 엑셀 무스크롱
2002,폴란드,DF,5,토마시 종사,Tomasz Rząsa,1973.03.11,페예노르트 로테르담
2002,폴란드,DF,6,토마시 하이토,Tomasz Hajto,1972.10.16,FC 샬케 04
2002,폴란드,DF,13,아르카디우시 그워바츠키,Arkadiusz Głowacki,1979.03.13,비스와 크라쿠프
2002,폴란드,DF,15,토마시 바우도흐,Tomasz Wałdoch,1971.05.10,FC 샬케 04
2002,폴란드,DF,16,마치에이 무라프스키,Maciej Murawski,1974.02.20,레기아 바르샤바
2002,폴란드,DF,20,야체크 봉크,Jacek Bąk,1973.03.24,RC 랑스
2002,폴란드,MF,7,피오트르 시비에르체프스키,Piotr Świerczewski,1972.04.08,올랭피크 드 마르세유
2002,폴란드,MF,10,라도스와프 카우주니,Radosław Kałużny,1974.02.02,FC 에네르기 코트부스
2002,폴란드,MF,17,아르카디우시 봉크,Arkadiusz Bąk,1974.10.06,비제프 우치
2002,폴란드,MF,18,야체크 크지누베크,Jacek Krzynówek,1976.05.15,1. FC 뉘른베르크
2002,폴란드,MF,21,마레크 코지민스키,Marek Koźmiński,1971.02.07,AC 안코나
2002,폴란드,MF,23,파베우 시비크,Paweł Sibik,1971.02.15,오드와 보지스와프
