,Nation,이름,소속/국가,나이,Eng_Nation,Name,Age,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14
31,프랑스,benjaminpavard,Marseille,29.0,France,benjaminpavard,29.0,84.0,79.0,71.0,83.0,86.0,76.0,74.0,80.0,76.0,80.0,76.0,10.33,82.0,86.0,60.0
32,프랑스,dayotupamecano,Bayern München,26.0,France,daoudaweidmann,22.0,64.0,67.0,64.0,62.0,62.0,55.0,72.0,70.0,56.0,67.0,60.0,12.0,67.0,55.67,45.0
33,프랑스,ibrahimakonate,Liverpool,26.0,France,ibrahimakonate,26.0,86.0,76.0,68.0,80.0,85.0,38.0,69.0,75.0,91.0,45.0,83.0,11.0,77.5,86.67,29.0
34,프랑스,juleskounde,Barcelona,26.0,France,julesgaudin,25.0,68.0,66.0,64.0,66.0,69.0,68.0,62.0,76.0,59.0,58.0,69.0,9.67,60.0,63.0,56.0
35,프랑스,lucasdigne,Aston Villa,32.0,France,lucasdigne,31.0,80.0,77.0,76.0,79.0,80.0,86.0,70.0,80.0,69.0,81.0,68.0,8.33,75.5,78.0,60.0
36,프랑스,lucashernandez,Paris Saint-Germain,29.0,France,lucasmaronnier,25.0,65.0,57.0,58.0,54.0,61.0,55.0,76.0,72.0,53.0,49.0,70.0,10.0,61.0,61.67,32.0
37,프랑스,malogusto,Chelsea,22.0,France,malogusto,22.0,79.0,77.0,77.0,76.0,76.0,79.0,87.0,85.0,68.0,65.0,81.0,9.67,75.0,75.33,30.0
38,프랑스,theohernandez,Al Hilal,27.0,France,theolenormand,24.0,60.0,61.0,63.0,58.0,52.0,56.0,75.0,58.0,70.0,55.0,72.0,11.33,53.0,32.67,53.0
39,프랑스,adrienrabiot,Milan,30.0,France,adrienpinot,24.0,60.0,49.0,35.0,55.0,58.0,33.0,47.0,64.0,72.0,30.0,61.0,11.33,49.0,57.67,27.0
40,프랑스,aurelientchouameni,Real Madrid,25.0,France,aureliendjanitchouameni,25.0,84.0,81.0,78.0,82.0,82.0,68.0,73.0,83.0,82.0,78.0,70.0,9.33,84.5,81.33,65.0
41,프랑스,khephrenthuramulien,Juventus,24.0,France,khephrenthuramulien,24.0,81.0,83.0,81.0,82.0,79.0,72.0,76.0,81.0,79.0,79.0,80.0,9.0,81.5,79.67,77.0
42,프랑스,kouadiokone,Roma,24.0,France,sylamine,22.0,66.0,63.0,58.0,63.0,58.0,60.0,86.0,68.0,48.0,41.0,78.0,12.33,52.0,62.33,39.0
43,프랑스,bradleybarcola,Paris Saint-Germain,23.0,France,bradleybarcola,22.0,84.0,84.0,86.0,83.0,82.0,81.0,88.0,74.0,64.0,74.0,91.0,6.67,73.5,33.67,80.0
44,프랑스,desiredoue,Paris Saint-Germain,20.0,France,desiredoue,20.0,85.0,89.0,91.0,89.0,85.0,74.0,85.0,80.0,77.0,86.0,82.0,9.0,77.5,54.67,78.0
45,프랑스,hugoekitike,Liverpool,23.0,France,hugoekitike,23.0,83.0,86.0,87.0,78.0,83.0,51.0,85.0,86.0,69.0,82.0,87.0,10.0,69.5,27.33,79.0
46,프랑스,kingsleycoman,Al Nassr FC,29.0,France,kingsleyjuniorcoman,29.0,83.0,87.0,88.0,78.0,82.0,80.0,90.0,65.0,66.0,82.0,84.0,4.33,76.5,25.67,73.0
47,프랑스,kylianmbappe,Real Madrid,26.0,France,kelianbaruti,19.0,59.0,60.0,58.0,48.0,41.0,59.0,79.0,53.0,66.0,62.0,82.0,12.33,56.0,25.67,52.0
48,프랑스,maghnesakliouche,Monaco,23.0,France,maghnesakliouche,23.0,80.0,84.0,84.0,81.0,78.0,76.0,75.0,77.0,58.0,66.0,74.0,7.0,77.0,47.33,72.0
49,프랑스,marcusthuram,Inter,28.0,France,mariuslouer,18.0,58.0,55.0,53.0,43.0,52.0,51.0,63.0,59.0,66.0,45.0,66.0,13.0,45.0,57.67,25.0
50,프랑스,michaelolise,Bayern München,23.0,France,mickaelnade,26.0,71.0,58.0,44.0,64.0,69.0,34.0,36.0,73.0,90.0,39.0,35.0,6.67,48.0,70.0,28.0
51,프랑스,ousmanedembele,Paris Saint-Germain,28.0,France,moussadembele,28.0,70.0,70.0,65.0,71.0,68.0,50.0,64.0,67.0,82.0,73.0,69.0,8.33,58.5,23.0,68.0
52,아르헨티나,emilianomartinez,Aston Villa,33.0,Argentina,santiagomartinez,21.0,61.0,67.0,66.0,52.0,53.0,49.0,68.0,51.0,34.0,63.0,64.0,9.67,59.5,37.0,45.0
53,아르헨티나,geronimorulli,Marseille,33.0,Argentina,geronimorulli,33.0,82.0,15.0,14.0,61.0,79.0,12.0,56.0,42.0,73.0,60.0,52.0,82.0,43.0,15.0,15.0
54,아르헨티나,walterbenitez,Crystal Palace,32.0,Argentina,walterdanielbenitez,32.0,79.0,20.0,19.0,62.0,76.0,12.0,38.0,40.0,80.0,54.0,35.0,79.0,27.5,18.0,14.0
55,아르헨티나,cristianromero,Tottenham Hotspur,27.0,Argentina,cristianfrancolema,35.0,74.0,53.0,32.0,66.0,60.0,42.0,31.0,67.0,91.0,74.0,31.0,11.33,65.0,73.33,47.0
56,아르헨티나,facundomedina,Marseille,26.0,Argentina,facundoaxelmedina,26.0,79.0,76.0,71.0,79.0,80.0,64.0,67.0,78.0,81.0,45.0,79.0,13.0,77.5,79.67,44.0
57,아르헨티나,gonzalomontiel,River Plate,28.0,Argentina,gonzalomaroni,26.0,70.0,76.0,77.0,69.0,66.0,72.0,75.0,58.0,63.0,60.0,66.0,8.0,65.5,44.33,56.0
58,아르헨티나,juanfoyth,Villarreal,27.0,Argentina,juanmarcosfoyth,27.0,79.0,75.0,69.0,68.0,78.0,73.0,67.0,68.0,77.0,56.0,68.0,10.33,74.0,80.0,43.0
59,아르헨티나,juliosoler,AFC Bournemouth,20.0,Argentina,joelgodoy,20.0,59.0,54.0,22.0,39.0,54.0,47.0,62.0,61.0,58.0,37.0,64.0,12.67,51.0,56.33,16.0
60,아르헨티나,leonardobalerdi,Marseille,26.0,Argentina,leonardorafaeljara,34.0,70.0,71.0,65.0,68.0,72.0,67.0,53.0,81.0,80.0,75.0,61.0,7.67,66.5,69.0,54.0
61,아르헨티나,marcosacuna,River Plate,33.0,Argentina,mateoaguiar,18.0,50.0,51.0,46.0,54.0,42.0,42.0,53.0,47.0,46.0,50.0,60.0,11.0,55.5,40.67,38.0
62,아르헨티나,nahuelmolina,Atletico Madrid,27.0,Argentina,nahuelmolinalucero,27.0,79.0,76.0,75.0,74.0,76.0,78.0,79.0,85.0,63.0,70.0,84.0,9.0,72.5,76.0,67.0
63,아르헨티나,nicolasotamendi,Benfica,37.0,Argentina,nicolasblandi,35.0,65.0,59.0,61.0,64.0,62.0,55.0,51.0,34.0,72.0,67.0,50.0,14.33,59.0,30.0,67.0
64,아르헨티나,nicolastagliafico,Lyon,33.0,Argentina,nicolasmeriano,24.0,69.0,47.0,49.0,52.0,57.0,35.0,59.0,72.0,75.0,42.0,59.0,8.67,59.5,71.67,42.0
65,아르헨티나,alanvarela,FC Porto,24.0,Argentina,alanforneris,20.0,64.0,52.0,48.0,61.0,57.0,62.0,40.0,70.0,71.0,58.0,52.0,8.33,67.5,60.0,35.0
66,아르헨티나,alexismacallister,Liverpool,26.0,Argentina,alexismacallister,26.0,87.0,86.0,84.0,86.0,89.0,79.0,68.0,87.0,69.0,88.0,64.0,10.67,87.5,78.33,79.0
67,아르헨티나,claudioecheverri,Bayer Leverkusen,19.0,Argentina,santiagoecheverria,35.0,67.0,35.0,38.0,62.0,63.0,48.0,55.0,51.0,84.0,31.0,53.0,14.67,45.5,70.33,21.0
68,아르헨티나,exequielpalacios,Bayer Leverkusen,26.0,Argentina,ezequielcannavo,23.0,66.0,65.0,65.0,55.0,61.0,65.0,73.0,80.0,78.0,58.0,69.0,10.67,66.5,62.0,50.0
69,아르헨티나,giovanilocelso,Real Betis,29.0,Argentina,giovanilocelso,29.0,82.0,85.0,85.0,82.0,80.0,81.0,67.0,67.0,69.0,83.0,68.0,13.0,82.0,68.33,82.0
70,아르헨티나,giulianosimeone,Atletico Madrid,22.0,Argentina,giulianosimeonebaldini,22.0,81.0,78.0,82.0,77.0,79.0,76.0,92.0,84.0,79.0,76.0,91.0,11.33,71.5,41.33,76.0
71,아르헨티나,leandroparedes,Boca Juniors,31.0,Argentina,leandrodanielparedes,31.0,78.0,84.0,78.0,82.0,71.0,77.0,62.0,73.0,70.0,86.0,62.0,9.33,84.0,73.67,60.0
72,아르헨티나,paznico,Como,21.0,Argentina,gastonsuso,34.0,72.0,52.0,45.0,64.0,68.0,47.0,42.0,85.0,82.0,59.0,54.0,6.67,59.0,73.0,45.0
73,아르헨티나,rodrigodepaul,Inter Miami CF,31.0,Argentina,rodrigojavierdepaul,31.0,84.0,85.0,84.0,81.0,81.0,78.0,74.0,88.0,79.0,82.0,76.0,11.33,84.5,77.0,75.0
74,아르헨티나,angelcorrea,Tigres,30.0,Argentina,danielbarrea,23.0,68.0,66.0,67.0,61.0,64.0,67.0,75.0,75.0,75.0,70.0,85.0,10.67,55.0,29.33,67.0
75,아르헨티나,francomastantuono,Real Madrid,18.0,Argentina,francomastantuono,17.0,77.0,80.0,81.0,78.0,74.0,73.0,78.0,72.0,58.0,72.0,71.0,7.33,74.5,49.67,70.0
76,아르헨티나,joselopez,Palmeiras,24.0,Argentina,joelgodoy,20.0,59.0,54.0,22.0,39.0,54.0,47.0,62.0,61.0,58.0,37.0,64.0,12.67,51.0,56.33,16.0
77,아르헨티나,julianalvarez,Atletico Madrid,25.0,Argentina,julianalvarez,25.0,87.0,88.0,87.0,86.0,88.0,77.0,86.0,85.0,72.0,88.0,85.0,9.0,80.5,53.67,88.0
78,아르헨티나,lautaromartinez,Inter,28.0,Argentina,santiagomartinez,21.0,61.0,67.0,66.0,52.0,53.0,49.0,68.0,51.0,34.0,63.0,64.0,9.67,59.5,37.0,45.0
79,아르헨티나,lionelmessi,Inter Miami CF,38.0,Argentina,leonelbucca,26.0,69.0,73.0,76.0,65.0,64.0,56.0,76.0,79.0,78.0,63.0,77.0,7.33,67.5,65.33,64.0
80,아르헨티나,nicolasgonzalez,Atletico Madrid,27.0,Argentina,nicolasivangonzalez,27.0,78.0,79.0,79.0,76.0,75.0,76.0,79.0,73.0,51.0,75.0,84.0,7.67,73.5,41.0,78.0
81,아르헨티나,thiagoalmada,Atletico Madrid,24.0,Argentina,thiagosantamaria,22.0,68.0,67.0,66.0,65.0,61.0,64.0,79.0,73.0,67.0,54.0,72.0,10.33,60.5,64.33,35.0
82,아르헨티나,valentincarboni,Genoa,20.0,Argentina,valentincarboni,20.0,72.0,75.0,75.0,70.0,75.0,68.0,60.0,42.0,46.0,73.0,62.0,11.0,74.0,44.67,70.0
83,잉글랜드,deanhenderson,Crystal Palace,28.0,England,alexhenderson,20.0,57.0,55.0,56.0,53.0,55.0,53.0,68.0,70.0,69.0,55.0,71.0,12.0,57.5,44.0,51.0
84,잉글랜드,jamestrafford,Manchester City,22.0,England,jamesdadge,20.0,54.0,15.0,9.0,30.0,50.0,14.0,27.0,20.0,42.0,43.0,22.0,54.0,27.0,10.0,8.0
85,잉글랜드,jordanpickford,Everton,31.0,England,jordanleepickford,31.0,84.0,42.0,20.0,65.0,82.0,17.0,57.0,40.0,72.0,66.0,47.0,84.0,60.0,17.67,19.0
86,잉글랜드,danielburn,Newcastle United,33.0,England,danielgore,20.0,61.0,64.0,65.0,64.0,63.0,52.0,75.0,61.0,45.0,56.0,69.0,10.0,63.5,51.67,48.0
87,잉글랜드,djedspence,Tottenham Hotspur,25.0,England,bradspencer,29.0,60.0,58.0,48.0,43.0,60.0,39.0,67.0,61.0,54.0,52.0,63.0,8.67,62.0,56.67,32.0
88,잉글랜드,ezrikonsa,Aston Villa,27.0,England,ezrikonsangoyo,27.0,82.0,78.0,73.0,81.0,84.0,65.0,72.0,79.0,78.0,69.0,78.0,12.0,75.0,83.33,55.0
89,잉글랜드,jarellquansah,Bayer Leverkusen,22.0,England,jarellamorinquansah,22.0,75.0,71.0,69.0,76.0,71.0,38.0,66.0,64.0,79.0,54.0,73.0,9.0,72.5,75.0,26.0
90,잉글랜드,johnstones,Manchester City,31.0,England,johnstones,31.0,82.0,79.0,74.0,85.0,82.0,63.0,65.0,53.0,78.0,68.0,64.0,8.33,80.5,84.33,54.0
91,잉글랜드,marcguehi,Crystal Palace,25.0,England,markhelm,23.0,62.0,64.0,66.0,64.0,62.0,57.0,71.0,72.0,56.0,61.0,70.0,11.0,61.0,52.67,60.0
92,잉글랜드,myleslewisskelly,Arsenal,19.0,England,mylesanthonylewisskelly,18.0,78.0,77.0,77.0,79.0,77.0,73.0,77.0,75.0,79.0,69.0,76.0,10.67,76.5,75.33,55.0
93,잉글랜드,reecejames,Chelsea,25.0,England,reecejames,31.0,66.0,63.0,60.0,62.0,63.0,64.0,73.0,70.0,61.0,61.0,67.0,8.0,59.0,63.67,44.0
94,잉글랜드,reecejames,Chelsea,25.0,England,trevohthomaschalobah,25.0,79.0,74.0,70.0,78.0,78.0,62.0,64.0,67.0,83.0,65.0,68.0,7.0,76.0,79.33,46.0
95,잉글랜드,trevohchalobah,Chelsea,26.0,England,valentinofranciscolivramento,22.0,80.0,78.0,79.0,79.0,78.0,79.0,80.0,80.0,71.0,61.0,84.0,12.0,69.5,78.33,49.0
96,잉글랜드,valentinolivramento,Newcastle United,22.0,England,declanrice,26.0,87.0,84.0,82.0,86.0,85.0,88.0,71.0,92.0,78.0,87.0,73.0,7.33,86.0,84.0,64.0
97,잉글랜드,declanrice,Arsenal,26.0,England,georgebirch,18.0,52.0,50.0,51.0,51.0,51.0,48.0,74.0,48.0,32.0,48.0,70.0,10.0,49.0,38.67,46.0
98,잉글랜드,ezeeberechi,Arsenal,27.0,England,alexhenderson,20.0,57.0,55.0,56.0,53.0,55.0,53.0,68.0,70.0,69.0,55.0,71.0,12.0,57.5,44.0,51.0
99,잉글랜드,elliotanderson,Nottingham Forest,22.0,England,jordanbrianhenderson,35.0,79.0,78.0,74.0,78.0,79.0,81.0,62.0,77.0,77.0,77.0,67.0,9.67,82.0,75.67,69.0
100,잉글랜드,jordanhenderson,Brentford,35.0,England,morgananthonygibbswhite,25.0,82.0,85.0,83.0,84.0,82.0,80.0,76.0,80.0,68.0,79.0,75.0,11.0,83.5,59.0,77.0
101,잉글랜드,morgangibbswhite,Nottingham Forest,25.0,England,rubeniraloftuscheek,29.0,80.0,83.0,81.0,82.0,79.0,75.0,78.0,72.0,85.0,82.0,84.0,13.0,82.0,73.67,76.0
102,잉글랜드,rubenloftuscheek,Milan,29.0,England,anthonypatterson,25.0,73.0,24.0,20.0,36.0,68.0,16.0,29.0,30.0,58.0,54.0,32.0,72.67,52.5,15.67,12.0
103,잉글랜드,anthonygordon,Newcastle United,24.0,England,harrywood,22.0,60.0,63.0,61.0,60.0,55.0,59.0,66.0,63.0,60.0,55.0,63.0,13.0,62.0,51.67,57.0
104,잉글랜드,harrykane,Bayern München,32.0,England,jarrodbowen,28.0,83.0,82.0,82.0,80.0,84.0,80.0,78.0,83.0,66.0,80.0,74.0,10.33,76.5,42.33,84.0
105,잉글랜드,jarrodbowen,West Ham United,28.0,England,marcusrashford,27.0,80.0,80.0,83.0,76.0,77.0,78.0,87.0,64.0,65.0,93.0,87.0,10.67,75.0,27.67,79.0
106,잉글랜드,marcusrashford,Barcelona,27.0,England,marcroberts,34.0,66.0,56.0,33.0,52.0,62.0,23.0,40.0,66.0,79.0,33.0,42.0,12.33,57.0,64.0,21.0
107,잉글랜드,morganrogers,Aston Villa,23.0,England,colemcghee,19.0,54.0,34.0,37.0,44.0,52.0,23.0,42.0,62.0,70.0,35.0,45.0,5.33,46.5,56.0,25.0
108,잉글랜드,nonimadueke,Arsenal,23.0,England,olliewright,22.0,56.0,16.0,13.0,30.0,53.0,9.0,29.0,17.0,55.0,41.0,28.0,56.0,19.0,9.0,6.0
109,포르투갈,olliewatkins,Aston Villa,29.0,Portugal,diogosaramalho,26.0,64.0,66.0,62.0,60.0,59.0,52.0,62.0,70.0,63.0,65.0,66.0,9.0,66.0,50.67,63.0
110,포르투갈,diogocosta,FC Porto,26.0,Portugal,luismariagomes,21.0,61.0,69.0,68.0,55.0,62.0,40.0,65.0,49.0,32.0,51.0,64.0,8.0,60.0,32.33,51.0
111,포르투갈,sajose,Wolverhampton Wanderers,32.0,Portugal,luismariagomes,21.0,61.0,69.0,68.0,55.0,62.0,40.0,65.0,49.0,32.0,51.0,64.0,8.0,60.0,32.33,51.0
112,포르투갈,ruisilva,Sporting CP,31.0,Portugal,anthonylopes,34.0,76.0,21.0,15.0,65.0,75.0,19.0,65.0,36.0,73.0,49.0,64.0,77.33,31.5,13.67,18.0
113,포르투갈,antoniosilva,Benfica,21.0,Portugal,goncalofariacosta,25.0,67.0,76.0,75.0,55.0,59.0,62.0,76.0,73.0,56.0,35.0,77.0,10.33,36.0,66.33,42.0
114,포르투갈,goncaloinacio,Sporting CP,24.0,Portugal,yohantavares,37.0,68.0,58.0,55.0,69.0,69.0,48.0,52.0,66.0,75.0,48.0,57.0,12.0,60.5,68.0,36.0
115,포르투갈,joaocancelo,Al Hilal,31.0,Portugal,anthonylopes,34.0,76.0,21.0,15.0,65.0,75.0,19.0,65.0,36.0,73.0,49.0,64.0,77.33,31.5,13.67,18.0
116,포르투갈,nunomendes,Paris Saint-Germain,23.0,Portugal,yohantavares,37.0,68.0,58.0,55.0,69.0,69.0,48.0,52.0,66.0,75.0,48.0,57.0,12.0,60.5,68.0,36.0
117,포르투갈,nunotavares,Lazio,25.0,Portugal,renatodepalmaveiga,21.0,76.0,74.0,72.0,72.0,73.0,68.0,67.0,80.0,82.0,72.0,77.0,9.33,76.0,75.67,50.0
118,포르투갈,renatoveiga,Villarreal,22.0,Portugal,gilbastiaodias,28.0,70.0,72.0,72.0,67.0,70.0,67.0,75.0,71.0,64.0,66.0,69.0,8.33,65.0,61.67,63.0
119,포르투갈,rubendias,Manchester City,28.0,Portugal,jairamadorsilos,35.0,68.0,55.0,31.0,59.0,58.0,33.0,56.0,78.0,89.0,41.0,66.0,11.0,50.0,64.67,22.0
120,포르투갈,bernardosilva,Manchester City,31.0,Portugal,rogerfernandes,19.0,76.0,79.0,80.0,69.0,76.0,72.0,87.0,71.0,44.0,69.0,90.0,12.67,67.0,53.0,71.0
121,포르투갈,brunofernandes,Manchester United,31.0,Portugal,joaofelixsequeira,25.0,79.0,81.0,82.0,84.0,79.0,76.0,79.0,70.0,60.0,81.0,75.0,13.33,75.5,43.0,76.0
122,포르투갈,joaofelix,Al Nassr FC,25.0,Portugal,yohantavares,37.0,68.0,58.0,55.0,69.0,69.0,48.0,52.0,66.0,75.0,48.0,57.0,12.0,60.5,68.0,36.0
123,포르투갈,joaoneves,Paris Saint-Germain,21.0,Portugal,yohantavares,37.0,68.0,58.0,55.0,69.0,69.0,48.0,52.0,66.0,75.0,48.0,57.0,12.0,60.5,68.0,36.0
124,포르투갈,joaopalhinha,Tottenham Hotspur,30.0,Portugal,yohantavares,37.0,68.0,58.0,55.0,69.0,69.0,48.0,52.0,66.0,75.0,48.0,57.0,12.0,60.5,68.0,36.0
125,포르투갈,rubenneves,Al Hilal,28.0,Portugal,gilbastiaodias,28.0,70.0,72.0,72.0,67.0,70.0,67.0,75.0,71.0,64.0,66.0,69.0,8.33,65.0,61.67,63.0
126,포르투갈,vitinha,Paris Saint-Germain,25.0,Portugal,pedrolombaneto,25.0,80.0,81.0,82.0,76.0,75.0,78.0,92.0,73.0,65.0,80.0,90.0,8.0,69.5,35.0,75.0
127,포르투갈,chicoconceicao,Juventus,22.0,Portugal,christianneivaafonso,30.0,70.0,62.0,60.0,61.0,67.0,67.0,83.0,73.0,68.0,57.0,84.0,15.0,62.5,65.67,41.0
128,포르투갈,cristianoronaldo,Al Nassr FC,40.0,Portugal,goncalofariacosta,25.0,67.0,76.0,75.0,55.0,59.0,62.0,76.0,73.0,56.0,35.0,77.0,10.33,36.0,66.33,42.0
129,포르투갈,goncaloramos,Paris Saint-Germain,24.0,Portugal,pedrolombaneto,25.0,80.0,81.0,82.0,76.0,75.0,78.0,92.0,73.0,65.0,80.0,90.0,8.0,69.5,35.0,75.0
130,포르투갈,pedrogoncalves,Sporting CP,27.0,Portugal,pedrolombaneto,25.0,80.0,81.0,82.0,76.0,75.0,78.0,92.0,73.0,65.0,80.0,90.0,8.0,69.5,35.0,75.0
131,포르투갈,pedroneto,Chelsea,25.0,Portugal,anthonylopes,34.0,76.0,21.0,15.0,65.0,75.0,19.0,65.0,36.0,73.0,49.0,64.0,77.33,31.5,13.67,18.0
132,브라질,trincao,Sporting CP,25.0,Brazil,alissonramsesbecker,32.0,89.0,42.0,27.0,66.0,87.0,17.0,60.0,32.0,78.0,65.0,49.0,88.33,59.0,16.67,13.0
133,브라질,alissonbecker,Liverpool,32.0,Brazil,bentomatheuskrepski,26.0,80.0,16.0,9.0,30.0,77.0,11.0,39.0,19.0,58.0,58.0,40.0,81.0,20.0,9.33,5.0
134,브라질,bentokrepski,Al Nassr FC,26.0,Brazil,rodrigoguth,24.0,68.0,54.0,46.0,66.0,67.0,41.0,63.0,66.0,77.0,49.0,71.0,9.67,62.0,68.67,33.0
