,Nation,Eng_Nation,Name,Club,Position,Age,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14,Position_Class
14,가나,Ghana,Antoine Serlom Semenyo,AFC Bournemouth,RM,25,80,81,82,79,79,74,78,84,79,81,82,10.67,71.5,36.33,83,MF
15,가나,Ghana,Joseph Martin Paintsil,LA Galaxy,LM,27,76,74,82,71,74,71,92,77,70,69,89,11.67,62.5,33.33,73,MF
16,가나,Ghana,Issahaku Abdul Fatawu,Leicester City,RM,21,76,77,78,71,73,77,87,69,59,84,80,8.33,73.5,45.33,69,MF
17,가나,Ghana,Ernest Nuamah Appiah,Olympique Lyonnais,RM,21,75,78,80,72,72,71,85,62,62,77,79,11.0,66.5,24.33,71,MF
18,가나,Ghana,Emanuel Quartsin Gyasi,Palermo FC,RM,31,74,72,75,67,76,70,81,84,65,66,78,8.67,65.0,49.33,65,MF
19,가나,Ghana,Elisha Owusu,AJ Auxerre,CDM,27,73,72,70,68,71,60,62,76,68,68,50,11.0,73.5,72.0,47,MF
20,가나,Ghana,Mohammed Kudus,Tottenham Hotspur,RW,24,80,83,88,80,77,70,91,73,76,81,88,7.67,72.0,57.33,76,FW
21,가나,Ghana,Osman Bukari,Austin FC,RW,26,72,72,77,69,66,60,87,73,63,67,83,9.0,58.0,38.33,67,FW
22,가나,Ghana,André Morgan Rami Ayew,,ST,35,72,74,72,74,73,72,52,44,67,75,52,10.67,71.0,54.0,72,FW
23,가나,Ghana,Emmanuel Okyere Boateng,Gaziantep FK,ST,29,72,67,70,67,70,63,91,78,70,77,91,13.67,56.0,34.67,71,FW
24,가나,Ghana,Caleb Ansah Ekuban,Genoa,ST,31,71,69,69,66,67,64,79,66,78,70,82,8.33,62.5,21.0,71,FW
25,가나,Ghana,Abdul-Aziz Yakubu,Qingdao West Coast FC,ST,26,71,68,67,68,71,43,83,76,81,74,83,12.0,53.0,14.67,71,FW
26,그리스,Greece,Konstantinos TzolakisΚωνσταντίνος Τζολάκης,Olympiacos FC,GK,22,79,41,26,61,73,12,53,43,68,56,56,79.67,51.5,12.0,10,GK
27,그리스,Greece,Vasilis Cornelius BarkasΒασίλειος Μπάρκας,FC Utrecht,GK,31,74,24,15,60,73,14,44,39,70,55,40,74.0,34.0,14.0,10,GK
28,그리스,Greece,Christos MandasΧρήστος Μανδάς,Lazio,GK,23,74,18,12,31,71,11,22,23,45,54,25,74.67,25.0,10.33,8,GK
29,그리스,Greece,Konstantinos KoulierakisΚωνσταντίνος Κουλιεράκης,VfL Wolfsburg,CB,21,77,70,62,66,73,42,71,76,78,75,68,9.67,70.0,77.0,24,DF
30,그리스,Greece,Panagiotis RetsosΠαναγιώτης Ρέτσος,Olympiacos FC,CB,26,77,77,54,73,79,57,67,68,80,66,71,9.0,73.5,75.33,28,DF
31,그리스,Greece,Konstantinos TsimikasΚωνσταντίνος Τσιμίκας,Roma,LB,29,77,75,75,71,74,81,79,69,69,72,78,10.33,73.5,75.0,48,DF
32,그리스,Greece,Konstantinos MavropanosΚωνσταντίνος Μαυροπάνος,West Ham United,CB,27,76,60,60,63,75,45,64,65,88,77,76,9.67,68.0,76.67,50,DF
33,그리스,Greece,Dimitris GiannoulisΔημήτριος Γιαννούλης,FC Augsburg,LB,29,76,72,74,65,73,72,79,90,56,68,86,11.67,69.0,70.67,48,DF
34,그리스,Greece,Georgios VagiannidisΓεώργιος Βαγιαννίδης,Sporting CP,RB,23,75,76,75,66,72,73,83,81,63,63,80,10.67,70.0,70.33,52,DF
35,그리스,Greece,Lazaros RotaΛάζαρος Ρότα,AEK Athens,RB,27,75,71,69,67,71,76,80,84,69,65,81,7.33,70.0,72.0,38,DF
36,그리스,Greece,Giorgos KyriakopoulosΓεώργιος Κυριακόπουλος,Panathinaikos FC,LB,29,74,73,71,69,70,77,65,80,68,81,64,12.0,68.0,73.0,54,DF
37,그리스,Greece,Pantelis ChatzidiakosΠαντελής Χατζηδιάκος,FC København,CB,28,73,68,62,69,72,64,69,72,77,68,67,9.67,71.0,72.67,46,DF
38,그리스,Greece,Konstantinos FortounisΚωνσταντίνος Φορτούνης,Al Khaleej,CAM,32,80,82,80,81,78,77,71,67,66,76,74,13.33,82.5,41.0,79,MF
39,그리스,Greece,Christos TzolisΧρήστος Τζόλης,Club Brugge KV,LM,23,80,81,84,78,77,72,85,85,63,78,72,10.33,76.0,36.67,78,MF
40,그리스,Greece,Giannis KonstanteliasΓιάννης Κωνσταντέλιας,PAOK,CAM,22,77,80,83,73,72,71,80,74,54,68,77,8.67,75.0,37.33,73,MF
41,그리스,Greece,Anastasios BakasetasΑναστάσιος Μπακασέτας,Panathinaikos FC,CAM,32,76,79,73,77,76,76,67,74,78,86,68,11.33,75.5,55.0,77,MF
42,그리스,Greece,Petros MantalosΠέτρος Μάνταλος,AEK Athens,CAM,33,75,77,75,79,72,75,72,67,63,67,71,10.0,79.0,52.0,66,MF
43,그리스,Greece,Christos ZafeirisΧρήστος Ζαφείρης,SK Slavia Praha,CM,22,75,78,78,76,76,69,82,82,74,74,74,11.67,74.0,66.67,67,MF
44,그리스,Greece,"Emmanouil ""Manolis"" SiopisΜανώλης Σιώπης",Panathinaikos FC,CDM,31,74,68,67,75,77,58,78,89,67,64,69,7.0,68.5,75.0,40,MF
45,그리스,Greece,Dimitrios PelkasΔημήτριος Πέλκας,PAOK,CAM,31,72,73,74,69,65,69,75,69,57,69,73,12.33,70.5,43.67,68,MF
46,그리스,Greece,Vangelis PavlidisΒαγγέλης Παυλίδης,SL Benfica,ST,26,82,82,81,77,83,62,81,87,82,83,77,13.33,73.5,42.33,84,FW
47,그리스,Greece,Fotis IoannidisΦώτης Ιωαννίδης,Sporting CP,ST,25,77,79,78,78,73,50,76,75,79,75,78,5.33,64.5,30.0,79,FW
48,그리스,Greece,Georgios GiakoumakisΓεώργιος Γιακουμάκης,PAOK,ST,30,75,73,62,70,76,36,68,69,85,78,75,9.67,58.0,23.67,77,FW
49,그리스,Greece,Anastasios DouvikasΑναστάσιος Δουβίκας,Como,ST,25,73,74,73,71,70,60,82,76,70,74,77,10.0,66.0,27.67,75,FW
50,그리스,Greece,Georgios MasourasΓεώργιος Μασούρας,Al Khaleej,ST,31,73,76,75,74,73,75,74,73,69,76,71,12.0,72.0,45.67,73,FW
51,그리스,Greece,Stefanos TzimasΣτέφανος Τζίμας,Brighton & Hove Albion,ST,19,72,71,69,68,67,34,79,69,76,72,74,10.67,58.0,26.0,72,FW
52,나이지리아,Nigeria,Maduka Emilio Okoye,Udinese,GK,25,74,18,14,37,70,15,23,34,75,51,26,75.0,42.0,16.0,6,GK
53,나이지리아,Nigeria,Joshua Oluwayemi,Wellington Phoenix,GK,24,60,28,18,34,60,14,36,21,52,43,35,60.0,33.0,9.0,5,GK
54,나이지리아,Nigeria,Hassan Sani,Al Ain,GK,18,52,18,9,25,42,13,22,15,56,39,20,50.33,26.0,12.33,7,GK
55,나이지리아,Nigeria,Temitayo Olufisayo Olaoluwa Aina,Nottingham Forest,RB,28,80,74,76,74,78,77,89,77,75,77,87,8.67,70.5,79.0,54,DF
56,나이지리아,Nigeria,Calvin Bassey Ughelumba,Fulham FC,CB,25,78,66,69,70,77,68,75,86,88,65,86,8.0,65.5,77.67,36,DF
57,나이지리아,Nigeria,Bright Osayi-Samuel,Birmingham City,RB,27,76,77,81,63,73,65,92,81,82,65,93,14.0,63.0,71.67,58,DF
58,나이지리아,Nigeria,Jordan Torunarigha,Hamburger SV,CB,27,75,66,60,71,66,56,79,72,89,42,84,7.0,72.5,73.0,42,DF
59,나이지리아,Nigeria,Igoh Ogbu,SK Slavia Praha,CB,25,75,63,54,61,71,42,72,71,88,45,79,9.33,65.5,72.33,40,DF
60,나이지리아,Nigeria,Felix Agu,SV Werder Bremen,LB,25,75,75,74,66,74,64,88,78,54,49,93,11.0,65.0,72.0,58,DF
61,나이지리아,Nigeria,Kevin John Ufuoma Akpoguma,TSG 1899 Hoffenheim,CB,30,74,73,73,60,76,65,76,65,80,70,76,11.0,65.0,74.0,45,DF
62,나이지리아,Nigeria,Gabriel Jeremiah Adedayo Osho,Cardiff City,CB,26,73,68,65,62,70,56,65,70,78,44,69,10.0,63.0,73.33,24,DF
63,나이지리아,Nigeria,Kingsley Osezele Ehizibue,Udinese,RB,30,73,70,70,66,68,70,87,77,72,70,89,11.67,67.0,66.33,54,DF
64,나이지리아,Nigeria,Alexander Chuka Iwobi,Fulham FC,LM,29,80,81,84,81,79,78,77,88,72,75,75,13.0,76.5,55.33,74,MF
65,나이지리아,Nigeria,Samuel Chimerenka Chukwueze,Fulham FC,RM,26,80,82,86,72,77,76,91,62,58,78,86,8.67,71.5,35.0,75,MF
66,나이지리아,Nigeria,Chidera Ejuke,Sevilla FC,LM,27,78,80,82,70,74,72,91,74,61,77,89,10.67,70.0,38.0,67,MF
67,나이지리아,Nigeria,Nathan Adewale Temitayo Tella,Bayer 04 Leverkusen,RM,25,78,79,82,73,66,74,85,78,52,80,81,9.0,69.5,42.0,77,MF
68,나이지리아,Nigeria,Raphael Onyedika Nwadike,Club Brugge KV,CDM,24,77,75,70,74,72,51,74,88,80,80,73,11.0,74.5,74.33,59,MF
69,나이지리아,Nigeria,Moses Daddy-Ajala Simon,Paris FC,LM,29,77,78,83,73,70,78,90,73,66,75,89,9.67,66.5,35.0,68,MF
70,나이지리아,Nigeria,Onyinye Wilfred Ndidi,Beşiktaş JK,CDM,28,76,74,72,75,76,72,61,80,78,75,66,11.0,74.0,74.0,61,MF
71,나이지리아,Nigeria,Ogochukwu Frank Onyeka,Brentford,CM,27,74,75,72,70,73,58,68,85,74,70,79,11.67,74.5,71.0,64,MF
72,나이지리아,Nigeria,Victor James Osimhen,Galatasaray SK,ST,26,87,84,80,80,88,62,91,81,91,86,92,9.67,63.0,34.33,88,FW
73,나이지리아,Nigeria,Ademola Olajade Alade Aylola Lookman,Atalanta,ST,27,84,88,89,80,86,66,90,73,63,86,83,11.0,71.0,25.67,87,FW
74,나이지리아,Nigeria,Victor Okoh Boniface,SV Werder Bremen,ST,24,81,82,84,78,78,48,65,55,90,91,69,11.0,67.5,31.67,82,FW
75,나이지리아,Nigeria,Toluwalase Emmanuel Arokodare,Wolverhampton Wanderers,ST,24,79,79,75,65,72,35,71,71,91,79,79,10.67,63.5,26.0,85,FW
76,나이지리아,Nigeria,Umar Sadiq Mesbah,Real Sociedad,ST,28,77,74,74,67,73,54,79,74,89,81,85,10.33,62.5,25.33,76,FW
77,나이지리아,Nigeria,Christantus Ugonna Uche Uche,Crystal Palace,ST,22,76,77,75,68,76,51,66,83,86,79,70,11.67,75.0,65.0,74,FW
78,남아프리카공화국,South Africa,Siyabonga Ngezana,FCSB,CB,27,73,60,57,70,70,30,75,80,83,45,75,11.0,62.5,74.67,40,DF
79,남아프리카공화국,South Africa,Gift Links,Aarhus Gymnastikforening,LB,26,72,70,73,67,66,72,89,79,61,61,85,9.67,66.5,64.67,56,DF
80,남아프리카공화국,South Africa,Bongokuhle Hlongwane,Minnesota United FC,RB,25,71,72,73,66,69,65,79,79,72,72,81,10.67,55.5,66.33,69,DF
81,남아프리카공화국,South Africa,Ime Okon,Hannover 96,CB,21,67,68,56,51,58,41,79,64,72,53,76,9.67,48.5,67.67,22,DF
82,남아프리카공화국,South Africa,Samukelo Kabini,Molde FK,LB,21,63,63,59,54,58,58,70,63,60,31,72,9.0,56.0,58.67,25,DF
83,남아프리카공화국,South Africa,Olwethu Makhanya,Philadelphia Union,CB,21,57,49,38,52,50,36,78,59,69,41,70,10.67,51.5,58.33,30,DF
84,남아프리카공화국,South Africa,Kobamelo Kodisang,AVS Futebol SAD,RM,25,68,68,67,60,64,62,83,54,48,64,84,12.0,59.5,26.67,70,MF
85,남아프리카공화국,South Africa,Moegamat Yusuf Maart,SV Ried,CM,29,67,71,66,62,60,47,75,66,45,63,72,13.67,72.5,58.67,47,MF
86,남아프리카공화국,South Africa,Luke Gareth Le Roux,Portsmouth,CM,25,66,67,63,62,65,51,73,80,65,59,53,14.0,67.0,60.0,60,MF
87,남아프리카공화국,South Africa,Sphephelo Sithole,CD Tondela,CDM,26,65,61,62,66,63,50,63,66,78,64,64,10.33,62.5,62.67,46,MF
88,남아프리카공화국,South Africa,Kgaogelo Chauke,Burton Albion,CM,22,61,61,63,56,61,52,74,69,59,59,69,10.67,61.5,56.33,55,MF
89,남아프리카공화국,South Africa,Lyle Brent Foster,Burnley,ST,24,72,71,69,68,68,62,79,71,76,76,82,8.67,58.0,33.33,74,FW
90,남아프리카공화국,South Africa,Shandre Miguel Campbell,Club Brugge KV,LW,19,65,70,71,54,58,57,83,37,64,62,77,8.67,56.0,22.33,60,FW
91,남아프리카공화국,South Africa,Mohau Nkota,Al Ettifaq,RW,20,64,61,68,46,57,56,92,67,40,71,90,10.0,52.0,20.67,58,FW
92,남아프리카공화국,South Africa,Antonio van Wyk,SV Ried,LW,23,62,62,58,56,55,58,78,56,55,59,75,8.33,55.5,28.0,61,FW
93,남아프리카공화국,South Africa,Elias Mokwana,Al Hazem FC,RW,25,51,53,58,47,31,47,61,43,44,63,61,12.67,38.5,22.0,54,FW
94,네덜란드,Netherlands,Jacobus Antonius Peter Cillessen,NEC Nijmegen,GK,36,79,32,12,61,79,17,56,40,67,53,50,78.67,41.5,13.67,10,GK
95,네덜란드,Netherlands,Marco Bizot,Aston Villa,GK,34,78,32,12,47,76,20,45,31,63,54,47,78.33,30.5,12.33,15,GK
96,네덜란드,Netherlands,Mark Flekken,Bayer 04 Leverkusen,GK,32,78,34,12,62,74,14,29,28,72,60,36,78.33,55.0,16.0,16,GK
97,네덜란드,Netherlands,Virgil van Dijk,Liverpool,CB,33,90,77,70,90,90,53,66,75,93,81,78,11.67,81.5,89.67,52,DF
98,네덜란드,Netherlands,Stefan de Vrij,Inter,CB,33,84,74,66,85,85,49,63,70,74,65,61,11.67,78.5,85.67,25,DF
99,네덜란드,Netherlands,Denzel Justus Morris Dumfries,Inter,RB,29,84,82,80,78,83,82,78,88,81,74,88,12.33,77.0,78.33,75,DF
100,네덜란드,Netherlands,Nathan Benjamin Aké,Manchester City,CB,30,83,79,73,79,84,63,73,64,76,64,71,12.0,77.5,84.0,48,DF
101,네덜란드,Netherlands,Jeremie Agyekum Frimpong,Liverpool,RB,24,83,83,85,76,84,82,95,85,47,62,93,13.0,70.5,74.67,66,DF
102,네덜란드,Netherlands,Matthijs de Ligt,Manchester United,CB,25,82,72,65,80,81,52,54,64,91,84,68,11.33,75.0,81.0,50,DF
103,네덜란드,Netherlands,Sven Adriaan Botman,Newcastle United,CB,25,82,74,63,76,80,43,48,66,89,65,63,10.67,76.0,83.0,24,DF
104,네덜란드,Netherlands,Micky van de Ven,Tottenham Hotspur,CB,24,82,75,73,81,82,58,84,69,85,59,95,8.33,75.0,83.33,43,DF
105,네덜란드,Netherlands,Jurriën David Norman Timber,Arsenal,RB,24,82,78,77,82,82,76,76,79,82,61,76,11.33,75.5,81.33,41,DF
106,네덜란드,Netherlands,Frenkie de Jong,FC Barcelona,CM,28,87,88,86,90,87,78,80,87,73,68,83,8.67,88.5,77.0,75,MF
107,네덜란드,Netherlands,Tijjani Martinus Jan Reijnders Lekatompessy,Manchester City,CM,26,86,88,84,84,85,73,83,92,69,85,75,9.67,85.5,76.67,78,MF
108,네덜란드,Netherlands,Ryan Jiro Gravenberch,Liverpool,CDM,23,85,87,88,88,84,74,76,85,80,79,76,11.67,84.0,80.0,78,MF
109,네덜란드,Netherlands,Xavier Quentin Shay Simons,Tottenham Hotspur,CAM,22,84,86,87,81,85,74,83,82,62,78,72,9.0,81.5,59.33,79,MF
110,네덜란드,Netherlands,Cody Mathès Gakpo,Liverpool,LM,26,84,85,86,83,83,83,85,76,75,88,82,9.67,78.0,40.33,81,MF
111,네덜란드,Netherlands,Teun Koopmeiners,Juventus,CAM,27,81,83,76,81,82,79,71,83,71,82,70,12.0,84.5,74.0,76,MF
112,네덜란드,Netherlands,Marten Elco de Roon,Atalanta,CM,34,81,81,77,83,78,70,53,90,73,79,67,12.67,84.5,83.0,70,MF
113,네덜란드,Netherlands,Jerdy Hendrikus Gerardus Bernardus Schouten,PSV,CDM,28,80,79,75,83,78,59,60,71,75,65,60,10.0,80.0,80.33,58,MF
114,네덜란드,Netherlands,Memphis Depay,,ST,31,81,84,85,80,81,77,78,74,82,85,80,10.0,76.0,24.67,82,FW
115,네덜란드,Netherlands,Noa Noëll Lang,Napoli,LW,26,80,84,84,83,82,69,84,78,60,74,76,12.33,72.5,47.0,80,FW
116,네덜란드,Netherlands,Steven Berghuis,Ajax,RW,33,78,81,75,79,74,83,74,74,64,82,69,10.33,81.5,36.67,76,FW
117,네덜란드,Netherlands,Luuk de Jong,FC Porto,ST,34,78,81,70,80,80,66,41,71,87,83,39,11.67,72.0,50.67,78,FW
118,네덜란드,Netherlands,Wout François Maria Weghorst,Ajax,ST,32,78,79,66,74,82,38,45,76,92,84,62,13.0,66.0,53.67,80,FW
119,네덜란드,Netherlands,Emmanuel Esseh Emegha,RC Strasbourg Alsace,ST,22,78,76,69,75,77,47,81,84,82,78,95,9.0,57.0,23.33,79,FW
120,노르웨이,Norway,Ørjan Håskjold Nyland,Sevilla FC,GK,34,76,23,21,39,73,12,47,33,70,58,48,75.0,32.0,13.33,11,GK
121,노르웨이,Norway,Mathias Lønne Dyngeland,SK Brann,GK,29,70,30,18,58,65,18,44,35,59,51,42,69.67,51.0,17.0,13,GK
122,노르웨이,Norway,Christian Kjetil Haug,Toulouse FC,GK,27,70,24,17,31,64,18,43,27,59,51,49,70.33,37.5,19.0,13,GK
123,노르웨이,Norway,Julian Ryerson,Borussia Dortmund,RB,27,79,76,76,74,77,79,77,83,80,73,72,7.0,72.5,79.33,62,DF
124,노르웨이,Norway,Andreas Schjølberg Hanche-Olsen,1. FSV Mainz 05,CB,28,75,60,62,76,74,58,68,68,81,51,72,9.33,64.5,73.67,35,DF
125,노르웨이,Norway,Jonas Svensson,Beşiktaş JK,RB,32,75,72,70,77,67,67,76,89,73,71,73,13.67,69.5,74.67,55,DF
126,노르웨이,Norway,Kristoffer Vassbakk Köpp Ajer,Brentford,RB,27,75,74,71,77,75,69,63,69,89,64,70,8.67,67.5,75.33,58,DF
127,노르웨이,Norway,Fredrik André Bjørkan,FK Bodø/Glimt,LB,26,74,71,73,67,70,68,81,91,70,58,81,10.0,65.0,68.0,53,DF
128,노르웨이,Norway,Jakob Glesnes,Philadelphia Union,CB,31,73,66,60,75,72,44,54,91,83,88,51,7.67,65.5,73.0,36,DF
129,노르웨이,Norway,Leo Skiri Østigård,Genoa,CB,25,73,61,58,58,71,48,63,65,82,52,58,9.0,58.5,70.33,33,DF
130,노르웨이,Norway,Torbjørn Lysaker Heggem,Bologna,CB,26,73,67,66,68,71,58,70,79,82,54,75,9.33,64.5,72.33,44,DF
131,노르웨이,Norway,David Møller Wolfe,Wolverhampton Wanderers,LB,23,73,70,68,66,71,71,77,82,76,59,79,9.67,64.5,68.0,52,DF
132,노르웨이,Norway,Martin Ødegaard,Arsenal,CM,26,87,88,87,87,88,86,68,88,55,82,68,10.67,89.0,65.67,79,MF
133,노르웨이,Norway,Fredrik Aursnes,SL Benfica,CM,29,80,82,78,82,83,76,73,92,78,74,75,11.0,79.5,77.0,71,MF
134,노르웨이,Norway,Sander Gard Bolin Berge,Fulham FC,CDM,27,79,78,75,78,77,66,54,81,89,78,55,10.67,79.0,74.67,63,MF
135,노르웨이,Norway,Patrick Berg,FK Bodø/Glimt,CDM,27,77,75,72,78,76,72,72,92,75,69,74,10.67,77.0,71.33,64,MF
136,노르웨이,Norway,Antonio Eromonsele Nordby Nusa,RB Leipzig,LM,20,76,80,81,68,70,67,92,73,59,83,86,10.33,66.0,45.67,73,MF
137,노르웨이,Norway,Mohamed Amine Elyounoussi,FC København,RM,30,76,79,78,76,74,69,76,86,66,74,76,10.67,68.5,59.33,74,MF
138,노르웨이,Norway,Kristian Thorstvedt,Sassuolo,CM,26,75,76,76,72,72,68,55,86,83,78,66,10.33,76.0,65.0,69,MF
139,노르웨이,Norway,Aron Leonard Dønnum,Toulouse FC,RM,27,75,76,77,71,73,69,84,85,72,69,80,7.67,68.0,48.0,68,MF
140,노르웨이,Norway,Erling Braut Håland,Manchester City,ST,24,90,82,79,86,93,58,79,76,93,94,92,8.33,71.5,38.0,94,FW
141,노르웨이,Norway,Alexander Sørloth,Atlético Madrid,ST,29,84,82,77,83,83,66,72,84,90,86,81,12.67,68.5,27.67,85,FW
142,노르웨이,Norway,Jørgen Strand Larsen,Wolverhampton Wanderers,ST,25,78,78,69,73,79,45,72,84,86,76,78,8.0,63.5,26.33,82,FW
143,노르웨이,Norway,Zlatko Hovland Tripić,Viking FK,RW,32,76,75,76,79,68,76,83,86,80,81,84,12.33,72.0,56.0,73,FW
144,노르웨이,Norway,Andreas Rædergård Schjelderup,SL Benfica,LW,21,75,79,81,74,73,69,83,77,50,72,77,13.0,67.5,35.67,70,FW
145,노르웨이,Norway,Jens Petter Hauge,FK Bodø/Glimt,LW,25,74,75,75,70,70,71,83,79,60,69,77,8.67,68.0,37.33,71,FW
146,대한민국,South Korea,Hyeon-woo Jo조현우 崔永宇,Ulsan HD FC,GK,33,75,18,12,63,72,11,52,29,33,47,50,76.33,25.5,21.0,18,GK
147,대한민국,South Korea,Chang-geun Lee이창근 李灿东,Daejeon Citizen,GK,31,74,24,16,60,66,14,45,22,60,50,46,74.0,29.0,15.67,19,GK
148,대한민국,South Korea,Bum-keun Song송범근,Jeonbuk Hyundai Motors,GK,27,74,19,15,58,71,12,24,22,40,50,27,74.67,20.0,16.0,17,GK
149,대한민국,South Korea,Min-jae Kim김민재 金敏在,FC Bayern München,CB,28,82,67,57,66,81,35,73,79,85,51,73,12.67,70.0,81.67,23,DF
150,대한민국,South Korea,Jin-seob Park박진섭,Jeonbuk Hyundai Motors,CB,29,71,66,59,56,67,48,68,82,90,66,72,9.33,67.5,67.33,47,DF
151,대한민국,South Korea,Seung-wook Park박승욱,Pohang Steelers,CB,28,71,66,60,61,68,60,73,83,84,52,78,9.67,71.0,68.0,34,DF
152,대한민국,South Korea,Young-gwon Kim김영권 金英权,Ulsan HD FC,CB,35,70,62,54,66,62,53,61,66,82,50,67,13.33,73.5,67.67,39,DF
153,대한민국,South Korea,Kyung-won Kwon권경원 权敬源,FC Anyang,CB,33,70,64,58,64,62,55,70,73,86,55,59,13.0,67.5,68.67,39,DF
154,대한민국,South Korea,Ji-su Park박지수 朴志洙,Wuhan Three Towns,CB,31,70,60,55,57,57,38,65,72,78,54,72,11.33,66.5,70.0,46,DF
155,대한민국,South Korea,Seung-hyun Jung정승현 郑承铉,Ulsan HD FC,CB,31,70,57,34,63,65,32,41,73,87,55,47,12.33,61.5,70.33,26,DF
156,대한민국,South Korea,Min-kwang Jeon전민광,Pohang Steelers,CB,32,70,59,53,59,65,47,77,80,84,61,74,10.0,62.5,67.33,45,DF
157,대한민국,South Korea,Myung-jae Lee이명재 李明载,Daejeon Citizen,LB,31,70,68,69,57,68,70,78,78,61,52,76,14.67,62.5,65.0,42,DF
158,대한민국,South Korea,Jae-sung Lee이재성 李在成,1. FSV Mainz 05,CAM,32,77,81,80,78,78,68,74,85,56,71,71,9.33,73.0,59.33,71,MF
159,대한민국,South Korea,In-beom Hwang황인범,Feyenoord,CM,28,77,76,76,77,78,65,64,86,58,78,61,8.0,79.0,60.33,67,MF
160,대한민국,South Korea,Dong-gyeong Lee이동경,Gimcheon Sangmu FC,CAM,27,75,76,75,62,74,73,75,90,71,77,79,7.0,73.0,58.67,73,MF
161,대한민국,South Korea,Hyeon-seok Hong홍현석,FC Nantes,CAM,26,73,75,75,74,72,73,77,74,59,70,67,12.0,72.5,68.33,72,MF
162,대한민국,South Korea,Woo-yeong Jeong정우영,1. FC Union Berlin,CAM,25,73,78,79,65,69,70,78,75,54,59,74,8.67,67.5,34.0,66,MF
163,대한민국,South Korea,Seung-ho Paik백승호,Birmingham City,CDM,28,72,72,73,70,69,61,72,89,73,74,63,10.0,72.0,66.0,63,MF
164,대한민국,South Korea,Bong-soo Kim김봉수,Daejeon Citizen,CDM,25,72,69,62,62,69,52,66,87,78,67,68,13.67,69.5,67.0,53,MF
165,대한민국,South Korea,Seung-beom Ko고승범 高承范,Ulsan HD FC,CM,31,71,73,65,72,74,63,72,93,74,62,74,11.67,70.0,67.0,57,MF
166,대한민국,South Korea,Heung-min Son손흥민 孙兴慜,Los Angeles FC,LW,32,85,85,84,86,85,81,85,87,69,88,83,9.0,77.5,37.33,84,FW
167,대한민국,South Korea,Kang-in Lee이강인,Paris Saint-Germain,RW,24,79,82,82,81,76,81,75,73,56,79,69,11.0,79.5,46.0,75,FW
168,대한민국,South Korea,Hee-chan Hwang황희찬 黄喜灿,Wolverhampton Wanderers,ST,29,75,74,76,79,75,68,86,66,68,77,76,12.33,69.5,33.33,76,FW
169,대한민국,South Korea,Min-kyu Joo주민규 朱文奎,Daejeon Citizen,ST,35,74,74,66,71,69,41,60,71,88,77,64,14.0,57.5,41.0,78,FW
170,대한민국,South Korea,Jin-woo Jeon전진우,Jeonbuk Hyundai Motors,RW,25,72,72,76,53,72,55,87,65,65,65,90,9.0,54.5,31.0,74,FW
