Year,Nation,Eng_Nation,Q_WR,Q_GR,F_Rank,F_Point,F_Rd,F_Pd
1999,독일,Germany,0.5384615384615384,8,5.0,735.0,,
1999,가나,Ghana,0.4,0,47.0,543.0,,
1999,그리스,Greece,0.6111111111111112,15,37.0,568.0,,
1999,온두라스,Honduras,0.7,15,75.0,450.0,,
1999,이란,Iran,0.3333333333333333,2,50.0,534.0,,
1999,이탈리아,Italy,0.2222222222222222,2,8.0,714.0,,
1999,코트디부아르,Ivory Coast,0.4444444444444444,4,48.0,541.0,,
1999,일본,Japan,0.0,-7,51.0,533.0,,
1999,멕시코,Mexico,0.4583333333333333,11,10.0,709.0,,
1999,모로코,Morocco,0.4444444444444444,-1,21.0,620.0,,
1999,네덜란드,Netherlands,0.0,-3,14.0,668.0,,
1999,나이지리아,Nigeria,0.4,-3,76.0,450.0,,
1999,북한,North Korea,0.0,0,163.0,135.0,,
1999,파라과이,Paraguay,0.5294117647058824,7,18.0,647.0,,
1999,폴란드,Poland,0.4166666666666667,0,29.0,595.0,,
1999,포르투갈,Portugal,0.6666666666666666,28,13.0,671.0,,
1999,러시아,Russia,0.7777777777777778,15,19.0,642.0,,
1999,사우디아라비아,Saudi Arabia,0.4,-1,39.0,565.0,,
1999,세네갈,Senegal,0.5833333333333334,14,83.0,434.0,,
1999,세르비아,Serbia,0.5714285714285714,9,17.0,656.0,,
1999,슬로베니아,Slovenia,0.5,4,52.0,522.0,,
1999,남아프리카 공화국,South Africa,0.3571428571428571,4,31.0,591.0,,
1999,대한민국,South Korea,0.2,0,40.0,559.0,,
1999,스페인,Spain,0.8,38,4.0,757.0,,
1999,스웨덴,Sweden,0.6363636363636364,6,15.0,667.0,,
1999,스위스,Switzerland,0.5454545454545454,4,53.0,516.0,,
1999,튀니지,Tunisia,0.625,5,30.0,593.0,,
1999,미국,United States,0.5384615384615384,8,20.0,621.0,,
1999,우루과이,Uruguay,0.3636363636363636,-2,41.0,557.0,,
2000,알제리,Algeria,0.2941176470588235,6,80.0,461.0,-1.0,19.0
2000,앙골라,Angola,0.4545454545454545,8,51.0,536.0,5.0,29.0
2000,아르헨티나,Argentina,0.75,16,3.0,752.0,4.0,35.0
2000,호주,Australia,0.5333333333333333,28,67.0,492.0,-3.0,2.0
2000,벨기에,Belgium,0.4,5,25.0,607.0,7.0,18.0
2000,브라질,Brazil,0.6153846153846154,22,1.0,818.0,0.0,-20.0
2000,카메룬,Cameroon,0.5384615384615384,18,34.0,580.0,20.0,65.0
2000,캐나다,Canada,0.4705882352941176,2,58.0,512.0,36.0,112.0
2000,칠레,Chile,0.3529411764705882,-2,20.0,645.0,4.0,27.0
2000,콜롬비아,Colombia,0.4375,2,17.0,668.0,6.0,49.0
2000,코스타리카,Costa Rica,0.4285714285714285,3,55.0,524.0,12.0,50.0
2000,크로아티아,Croatia,0.1428571428571428,-1,15.0,675.0,-9.0,-52.0
2000,체코,Czech Republic,0.5,8,4.0,746.0,-2.0,-26.0
2000,덴마크,Denmark,0.2727272727272727,-6,18.0,652.0,-2.0,-9.0
2000,에콰도르,Ecuador,0.4285714285714285,-1,60.0,511.0,0.0,14.0
2000,이집트,Egypt,0.6470588235294118,11,31.0,586.0,7.0,21.0
2000,잉글랜드,England,0.2727272727272727,0,14.0,682.0,-2.0,-1.0
2000,프랑스,France,0.6875,20,2.0,807.0,1.0,41.0
2000,독일,Germany,0.4166666666666667,7,9.0,712.0,-4.0,-23.0
2000,가나,Ghana,0.5,8,53.0,530.0,-6.0,-13.0
2000,그리스,Greece,0.4,0,33.0,581.0,4.0,13.0
2000,온두라스,Honduras,0.75,39,46.0,545.0,29.0,95.0
2000,이란,Iran,0.5769230769230769,44,44.0,559.0,6.0,25.0
2000,이탈리아,Italy,0.6428571428571429,11,6.0,725.0,2.0,11.0
2000,코트디부아르,Ivory Coast,0.5454545454545454,10,48.0,542.0,0.0,1.0
2000,일본,Japan,0.6111111111111112,36,50.0,537.0,1.0,4.0
2000,멕시코,Mexico,0.5714285714285714,21,13.0,693.0,-3.0,-16.0
2000,모로코,Morocco,0.4666666666666667,-3,26.0,605.0,-5.0,-15.0
2000,네덜란드,Netherlands,0.6428571428571429,17,10.0,710.0,4.0,42.0
2000,나이지리아,Nigeria,0.6428571428571429,20,54.0,530.0,22.0,80.0
2000,북한,North Korea,0.1428571428571428,-4,147.0,240.0,16.0,105.0
2000,파라과이,Paraguay,0.5,9,16.0,672.0,2.0,25.0
2000,폴란드,Poland,0.3,-1,36.0,568.0,-7.0,-27.0
2000,포르투갈,Portugal,0.7142857142857143,17,7.0,724.0,6.0,53.0
2000,카타르,Qatar,0.4,12,92.0,434.0,-7.0,4.0
2000,러시아,Russia,0.7142857142857143,5,24.0,625.0,-5.0,-17.0
2000,사우디아라비아,Saudi Arabia,0.5,12,63.0,507.0,-24.0,-58.0
2000,세네갈,Senegal,0.1176470588235294,-3,85.0,452.0,-2.0,18.0
2000,세르비아,Serbia,0.4615384615384615,1,8.0,714.0,9.0,58.0
2000,슬로베니아,Slovenia,0.3636363636363636,6,37.0,568.0,15.0,46.0
2000,남아프리카 공화국,South Africa,0.5789473684210527,7,23.0,631.0,8.0,40.0
2000,대한민국,South Korea,0.5454545454545454,29,43.0,563.0,-3.0,4.0
2000,스페인,Spain,0.5,5,5.0,740.0,-1.0,-17.0
2000,스웨덴,Sweden,0.1666666666666666,-2,21.0,639.0,-6.0,-28.0
2000,스위스,Switzerland,0.2222222222222222,5,61.0,511.0,-8.0,-5.0
2000,튀니지,Tunisia,0.4444444444444444,12,27.0,605.0,3.0,12.0
2000,미국,United States,0.5294117647058824,23,19.0,646.0,1.0,25.0
2000,우루과이,Uruguay,0.4,5,32.0,583.0,9.0,26.0
2001,알제리,Algeria,0.4,-2,73.0,508.0,7.0,47.0
2001,앙골라,Angola,0.4117647058823529,4,55.0,563.0,-4.0,27.0
2001,아르헨티나,Argentina,0.6666666666666666,14,3.0,794.0,0.0,42.0
2001,호주,Australia,0.625,67,51.0,578.0,16.0,86.0
2001,벨기에,Belgium,0.6,14,26.0,643.0,-1.0,36.0
2001,브라질,Brazil,0.4,9,2.0,799.0,-1.0,-19.0
2001,카메룬,Cameroon,0.5,4,39.0,608.0,-5.0,28.0
2001,캐나다,Canada,0.1666666666666666,-8,84.0,483.0,-26.0,-29.0
2001,칠레,Chile,0.3,-8,37.0,612.0,-17.0,-33.0
2001,콜롬비아,Colombia,0.7222222222222222,19,7.0,719.0,10.0,51.0
2001,코스타리카,Costa Rica,0.6,20,29.0,630.0,26.0,106.0
2001,크로아티아,Croatia,0.5454545454545454,12,16.0,674.0,-1.0,-1.0
2001,체코,Czech Republic,0.4166666666666667,10,14.0,704.0,-10.0,-42.0
2001,덴마크,Denmark,0.6,17,18.0,664.0,0.0,12.0
2001,에콰도르,Ecuador,0.4285714285714285,6,46.0,591.0,14.0,80.0
2001,이집트,Egypt,0.4285714285714285,17,41.0,604.0,-10.0,18.0
2001,잉글랜드,England,0.7,16,9.0,712.0,5.0,30.0
2001,프랑스,France,0.6923076923076923,22,1.0,810.0,1.0,3.0
2001,독일,Germany,0.5454545454545454,8,12.0,708.0,-3.0,-4.0
2001,가나,Ghana,0.3571428571428571,0,57.0,552.0,-4.0,22.0
2001,그리스,Greece,0.2,-6,61.0,548.0,-28.0,-33.0
2001,온두라스,Honduras,0.4090909090909091,11,20.0,656.0,26.0,111.0
2001,이란,Iran,0.55,15,38.0,610.0,6.0,51.0
2001,이탈리아,Italy,0.6666666666666666,9,4.0,737.0,2.0,12.0
2001,코트디부아르,Ivory Coast,0.5833333333333334,18,45.0,593.0,3.0,51.0
2001,일본,Japan,0.4285714285714285,2,28.0,633.0,22.0,96.0
2001,멕시코,Mexico,0.4074074074074074,-1,10.0,711.0,3.0,18.0
2001,모로코,Morocco,0.4375,7,32.0,621.0,-6.0,16.0
2001,네덜란드,Netherlands,0.6,21,8.0,717.0,2.0,7.0
2001,나이지리아,Nigeria,0.5384615384615384,14,40.0,604.0,14.0,74.0
2001,북한,North Korea,0.1666666666666666,-1,138.0,294.0,9.0,54.0
2001,파라과이,Paraguay,0.2857142857142857,-5,11.0,710.0,5.0,38.0
2001,폴란드,Poland,0.4545454545454545,10,27.0,634.0,9.0,66.0
2001,포르투갈,Portugal,0.7,25,5.0,732.0,2.0,8.0
2001,카타르,Qatar,0.4814814814814814,15,83.0,484.0,9.0,50.0
2001,러시아,Russia,0.5454545454545454,11,24.0,648.0,0.0,23.0
2001,사우디아라비아,Saudi Arabia,0.7083333333333334,46,35.0,615.0,28.0,108.0
2001,세네갈,Senegal,0.6,17,69.0,525.0,16.0,73.0
2001,세르비아,Serbia,0.5,17,13.0,705.0,-5.0,-9.0
2001,슬로베니아,Slovenia,0.4166666666666667,3,31.0,622.0,6.0,54.0
2001,남아프리카 공화국,South Africa,0.5,7,30.0,628.0,-7.0,-3.0
2001,대한민국,South Korea,0.4705882352941176,-1,43.0,597.0,0.0,34.0
2001,스페인,Spain,0.7777777777777778,14,6.0,730.0,-1.0,-10.0
2001,스웨덴,Sweden,0.7058823529411765,29,17.0,673.0,4.0,34.0
2001,스위스,Switzerland,0.4,-2,56.0,563.0,5.0,52.0
2001,튀니지,Tunisia,0.6153846153846154,24,25.0,645.0,2.0,40.0
2001,미국,United States,0.4,1,19.0,660.0,0.0,14.0
2001,우루과이,Uruguay,0.4117647058823529,5,21.0,653.0,11.0,70.0
2002,알제리,Algeria,0.3333333333333333,5,74.0,495.0,-1.0,-13.0
2002,앙골라,Angola,0.1666666666666666,-2,62.0,521.0,-7.0,-42.0
2002,아르헨티나,Argentina,0.4285714285714285,3,5.0,760.0,-2.0,-34.0
2002,호주,Australia,0.8,21,43.0,579.0,8.0,1.0
2002,벨기에,Belgium,0.4615384615384615,2,19.0,672.0,7.0,29.0
2002,브라질,Brazil,0.875,33,1.0,858.0,1.0,59.0
2002,카메룬,Cameroon,0.5333333333333333,10,15.0,682.0,24.0,74.0
2002,캐나다,Canada,0.4285714285714285,1,70.0,503.0,14.0,20.0
2002,칠레,Chile,0.3333333333333333,-1,57.0,529.0,-20.0,-83.0
2002,콜롬비아,Colombia,0.25,-1,18.0,675.0,-11.0,-44.0
2002,코스타리카,Costa Rica,0.2857142857142857,-2,25.0,651.0,4.0,21.0
2002,크로아티아,Croatia,0.3636363636363636,2,29.0,641.0,-13.0,-33.0
2002,체코,Czech Republic,0.7,16,17.0,676.0,-3.0,-28.0
2002,덴마크,Denmark,0.6923076923076923,7,13.0,703.0,5.0,39.0
2002,에콰도르,Ecuador,0.4,0,31.0,639.0,15.0,48.0
2002,이집트,Egypt,0.4375,8,41.0,594.0,0.0,-10.0
2002,잉글랜드,England,0.3076923076923077,7,9.0,718.0,0.0,6.0
2002,프랑스,France,0.5384615384615384,16,2.0,774.0,-1.0,-36.0
2002,독일,Germany,0.6111111111111112,29,4.0,770.0,8.0,62.0
2002,가나,Ghana,0.25,-4,61.0,522.0,-4.0,-30.0
2002,그리스,Greece,0.375,1,46.0,562.0,15.0,14.0
2002,온두라스,Honduras,0.5,1,40.0,604.0,-20.0,-52.0
2002,이란,Iran,0.4,4,34.0,633.0,4.0,23.0
2002,이탈리아,Italy,0.3076923076923077,1,10.0,717.0,-6.0,-20.0
2002,코트디부아르,Ivory Coast,0.1666666666666666,2,49.0,548.0,-4.0,-45.0
2002,일본,Japan,0.3846153846153846,1,27.0,648.0,1.0,15.0
2002,멕시코,Mexico,0.6666666666666666,9,6.0,730.0,4.0,19.0
2002,모로코,Morocco,0.6363636363636364,13,36.0,620.0,-4.0,-1.0
2002,네덜란드,Netherlands,0.8571428571428571,12,12.0,708.0,-4.0,-9.0
2002,나이지리아,Nigeria,0.45,8,30.0,641.0,10.0,37.0
2002,북한,North Korea,0.3333333333333333,2,129.0,336.0,9.0,42.0
2002,파라과이,Paraguay,0.2727272727272727,-3,16.0,680.0,-5.0,-30.0
2002,폴란드,Poland,0.4615384615384615,-1,35.0,626.0,-8.0,-8.0
2002,포르투갈,Portugal,0.3636363636363636,4,11.0,712.0,-6.0,-20.0
2002,카타르,Qatar,0.5833333333333334,4,68.0,506.0,15.0,22.0
2002,러시아,Russia,0.2727272727272727,2,24.0,652.0,0.0,4.0
2002,사우디아라비아,Saudi Arabia,0.5714285714285714,1,37.0,618.0,-2.0,3.0
2002,세네갈,Senegal,0.5294117647058824,8,32.0,638.0,37.0,113.0
2002,세르비아,Serbia,0.3636363636363636,-4,20.0,672.0,-7.0,-33.0
2002,슬로베니아,Slovenia,0.3636363636363636,-7,28.0,642.0,3.0,20.0
2002,남아프리카 공화국,South Africa,0.4166666666666667,10,33.0,635.0,-3.0,7.0
2002,대한민국,South Korea,0.2608695652173913,2,21.0,667.0,22.0,70.0
2002,스페인,Spain,0.5384615384615384,15,3.0,774.0,3.0,44.0
2002,스웨덴,Sweden,0.0714285714285714,-2,22.0,662.0,-5.0,-11.0
2002,스위스,Switzerland,0.5,4,55.0,532.0,1.0,-31.0
2002,튀니지,Tunisia,0.0,-8,39.0,609.0,-14.0,-36.0
2002,미국,United States,0.5789473684210527,15,8.0,720.0,11.0,60.0
2002,우루과이,Uruguay,0.3,0,23.0,655.0,-2.0,2.0
2003,알제리,Algeria,0.5,9,71.0,515.0,3.0,20.0
2003,앙골라,Angola,0.4,5,85.0,477.0,-23.0,-44.0
2003,아르헨티나,Argentina,0.6923076923076923,16,4.0,750.0,1.0,-10.0
2003,호주,Australia,0.6666666666666666,2,62.0,526.0,-19.0,-53.0
2003,벨기에,Belgium,0.625,6,16.0,692.0,3.0,20.0
2003,브라질,Brazil,0.4705882352941176,7,1.0,855.0,0.0,-3.0
2003,카메룬,Cameroon,0.4444444444444444,0,13.0,710.0,2.0,28.0
2003,캐나다,Canada,0.2222222222222222,-15,79.0,487.0,-9.0,-16.0
2003,칠레,Chile,0.4,-1,58.0,538.0,-1.0,9.0
2003,콜롬비아,Colombia,0.1764705882352941,-7,28.0,629.0,-10.0,-46.0
2003,코스타리카,Costa Rica,0.5882352941176471,7,19.0,681.0,6.0,30.0
2003,크로아티아,Croatia,0.5833333333333334,10,23.0,646.0,6.0,5.0
2003,체코,Czech Republic,0.8888888888888888,24,9.0,736.0,8.0,60.0
2003,덴마크,Denmark,0.6,9,14.0,708.0,-1.0,5.0
2003,에콰도르,Ecuador,0.3636363636363636,-2,33.0,626.0,-2.0,-13.0
2003,이집트,Egypt,0.8333333333333334,19,40.0,606.0,1.0,12.0
2003,잉글랜드,England,0.7272727272727273,9,6.0,745.0,3.0,27.0
2003,프랑스,France,0.9285714285714286,34,2.0,829.0,0.0,55.0
2003,독일,Germany,0.4545454545454545,4,9.0,736.0,-5.0,-34.0
2003,가나,Ghana,0.3,4,75.0,503.0,-14.0,-19.0
2003,그리스,Greece,0.7272727272727273,9,26.0,633.0,20.0,71.0
2003,온두라스,Honduras,0.2222222222222222,-3,41.0,593.0,-1.0,-11.0
2003,이란,Iran,0.6,12,45.0,579.0,-11.0,-54.0
2003,이탈리아,Italy,0.8181818181818182,16,12.0,726.0,-2.0,9.0
2003,코트디부아르,Ivory Coast,0.5714285714285714,7,61.0,534.0,-12.0,-14.0
2003,일본,Japan,0.3333333333333333,3,24.0,637.0,3.0,-11.0
2003,멕시코,Mexico,0.3333333333333333,5,5.0,746.0,1.0,16.0
2003,모로코,Morocco,0.6,6,36.0,616.0,0.0,-4.0
2003,네덜란드,Netherlands,0.5454545454545454,14,7.0,744.0,5.0,36.0
2003,나이지리아,Nigeria,0.5555555555555556,1,30.0,628.0,0.0,-13.0
2003,북한,North Korea,0.0909090909090909,-11,116.0,391.0,13.0,55.0
2003,파라과이,Paraguay,0.4285714285714285,0,21.0,652.0,-5.0,-28.0
2003,폴란드,Poland,0.6666666666666666,17,31.0,627.0,4.0,1.0
2003,포르투갈,Portugal,0.5833333333333334,14,17.0,687.0,-6.0,-25.0
2003,카타르,Qatar,0.2,-6,80.0,486.0,-12.0,-20.0
2003,러시아,Russia,0.4,3,28.0,629.0,-4.0,-23.0
2003,사우디아라비아,Saudi Arabia,0.6666666666666666,32,49.0,555.0,-12.0,-63.0
2003,세네갈,Senegal,0.5555555555555556,5,27.0,632.0,5.0,-6.0
2003,세르비아,Serbia,0.2,-6,35.0,622.0,-15.0,-50.0
2003,슬로베니아,Slovenia,0.4,1,33.0,626.0,-5.0,-16.0
2003,남아프리카 공화국,South Africa,0.5454545454545454,5,36.0,616.0,-3.0,-19.0
2003,대한민국,South Korea,0.4666666666666667,25,39.0,610.0,-18.0,-57.0
2003,스페인,Spain,0.7272727272727273,20,3.0,767.0,0.0,-7.0
2003,스웨덴,Sweden,0.5714285714285714,20,18.0,684.0,4.0,22.0
2003,스위스,Switzerland,0.375,1,44.0,581.0,11.0,49.0
2003,튀니지,Tunisia,0.5555555555555556,5,42.0,588.0,-3.0,-21.0
2003,미국,United States,0.625,18,11.0,731.0,-3.0,11.0
2003,우루과이,Uruguay,0.5,10,22.0,647.0,1.0,-8.0
2004,알제리,Algeria,0.0714285714285714,-10,62.0,550.0,9.0,35.0
2004,앙골라,Angola,0.5,5,82.0,512.0,3.0,35.0
2004,아르헨티나,Argentina,0.6666666666666666,18,4.0,775.0,0.0,25.0
2004,호주,Australia,0.5833333333333334,26,59.0,555.0,3.0,29.0
2004,벨기에,Belgium,0.125,-9,30.0,647.0,-14.0,-45.0
2004,브라질,Brazil,0.4736842105263157,25,1.0,848.0,0.0,-7.0
2004,카메룬,Cameroon,0.2727272727272727,-3,17.0,697.0,-4.0,-13.0
2004,캐나다,Canada,0.4,4,99.0,469.0,-20.0,-18.0
2004,칠레,Chile,0.1666666666666666,-2,66.0,537.0,-8.0,-1.0
2004,콜롬비아,Colombia,0.5,11,28.0,654.0,0.0,25.0
2004,코스타리카,Costa Rica,0.3571428571428571,1,34.0,642.0,-15.0,-39.0
2004,크로아티아,Croatia,0.4615384615384615,4,25.0,662.0,-2.0,16.0
2004,체코,Czech Republic,0.6,11,5.0,760.0,4.0,24.0
2004,덴마크,Denmark,0.3076923076923077,3,15.0,707.0,-1.0,-1.0
2004,에콰도르,Ecuador,0.2666666666666666,-11,42.0,594.0,-9.0,-32.0
2004,이집트,Egypt,0.4666666666666667,11,35.0,637.0,5.0,31.0
2004,잉글랜드,England,0.5,14,7.0,732.0,-1.0,-13.0
2004,프랑스,France,0.4666666666666667,13,2.0,802.0,0.0,-27.0
2004,독일,Germany,0.5625,18,12.0,714.0,-3.0,-22.0
2004,가나,Ghana,0.2857142857142857,4,74.0,525.0,1.0,22.0
2004,그리스,Greece,0.5,4,14.0,709.0,12.0,76.0
2004,온두라스,Honduras,0.2222222222222222,2,47.0,573.0,-6.0,-20.0
2004,이란,Iran,0.7222222222222222,37,21.0,690.0,24.0,111.0
2004,이탈리아,Italy,0.5384615384615384,7,9.0,722.0,3.0,-4.0
2004,코트디부아르,Ivory Coast,0.875,12,58.0,555.0,3.0,21.0
2004,일본,Japan,0.7272727272727273,28,18.0,695.0,6.0,58.0
2004,멕시코,Mexico,0.7777777777777778,47,8.0,728.0,-3.0,-18.0
2004,모로코,Morocco,0.5333333333333333,17,33.0,642.0,3.0,26.0
2004,네덜란드,Netherlands,0.4705882352941176,17,6.0,746.0,1.0,2.0
2004,나이지리아,Nigeria,0.6,15,20.0,691.0,10.0,63.0
2004,북한,North Korea,0.5,6,112.0,418.0,4.0,27.0
2004,파라과이,Paraguay,0.25,-1,23.0,683.0,-2.0,31.0
2004,폴란드,Poland,0.4615384615384615,7,29.0,647.0,2.0,20.0
2004,포르투갈,Portugal,0.5625,24,11.0,714.0,6.0,27.0
2004,카타르,Qatar,0.44,22,61.0,550.0,19.0,64.0
2004,러시아,Russia,0.3636363636363636,0,26.0,659.0,2.0,30.0
2004,사우디아라비아,Saudi Arabia,0.5555555555555556,13,27.0,655.0,22.0,100.0
2004,세네갈,Senegal,0.5,9,31.0,645.0,-4.0,13.0
2004,세르비아,Serbia,0.4444444444444444,10,52.0,566.0,-17.0,-56.0
2004,슬로베니아,Slovenia,0.2222222222222222,-3,46.0,579.0,-13.0,-47.0
2004,남아프리카 공화국,South Africa,0.4615384615384615,-3,39.0,609.0,-3.0,-7.0
2004,대한민국,South Korea,0.5882352941176471,21,24.0,683.0,15.0,73.0
2004,스페인,Spain,0.5384615384615384,11,3.0,788.0,0.0,21.0
2004,스웨덴,Sweden,0.5,21,22.0,686.0,-4.0,2.0
2004,스위스,Switzerland,0.25,-1,49.0,569.0,-5.0,-12.0
2004,튀니지,Tunisia,0.5,4,36.0,631.0,6.0,43.0
2004,미국,United States,0.5714285714285714,19,10.0,717.0,1.0,-14.0
2004,우루과이,Uruguay,0.3571428571428571,-10,19.0,693.0,3.0,46.0
2005,알제리,Algeria,0.2857142857142857,-3,83.0,519.0,-21.0,-31.0
2005,앙골라,Angola,0.4166666666666667,1,65.0,562.0,17.0,50.0
2005,아르헨티나,Argentina,0.4705882352941176,5,3.0,778.0,1.0,3.0
2005,호주,Australia,0.5833333333333334,13,50.0,593.0,9.0,38.0
2005,벨기에,Belgium,0.4444444444444444,7,47.0,608.0,-17.0,-39.0
2005,브라질,Brazil,0.625,33,1.0,839.0,0.0,-9.0
2005,카메룬,Cameroon,0.75,8,22.0,688.0,-5.0,-9.0
2005,캐나다,Canada,0.375,-5,84.0,516.0,15.0,47.0
2005,칠레,Chile,0.3333333333333333,-2,76.0,538.0,-10.0,1.0
2005,콜롬비아,Colombia,0.3529411764705882,4,26.0,677.0,2.0,23.0
2005,코스타리카,Costa Rica,0.4166666666666667,4,19.0,700.0,15.0,58.0
2005,크로아티아,Croatia,0.5,10,24.0,686.0,1.0,24.0
2005,체코,Czech Republic,0.75,23,4.0,777.0,1.0,17.0
2005,덴마크,Denmark,0.7,14,14.0,721.0,1.0,14.0
2005,에콰도르,Ecuador,0.4705882352941176,3,33.0,658.0,9.0,64.0
2005,이집트,Egypt,0.6666666666666666,20,31.0,662.0,4.0,25.0
2005,잉글랜드,England,0.7272727272727273,8,11.0,738.0,-4.0,6.0
2005,프랑스,France,0.5454545454545454,13,6.0,770.0,-4.0,-32.0
2005,독일,Germany,0.4666666666666667,8,15.0,718.0,-3.0,4.0
2005,가나,Ghana,0.625,11,62.0,566.0,12.0,41.0
2005,그리스,Greece,0.4615384615384615,0,20.0,699.0,-6.0,-10.0
2005,온두라스,Honduras,0.5,10,43.0,620.0,4.0,47.0
2005,이란,Iran,0.7272727272727273,10,18.0,702.0,3.0,12.0
2005,이탈리아,Italy,0.5384615384615384,12,13.0,725.0,-4.0,3.0
2005,코트디부아르,Ivory Coast,0.4444444444444444,4,50.0,593.0,8.0,38.0
2005,일본,Japan,0.55,11,16.0,716.0,2.0,21.0
2005,멕시코,Mexico,0.5,18,5.0,771.0,3.0,43.0
2005,모로코,Morocco,0.5,8,36.0,649.0,-3.0,7.0
2005,네덜란드,Netherlands,0.6363636363636364,15,2.0,785.0,4.0,39.0
2005,나이지리아,Nigeria,0.5714285714285714,7,29.0,672.0,-9.0,-19.0
2005,북한,North Korea,0.3529411764705882,20,85.0,515.0,27.0,97.0
2005,파라과이,Paraguay,0.5384615384615384,4,34.0,656.0,-11.0,-27.0
2005,폴란드,Poland,0.7857142857142857,20,17.0,705.0,12.0,58.0
2005,포르투갈,Portugal,0.6666666666666666,19,9.0,743.0,2.0,29.0
2005,카타르,Qatar,0.0,-3,75.0,541.0,-14.0,-9.0
2005,러시아,Russia,0.4,7,30.0,669.0,-4.0,10.0
2005,사우디아라비아,Saudi Arabia,0.4375,3,28.0,675.0,-1.0,20.0
2005,세네갈,Senegal,0.5,8,35.0,652.0,-4.0,7.0
2005,세르비아,Serbia,0.3333333333333333,3,48.0,601.0,4.0,35.0
2005,슬로베니아,Slovenia,0.1111111111111111,-8,52.0,590.0,-6.0,11.0
2005,남아프리카 공화국,South Africa,0.3125,-3,42.0,622.0,-3.0,13.0
2005,대한민국,South Korea,0.3888888888888889,9,26.0,677.0,-2.0,-6.0
2005,스페인,Spain,0.6666666666666666,24,8.0,750.0,-5.0,-38.0
