Year,Nation,Eng_Nation,Q_WR,Q_GR,F_Rank,F_Point,F_Rd,F_Pd,Avg_Age,Avg_Famous,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14
2026,대한민국,South Korea,0.5,2.730769230769231,24.0,1566.27,-13.33,95.13,29.23,2,73.58,64.85,60.62,65.96,70.62,52.85,68.08,72.08,70.12,63.92,67.77,18.36,63.25,53.49,52.96
2026,스페인,Spain,0.58,2.966666666666667,4.67,1807.5,-2.66,158.61,28.04,13,84.38,77.23,72.42,77.27,83.31,65.88,73.27,71.88,68.04,73.58,73.15,19.59,77.27,56.42,62.92
2026,호주,Australia,0.58,3.055555555555556,25.67,1553.17,-13.33,89.17,28.54,1,70.88,62.12,57.73,65.04,67.77,48.85,66.54,73.35,74.65,61.08,69.27,17.48,62.33,53.56,50.85
2026,코스타리카,Costa Rica,0.29,1.2765957446808511,47.67,1466.44,3.34,26.68,21.23,0,57.58,51.96,46.08,47.54,54.88,36.65,62.15,55.92,51.31,52.69,58.23,14.75,42.87,28.14,53.69
2026,크로아티아,Croatia,0.62,2.1666666666666665,9.0,1720.54,-2.0,100.12,28.92,5,78.0,71.19,66.62,73.58,75.23,57.19,65.35,69.19,74.96,69.81,66.58,18.23,69.75,56.23,56.0
2026,스위스,Switzerland,0.39,1.7941176470588236,15.33,1647.8,1.66,38.89,28.69,5,77.77,70.58,67.35,73.15,75.77,62.04,67.88,72.73,76.5,70.92,70.54,18.91,68.98,58.65,55.35
2026,우루과이,Uruguay,0.42,2.136363636363636,14.33,1667.17,6.33,24.03,29.62,4,78.23,68.62,64.42,72.12,75.77,56.27,64.08,67.85,76.19,70.96,66.5,18.77,68.5,60.14,56.92
2026,벨기에,Belgium,0.5,2.3846153846153846,6.33,1766.77,5.33,-19.01,27.92,8,80.15,72.08,68.81,74.81,78.15,65.04,65.77,70.27,72.85,71.77,68.23,18.41,71.92,55.4,58.04
2026,카메룬,Cameroon,0.43,1.6521739130434785,48.67,1463.18,-6.0,54.36,26.46,1,73.65,65.88,61.77,65.23,68.92,53.65,69.19,70.58,76.23,64.65,73.12,17.28,62.56,53.63,52.85
2026,덴마크,Denmark,0.57,1.7777777777777777,19.33,1618.73,6.0,6.9,27.08,5,77.92,70.35,65.35,72.58,76.69,58.12,62.85,71.46,75.38,71.5,64.65,17.79,70.44,56.05,57.88
2026,에콰도르,Ecuador,0.35,1.736842105263158,29.67,1540.38,-30.66,156.02,27.96,4,73.46,65.42,61.62,66.46,69.85,53.31,69.96,69.12,70.96,64.62,70.08,17.95,63.63,52.96,53.92
2026,가나,Ghana,0.42,1.148148148148148,68.33,1367.09,18.33,-59.34,27.65,0,74.77,67.19,65.54,68.0,72.5,58.65,72.27,67.35,71.12,68.62,71.58,17.08,64.06,50.61,54.88
2026,이란,Iran,0.6,3.083333333333333,20.33,1602.26,-4.67,85.9,19.88,0,53.31,50.88,41.65,45.38,53.31,31.12,58.54,55.46,47.15,49.77,52.38,12.72,38.96,22.57,56.65
2026,이탈리아,Italy,0.5,1.4615384615384617,9.67,1721.25,-1.0,77.67,28.54,12,82.81,73.85,69.35,76.85,81.58,58.65,70.73,72.15,70.54,73.46,72.12,18.3,72.33,59.69,59.92
2026,네덜란드,Netherlands,0.58,2.0,7.0,1752.42,-5.33,140.02,28.5,13,81.85,75.15,69.08,78.5,81.46,60.73,67.73,72.38,75.58,72.77,70.46,18.74,73.27,61.14,59.04
2026,나이지리아,Nigeria,0.46,1.7727272727272727,41.33,1490.25,9.0,1.13,26.0,2,75.73,69.38,68.12,65.96,72.5,56.92,73.19,69.69,74.62,68.15,75.12,16.35,64.52,51.13,56.38
2026,폴란드,Poland,0.52,1.1538461538461535,32.0,1522.33,10.33,-18.28,28.62,5,75.96,67.85,63.27,70.65,73.27,56.04,66.31,69.77,71.31,66.12,67.19,19.04,66.63,52.53,54.92
2026,사우디아라비아,Saudi Arabia,0.31,1.25,57.33,1422.21,-6.67,57.76,29.65,0,70.04,61.42,59.19,62.77,66.15,53.69,68.19,67.54,70.54,60.19,70.62,17.22,60.4,46.32,51.65
2026,튀니지,Tunisia,0.64,2.357142857142857,37.0,1504.37,10.33,-4.25,24.46,1,65.5,64.92,62.12,61.04,63.0,54.46,70.42,69.96,59.81,60.58,65.38,10.97,58.69,46.18,57.31
2026,코트디부아르,Ivory Coast,0.63,2.4,42.33,1476.97,-14.34,82.78,26.35,3,76.73,67.54,66.54,70.77,74.12,56.77,69.62,67.38,75.73,67.73,72.88,16.87,65.87,53.15,53.23
2026,파라과이,Paraguay,0.38,0.9166666666666666,48.67,1452.36,10.34,-16.74,28.73,0,73.62,65.42,61.85,66.96,69.38,54.35,66.54,68.38,70.04,65.58,66.27,17.4,62.87,54.53,52.31
2026,오스트리아,Austria,0.7,2.2962962962962963,23.0,1573.2,-4.67,68.93,27.77,3,76.0,67.96,65.12,69.12,75.19,58.35,66.54,68.69,72.08,66.73,66.54,17.53,65.87,55.99,54.77
2026,세네갈,Senegal,0.5,3.642857142857143,19.67,1621.04,-0.33,68.92,27.0,1,76.35,67.69,63.88,68.5,73.81,55.12,69.31,70.12,73.77,69.31,72.15,18.37,64.77,51.62,55.12
2026,세르비아,Serbia,0.41,1.2413793103448276,32.33,1518.49,1.0,25.83,27.38,3,76.5,69.27,64.15,69.65,74.31,58.31,65.31,67.42,73.5,71.31,64.85,18.22,66.6,52.82,57.15
2026,스웨덴,Sweden,0.48,1.6153846153846154,27.67,1530.55,9.67,-47.13,27.19,5,76.77,68.73,65.88,71.31,75.46,56.73,68.62,70.77,75.0,68.23,70.19,17.26,67.83,53.36,55.54
2026,알제리,Algeria,0.75,2.761904761904762,37.67,1498.76,3.34,16.55,25.31,3,72.38,73.35,71.0,68.0,69.58,62.73,70.62,72.73,63.19,64.27,68.35,10.63,67.08,53.27,61.5
2026,칠레,Chile,0.31,1.0,47.33,1471.46,28.33,-92.38,30.85,0,73.23,66.04,61.54,68.81,69.92,57.0,62.12,64.23,71.31,66.0,62.62,17.67,66.56,52.34,54.35
2026,콜롬비아,Colombia,0.38,2.1379310344827585,12.67,1686.81,1.0,66.01,29.42,2,77.35,69.35,66.0,70.38,74.31,57.88,70.77,68.62,74.65,70.69,71.08,16.96,67.06,54.04,57.23
2026,그리스,Greece,0.58,2.55,46.33,1467.05,-6.67,56.91,26.81,3,75.69,69.15,65.65,69.5,73.5,58.0,71.0,71.0,69.77,70.77,70.08,17.85,66.79,50.06,54.77
2026,온두라스,Honduras,0.39,1.0869565217391304,73.0,1333.69,9.0,-35.51,20.96,0,56.31,55.73,49.38,49.08,55.38,39.46,63.15,58.08,51.42,53.54,59.69,10.51,44.98,30.64,55.54
2026,모로코,Morocco,0.72,5.0,12.67,1680.24,-25.66,209.5,27.96,4,77.92,71.5,69.15,70.96,76.12,63.08,69.23,71.04,70.0,69.85,71.0,17.73,67.58,50.35,58.54
2026,슬로베니아,Slovenia,0.52,1.4333333333333331,53.33,1443.55,-8.67,67.4,27.65,2,71.85,64.23,59.73,65.27,67.77,51.73,64.12,68.69,70.85,64.12,65.0,18.28,62.71,51.04,50.27
2026,남아프리카공화국,South Africa,0.44,2.0,59.67,1410.66,-12.0,72.79,21.12,0,58.62,57.96,52.73,51.42,55.5,42.08,69.27,60.12,53.5,53.96,64.85,10.63,47.83,36.07,54.12
2026,카타르,Qatar,0.5,1.169811320754717,52.67,1443.64,-0.66,37.36,28.96,0,68.5,61.15,56.31,59.77,65.23,50.38,65.62,66.31,65.19,59.54,68.46,16.33,57.88,48.35,48.65
2026,이집트,Egypt,0.73,3.571428571428572,33.67,1514.58,-15.66,86.04,20.92,2,56.69,54.81,46.73,50.15,56.12,33.81,59.73,57.35,53.54,52.96,55.77,10.86,44.0,27.9,56.85
2026,체코,Czech Republic,0.55,1.6875,31.0,1572.0,-2.272766,59.23,27.42,2,75.62,68.38,64.69,70.27,73.69,56.73,65.85,69.62,75.15,68.58,66.0,17.85,66.17,51.23,55.27
2026,앙골라,Angola,0.34,1.4166666666666667,97.0,1239.17,-25.5,90.67,24.88,0,66.58,62.27,58.92,58.19,63.77,48.73,70.73,65.27,63.69,61.77,70.58,12.55,54.87,41.71,53.73
2026,노르웨이,Norway,0.62,2.4285714285714284,40.33,1489.76,-3.0,40.17,27.04,6,76.46,69.19,66.96,70.88,74.19,60.31,69.58,76.19,74.62,69.81,70.73,17.09,66.4,55.06,57.73
