Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
21, ,Côte d'Ivoire,924,912,+12, ,2015-09-03
22,3,Denmark,901,876,+25, ,2015-09-03
23,1,Iceland,894,877,+17, ,2015-09-03
24,1,France,893,882,+11, ,2015-09-03
25,3,Albania,878,888,-10, ,2015-09-03
26, ,Mexico,848,838,+10, ,2015-09-03
27, ,Ghana,827,827,-, ,2015-09-03
28,1,USA,823,816,+7, ,2015-09-03
29,1,Ukraine,812,791,+21, ,2015-09-03
30,2,Bosnia and Herzegovina,811,819,-8, ,2015-09-03
31,1,Scotland,789,774,+15, ,2015-09-03
32,1,Russia,780,782,-2, ,2015-09-03
33,1,Tunisia,774,768,+6, ,2015-09-03
34,2,Ecuador,764,758,+6, ,2015-09-03
34,1,Poland,764,769,-5, ,2015-09-03
36,1,Sweden,756,752,+4, ,2015-09-03
37,2,Hungary,740,763,-23, ,2015-09-03
38,1,Senegal,734,722,+12, ,2015-09-03
39,1,Costa Rica,731,728,+3, ,2015-09-03
40,1,IR Iran,716,718,-2, ,2015-09-03
41,1,Northern Ireland,687,721,-34, ,2015-09-03
42, ,Congo,671,666,+5, ,2015-09-03
42, ,Cameroon,671,667,+4, ,2015-09-03
44, ,Greece,657,661,-4, ,2015-09-03
45,1,Slovenia,653,626,+27, ,2015-09-03
46,1,Israel,635,620,+15, ,2015-09-03
46,1,Turkey,635,627,+8, ,2015-09-03
48,1,Peru,628,612,+16, ,2015-09-03
49,3,Egypt,619,606,+13, ,2015-09-03
50,2,Venezuela,613,617,-4, ,2015-09-03
51,1,Republic of Ireland,605,608,-3, ,2015-09-03
52,3,Jamaica,602,596,+6, ,2015-09-03
53, ,Nigeria,599,601,-2, ,2015-09-03
54,2,Trinidad and Tobago,594,595,-1, ,2015-09-03
55,3,Paraguay,592,588,+4, ,2015-09-03
56,6,Cape Verde Islands,589,608,-19, ,2015-09-03
57,3,Korea Republic,574,599,-25, ,2015-09-03
58,2,Japan,570,595,-25, ,2015-09-03
59,6,Panama,551,528,+23, ,2015-09-03
60,3,Mali,550,545,+5, ,2015-09-03
61, ,Australia,548,551,-3, ,2015-09-03
62, ,Equatorial Guinea,546,546,-, ,2015-09-03
63,1,Gabon,535,544,-9, ,2015-09-03
63,3,Guinea,535,552,-17, ,2015-09-03
65,6,Congo DR,529,555,-26, ,2015-09-03
66, ,Serbia,528,523,+5, ,2015-09-03
67, ,Bolivia,521,515,+6, ,2015-09-03
68,1,Bulgaria,503,489,+14, ,2015-09-03
69,1,Norway,496,495,+1, ,2015-09-03
70, ,United Arab Emirates,484,484,-, ,2015-09-03
71,3,Uganda,478,463,+15, ,2015-09-03
72, ,South Africa,469,478,-9, ,2015-09-03
73,2,Burkina Faso,468,482,-14, ,2015-09-03
74,1,Zambia,464,465,-1, ,2015-09-03
75, ,Faroe Islands,459,456,+3, ,2015-09-03
76, ,Uzbekistan,453,452,+1, ,2015-09-03
77, ,Montenegro,430,423,+7, ,2015-09-03
78,13,Rwanda,426,369,+57, ,2015-09-03
79,1,Togo,418,415,+3, ,2015-09-03
80,2,Estonia,405,420,-15, ,2015-09-03
81, ,Honduras,404,409,-5, ,2015-09-03
82,3,Iraq,399,386,+13, ,2015-09-03
83,5,Armenia,394,373,+21, ,2015-09-03
84,5,China PR,393,416,-23, ,2015-09-03
85,3,Morocco,391,391,-, ,2015-09-03
86,4,Cyprus,386,391,-5, ,2015-09-03
87,3,Haiti,385,387,-2, ,2015-09-03
88,1,Angola,381,371,+10, ,2015-09-03
89,2,Sudan,377,375,+2, ,2015-09-03
90,4,Latvia,366,377,-11, ,2015-09-03
91,1,Jordan,356,357,-1, ,2015-09-03
92,3,Finland,351,371,-20, ,2015-09-03
93, ,Saudi Arabia,350,351,-1, ,2015-09-03
94,1,Qatar,347,344,+3, ,2015-09-03
95,2,Mozambique,340,339,+1, ,2015-09-03
96,2,Malawi,336,335,+1, ,2015-09-03
97,1,Belarus,335,341,-6, ,2015-09-03
98,4,Libya,333,345,-12, ,2015-09-03
98,10,Guatemala,333,299,+34, ,2015-09-03
100,1,Oman,329,330,-1, ,2015-09-03
101,1,Niger,326,312,+14, ,2015-09-03
102,1,Canada,319,323,-4, ,2015-09-03
103,4,Ethiopia,313,330,-17, ,2015-09-03
104,1,FYR Macedonia,305,311,-6, ,2015-09-03
105, ,Antigua and Barbuda,304,303,+1, ,2015-09-03
105,1,Sierra Leone,304,304,-, ,2015-09-03
107,3,El Salvador,300,289,+11, ,2015-09-03
108, ,Zimbabwe,298,299,-1, ,2015-09-03
109,2,Lithuania,294,301,-7, ,2015-09-03
110,4,Azerbaijan,291,302,-11, ,2015-09-03
111, ,Namibia,284,284,-, ,2015-09-03
112, ,Bahrain,281,282,-1, ,2015-09-03
113,6,Cuba,280,254,+26, ,2015-09-03
114,1,Mauritania,273,273,-, ,2015-09-03
115,1,Benin,269,269,-, ,2015-09-03
116, ,Kenya,268,266,+2, ,2015-09-03
116,1,St. Vincent / Grenadines,268,268,-, ,2015-09-03
118,3,Botswana,266,253,+13, ,2015-09-03
119,1,Palestine,256,255,+1, ,2015-09-03
119, ,St. Kitts and Nevis,256,254,+2, ,2015-09-03
121,1,Madagascar,251,251,-, ,2015-09-03
121,4,Syria,251,259,-8, ,2015-09-03
123,6,Dominican Republic,248,224,+24, ,2015-09-03
124,3,Moldova,245,236,+9, ,2015-09-03
125, ,Philippines,241,239,+2, ,2015-09-03
126,2,Korea DPR,237,240,-3, ,2015-09-03
127,1,Kuwait,235,237,-2, ,2015-09-03
128, ,Lesotho,227,229,-2, ,2015-09-03
128,5,Belize,227,242,-15, ,2015-09-03
130,4,Afghanistan,226,212,+14, ,2015-09-03
131, ,St. Lucia,222,220,+2, ,2015-09-03
132,3,Bermuda,220,209,+11, ,2015-09-03
133,3,Lebanon,219,223,-4, ,2015-09-03
134,2,Burundi,218,218,-, ,2015-09-03
135,3,Swaziland,213,218,-5, ,2015-09-03
136,1,New Zealand,209,209,-, ,2015-09-03
137,2,Thailand,201,197,+4, ,2015-09-03
137, ,Aruba,201,201,-, ,2015-09-03
139,5,Nicaragua,198,188,+10, ,2015-09-03
140, ,Tanzania,195,194,+1, ,2015-09-03
141,4,Luxembourg,194,187,+7, ,2015-09-03
142, ,Guinea-Bissau,191,191,-, ,2015-09-03
143,1,Gambia,189,191,-2, ,2015-09-03
144,6,Barbados,186,198,-12, ,2015-09-03
145,4,Kazakhstan,184,193,-9, ,2015-09-03
146, ,Guam,182,185,-3, ,2015-09-03
147,7,Georgia,180,165,+15, ,2015-09-03
148, ,Curacao,178,173,+5, ,2015-09-03
149, ,Turkmenistan,172,172,-, ,2015-09-03
150,3,Liechtenstein,171,182,-11, ,2015-09-03
151, ,Hong Kong,169,168,+1, ,2015-09-03
152,1,Vietnam,166,166,-, ,2015-09-03
152,2,Puerto Rico,166,169,-3, ,2015-09-03
154,2,Guyana,165,167,-2, ,2015-09-03
155,1,Kyrgyz Republic,160,160,-, ,2015-09-03
155,1,India,160,160,-, ,2015-09-03
157,2,Singapore,159,162,-3, ,2015-09-03
158,2,Grenada,155,153,+2, ,2015-09-03
158, ,Tajikistan,155,159,-4, ,2015-09-03
160,1,Liberia,154,150,+4, ,2015-09-03
160,1,Malta,154,157,-3, ,2015-09-03
162, ,Myanmar,142,142,-, ,2015-09-03
163, ,Timor-Leste,130,130,-, ,2015-09-03
164, ,Bhutan,128,128,-, ,2015-09-03
165, ,Indonesia,121,124,-3, ,2015-09-03
166,1,New Caledonia,120,118,+2, ,2015-09-03
166,1,Suriname,120,124,-4, ,2015-09-03
168,1,Central African Republic,118,111,+7, ,2015-09-03
169,1,Malaysia,115,116,-1, ,2015-09-03
170,1,Pakistan,105,101,+4, ,2015-09-03
171,1,Chad,100,100,-, ,2015-09-03
172,1,Dominica,98,98,-, ,2015-09-03
173,3,Bangladesh,95,102,-7, ,2015-09-03
174,3,Laos,92,86,+6, ,2015-09-03
175,1,Yemen,90,96,-6, ,2015-09-03
176, ,US Virgin Islands,88,88,-, ,2015-09-03
177,2,Maldives,82,90,-8, ,2015-09-03
178, ,Montserrat,74,74,-, ,2015-09-03
179, ,Chinese Taipei,72,72,-, ,2015-09-03
180, ,Cambodia,66,66,-, ,2015-09-03
181,17,Fiji,64,17,+47, ,2015-09-03
182,4,Tahiti,61,50,+11, ,2015-09-03
182,1,Brunei Darussalam,61,61,-, ,2015-09-03
184,2,Sri Lanka,59,62,-3, ,2015-09-03
185,4,Mauritius,56,63,-7, ,2015-09-03
185,1,Nepal,56,57,-1, ,2015-09-03
187,1,Macau,49,49,-, ,2015-09-03
187,2,Cayman Islands,49,48,+1, ,2015-09-03
187,4,Solomon Islands,49,47,+2, ,2015-09-03
190,4,Comoros,48,50,-2, ,2015-09-03
190,1,Sao Tome e Principe,48,48,-, ,2015-09-03
192,7,Seychelles,43,56,-13, ,2015-09-03
193,1,San Marino,40,40,-, ,2015-09-03
194,1,Turks and Caicos Islands,33,33,-, ,2015-09-03
195,1,British Virgin Islands,27,27,-, ,2015-09-03
196,1,Samoa,25,19,+6, ,2015-09-03
197,1,Vanuatu,23,20,+3, ,2015-09-03
198,3,South Sudan,22,22,-, ,2015-09-03
199,1,American Samoa,17,12,+5, ,2015-09-03
199,1,Tonga,17,17,-, ,2015-09-03
201,2,Eritrea,8,8,-, ,2015-09-03
202,2,Mongolia,6,6,-, ,2015-09-03
202,1,Andorra,6,9,-3, ,2015-09-03
202,2,Somalia,6,6,-, ,2015-09-03
205,1,Djibouti,4,4,-, ,2015-09-03
205,1,Cook Islands,4,4,-, ,2015-09-03
205,4,Papua New Guinea,4,9,-5, ,2015-09-03
208, ,Anguilla,0,0,-, ,2015-09-03
208, ,Bahamas,0,0,-, ,2015-09-03
