Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
174,2,Comoros,43,43,-,,2010-09-15
175,6,Solomon Islands,40,60,-20,,2010-09-15
176,3,Somalia,39,39,-,,2010-09-15
177,4,Laos,37,39,-2,,2010-09-15
178,,Dominica,33,33,-,,2010-09-15
178,,Cambodia,33,33,-,,2010-09-15
180,,Mongolia,32,32,-,,2010-09-15
181,3,Dominican Republic,26,26,-,,2010-09-15
181,5,Samoa,26,38,-12,,2010-09-15
181,8,Cayman Islands,26,39,-13,,2010-09-15
184,1,Seychelles,22,24,-2,,2010-09-15
185,2,Brunei Darussalam,21,21,-,,2010-09-15
186,6,Turks and Caicos Islands,19,32,-13,,2010-09-15
186,2,St. Lucia,19,19,-,,2010-09-15
188,3,Djibouti,18,18,-,,2010-09-15
188,3,British Virgin Islands,18,18,-,,2010-09-15
190,3,Cook Islands,17,17,-,,2010-09-15
190,4,Tonga,17,23,-6,,2010-09-15
190,3,Guam,17,17,-,,2010-09-15
193,10,Mauritius,16,27,-11,,2010-09-15
194,6,Tahiti,13,19,-6,,2010-09-15
194,1,Afghanistan,13,13,-,,2010-09-15
194,17,Bahamas,13,34,-21,,2010-09-15
197,1,Macau,12,12,-,,2010-09-15
198,1,Bhutan,9,9,-,,2010-09-15
199,1,Aruba,7,7,-,,2010-09-15
200,1,US Virgin Islands,5,5,-,,2010-09-15
201,1,Timor-Leste,4,4,-,,2010-09-15
202,1,Andorra,2,2,-,,2010-09-15
203,1,Papua New Guinea,0,0,-,,2010-09-15
203,1,San Marino,0,0,-,,2010-09-15
203,1,Anguilla,0,0,-,,2010-09-15
203,1,American Samoa,0,0,-,,2010-09-15
203,1,Montserrat,0,0,-,,2010-09-15
208,,Sao Tome e Principe,0,0,-,,2010-09-15
