,name,age,year,nation,current_rating,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,finishing,gk,passing,defending,mentality_penalties
21,Wayne Mark Rooney,28,2015,England,86,85,83,,84,78,74,89,85,91,77,86,14+2,77,54,81.0
22,Vincent Jean Mpoy Kompany,28,2015,Belgium,86,74,64,,84,61,68,70,88,76,77,45,13+2,80,90,63.0
23,Sergio Leonel Agüero del Castillo,26,2015,Argentina,86,88,89,,86,70,92,66,68,85,84,89,17+2,84,20,86.0
24,Mesut Özil,25,2015,Germany,86,91,87,,87,83,77,64,57,70,71,74,15+1,88,25,76.0
25,Mats Hummels,25,2015,Germany,86,77,68,,85,64,63,67,86,71,68,57,13+2,80,89,72.0
26,Ángel Fabián Di María Hernández,26,2015,Argentina,86,86,88,,80,91,90,79,64,88,90,75,14+2,82,63,73.0
27,Marco Reus,25,2015,Germany,86,83,88,,87,82,89,77,66,85,92,85,17+1,85,32,83.0
28,Thomas Müller,24,2015,Germany,86,82,78,,91,84,79,90,68,77,83,88,15+2,85,41,86.0
29,Neymar da Silva Santos Júnior,22,2015,Brazil,86,90,94,,86,71,91,86,45,77,89,85,16+3,72,24,81.0
30,Thibaut Nicolas Marc Courtois,22,2015,Belgium,86,23,25,,76,25,46,38,70,36,52,25,85+1,32,25,27.0
31,James David Rodríguez Rubio,22,2015,Colombia,86,85,86,,85,81,79,73,73,79,79,80,17+2,83,36,81.0
32,Petr Čech,32,2015,Czech Republic,85,32,25,,86,25,45,32,65,21,52,25,83+2,35,25,43.0
33,Carlos Alberto Tevez,30,2015,Argentina,85,88,86,,88,73,87,89,81,85,85,87,8+1,82,55,83.0
34,Karim Benzema,26,2015,France,85,85,82,,83,75,83,74,78,83,84,88,13+2,84,25,82.0
35,Hugo Lloris,27,2015,France,85,34,25,,84,25,65,41,43,23,63,25,84+1,27,25,40.0
36,Javier Martínez Aginaga,25,2015,Spain,85,74,65,,85,60,51,82,87,75,55,55,13+1,79,87,58.0
37,Juan Manuel Mata García,26,2015,Spain,85,88,85,,87,83,83,79,52,74,66,77,13+1,86,22,71.0
38,Edinson Roberto Cavani Gómez,27,2015,Uruguay,85,83,80,,85,70,76,90,76,85,82,83,15+2,74,45,82.0
39,Diego da Silva Costa,25,2015,Spain,85,82,82,,85,63,79,85,91,82,85,90,15+1,65,39,76.0
40,Arturo Erasmo Vidal Pardo,27,2015,Chile,85,84,80,,84,76,79,93,75,77,77,78,8+2,85,83,86.0
41,Toni Kroos,24,2015,Germany,85,86,84,,87,86,63,75,74,87,54,76,14+2,91,63,73.0
42,Jérôme Boateng,25,2015,Germany,85,76,67,,79,68,68,73,88,78,85,34,12+2,76,84,46.0
43,Sergio Busquets i Burgos,25,2015,Spain,85,83,74,,84,62,59,86,77,61,54,60,13+2,85,84,60.0
44,Mario Götze,22,2015,Germany,85,90,90,,87,75,81,71,64,68,79,79,14+1,86,29,67.0
45,Iker Casillas Fernández,33,2015,Spain,84,26,25,,80,25,65,43,70,26,63,25,82+2,21,25,24.0
46,Andrea Pirlo,35,2015,Italy,84,92,78,,89,82,55,61,60,78,33,59,9+2,92,59,83.0
47,Xabier Alonso Olano,32,2015,Spain,84,83,60,,80,79,55,61,77,86,55,58,13+2,87,81,82.0
48,Daniele De Rossi,30,2015,Italy,84,81,73,,82,69,69,84,84,81,68,63,14+1,85,85,75.0
49,Giorgio Chiellini,29,2015,Italy,84,52,56,,78,61,73,75,90,81,79,40,8+1,55,87,55.0
50,Wesley Sneijder,30,2015,Netherlands,84,87,84,,77,83,76,71,61,86,75,76,13+1,87,51,80.0
51,Arda Turan,27,2015,Turkey,84,88,86,,83,82,79,71,69,74,73,72,15+1,85,64,73.0
52,Santiago Cazorla González,29,2015,Spain,84,86,87,,85,83,79,65,60,78,68,77,14+1,86,31,75.0
53,Klaas-Jan Huntelaar,30,2015,Netherlands,84,77,69,,88,63,67,68,78,87,69,88,14+1,74,33,77.0
54,Gerard Piqué Bernabéu,27,2015,Spain,84,76,50,,81,50,60,69,83,53,71,58,15+2,84,87,69.0
55,Francesc Fàbregas i Soler,27,2015,Spain,84,87,81,,83,83,67,74,64,77,68,78,16+1,91,66,86.0
56,Samir Nasri,27,2015,France,84,88,86,,83,81,79,72,64,75,79,76,14+1,86,37,81.0
57,Gonzalo Gerardo Higuaín,26,2015,Argentina,84,83,81,,82,72,79,70,80,83,82,89,12+1,70,25,77.0
58,Salvatore Sirigu,27,2015,Italy,84,25,25,,78,25,50,34,66,42,51,25,83+1,23,25,33.0
59,Medhi Amine El Mouttaqi Benatia,27,2015,Morocco,84,71,59,,83,45,74,76,87,61,75,49,12,65,88,46.0
60,Sami Khedira,27,2015,Germany,84,77,60,,83,55,58,88,89,82,55,62,15+1,85,88,61.0
61,Diego Roberto Godín Leal,28,2015,Uruguay,84,67,53,,81,55,64,73,78,67,69,42,13+1,73,84,50.0
62,Alexis Alejandro Sánchez Sánchez,25,2015,Chile,84,85,88,,81,75,90,76,59,78,86,83,16+1,77,39,73.0
63,Oscar dos Santos Emboaba Júnior,22,2015,Brazil,84,86,85,,81,70,84,76,31,76,79,75,16+1,85,50,68.0
64,Roman Weidenfeller,33,2015,Germany,83,25,25,,85,25,32,32,74,44,33,25,82+1,31,25,29.0
65,John Terry,33,2015,England,83,61,45,,82,42,34,67,84,61,47,46,15+1,63,85,52.0
66,Per Mertesacker,29,2015,Germany,83,65,39,,85,38,29,64,90,71,33,36,15+1,71,87,42.0
67,Jérémy Toulalan,30,2015,France,83,79,69,,82,68,54,91,79,78,52,27,12+1,83,88,56.0
68,Kléper Laveran de Lima Ferreira,31,2015,Portugal,83,57,58,,73,46,69,75,83,63,77,46,14+1,67,86,57.0
69,Andrea Barzagli,33,2015,Italy,83,66,52,,80,43,75,69,84,51,75,30,8+1,67,87,55.0
70,Nemanja Vidić,32,2015,Serbia,83,62,43,,76,39,49,64,90,56,55,36,11+1,64,85,58.0
71,Javier Alejandro Mascherano,30,2015,Argentina,83,82,58,,84,63,69,87,74,76,69,51,11+1,78,87,64.0
72,Álvaro Negredo Sánchez,28,2015,Spain,83,80,78,,80,53,70,72,88,88,75,84,14+1,76,34,82.0
73,Daniel Alves da Silva,31,2015,Brazil,83,85,81,,85,85,84,79,55,88,87,60,12+2,83,81,70.0
74,Jesús Navas González,28,2015,Spain,83,83,83,,82,84,92,79,34,78,90,67,15+1,80,20,56.0
75,Diego López Rodríguez,32,2015,Spain,83,23,25,,76,25,34,42,75,27,52,25,82+1,28,25,31.0
76,Igor Akinfeev,28,2015,Russia,83,22,25,,78,25,56,35,67,24,56,25,82+1,23,25,25.0
77,Jefferson Agustín Farfán Guadalupe,29,2015,Peru,83,83,86,,82,84,88,77,78,81,87,77,17+1,82,43,80.0
78,João Filipe Iria Santos Moutinho,27,2015,Portugal,83,84,81,,82,78,79,91,60,76,69,72,18+1,86,75,70.0
79,Samir Handanovič,29,2015,Slovenia,83,32,25,,84,25,57,41,65,36,57,25,83,33,25,23.0
80,Stéphane Ruffier,27,2015,France,83,26,25,,75,25,55,37,76,21,54,25,82+1,33,25,25.0
81,João Miranda de Souza Filho,29,2015,Brazil,83,64,49,,75,48,74,71,79,70,77,43,15+1,64,83,49.0
82,Ivan Rakitić,26,2015,Croatia,83,86,81,,78,89,69,79,63,85,69,80,14+1,85,59,78.0
83,Ezequiel Marcelo Garay,27,2015,Argentina,83,73,62,,77,62,50,70,85,76,54,48,16+1,72,87,76.0
84,Blaise Matuidi,27,2015,France,83,77,73,,83,72,77,95,75,74,79,65,15+1,83,84,56.0
85,Daniel Andre Sturridge,24,2015,England,83,81,84,,82,62,88,72,73,83,90,85,14+1,75,24,75.0
86,Claudio Marchisio,28,2015,Italy,83,84,82,,84,76,79,88,73,75,79,74,8+1,85,77,75.0
87,Antonio Candreva,27,2015,Italy,83,85,85,,79,87,86,93,70,90,84,72,13,83,59,88.0
88,Claudio Andrés Bravo Muñoz,31,2015,Chile,83,25,25,,83,25,58,44,70,32,54,25,83,32,25,23.0
89,Miralem Pjanić,24,2015,Bosnia and Herzegovina,83,89,83,,85,77,72,76,60,79,72,70,12+1,89,67,79.0
90,Edin Džeko,28,2015,Bosnia and Herzegovina,83,82,82,,81,63,69,72,80,88,72,84,17+1,72,28,74.0
91,Mario Mandžukić,28,2015,Croatia,83,79,75,,83,64,74,84,87,83,76,85,14+1,74,48,80.0
92,Aaron James Ramsey,23,2015,Wales,83,82,81,,81,74,73,93,71,81,69,77,13+1,84,77,76.0
93,İlkay Gündoğan,23,2015,Germany,83,86,87,,86,73,82,65,73,76,77,65,15+1,87,71,72.0
94,香川 真司,25,2015,Japan,83,85,88,,85,59,90,88,38,62,76,77,15+1,85,25,70.0
95,Givanildo Vieira de Souza,27,2015,Brazil,83,82,84,,83,80,84,84,90,94,85,85,14+1,83,41,83.0
96,Pedro Eliezer Rodríguez Ledesma,26,2015,Spain,83,85,84,,88,78,86,78,52,71,80,80,15+1,83,32,66.0
97,David De Gea Quintana,23,2015,Spain,83,31,25,,78,25,51,25,64,31,55,25,82+1,31,21,40.0
98,Juan Guillermo Cuadrado Bello,26,2015,Colombia,83,85,89,,75,83,92,80,64,83,94,75,11+1,79,59,65.0
99,Paul Pogba,21,2015,France,83,88,84,,78,73,75,87,90,89,77,70,9+1,82,79,67.0
100,Francisco Román Alarcón Suárez,22,2015,Spain,83,89,86,,79,72,78,70,59,73,74,76,14,87,23,76.0
101,Gianluigi Buffon,36,2015,Italy,82,24,20,,74,25,45,39,60,47,33,25,80+2,37,25,35.0
102,Steven Gerrard,34,2015,England,82,82,74,,86,86,62,76,82,90,64,79,15+2,86,73,85.0
103,Timothy Matthew Howard,35,2015,United States,82,25,25,,82,25,50,26,71,25,48,25,81+1,32,25,42.0
104,Daniel Miguel Alves Gomes,30,2015,Portugal,82,86,85,,74,73,86,69,40,71,85,79,12,85,33,76.0
105,Júlio César Soares de Espíndola,34,2015,Brazil,82,33,25,,83,25,39,35,66,35,41,25,81+1,36,25,40.0
106,Thiago Motta,31,2015,Italy,82,83,73,,78,66,48,80,85,82,52,54,14+1,84,81,70.0
107,René Adler,29,2015,Germany,82,30,25,,83,25,46,26,66,35,37,25,82,38,25,25.0
108,Alex Rodrigo Dias da Costa,32,2015,Brazil,82,59,53,,75,37,53,64,92,90,55,50,14+1,61,84,80.0
109,Diego Ribas da Cunha,29,2015,Brazil,82,84,85,,85,80,77,57,66,75,74,69,14+1,87,42,82.0
110,Pablo Javier Zabaleta Girod,29,2015,Argentina,82,77,73,,85,75,75,84,79,66,74,41,14+1,79,85,64.0
111,Gabriel Fernández Arenas,30,2015,Spain,82,80,73,,81,67,69,82,69,81,68,67,13+1,85,79,83.0
112,Mario Gómez García,28,2015,Germany,82,76,69,,78,63,71,66,86,82,78,86,12+1,69,25,75.0
113,Charles Joseph John Hart,27,2015,England,82,20,25,,81,25,59,28,61,25,60,25,81+1,32,25,44.0
114,Rodrigo Sebastián Palacio,32,2015,Argentina,82,86,83,,83,76,86,71,61,73,85,85,20,79,25,83.0
115,Dante Bonfim da Costa Santos,30,2015,Brazil,82,76,68,,82,71,62,65,82,77,65,48,15+1,77,83,60.0
116,Ezequiel Iván Lavezzi,29,2015,Argentina,82,82,84,,80,78,86,75,72,81,88,76,14+1,78,39,68.0
117,Borja Valero Iglesias,29,2015,Spain,82,87,79,,83,81,74,76,66,79,68,71,11,88,69,73.0
118,Giuseppe Rossi,27,2015,Italy,82,87,83,,79,69,86,65,56,79,81,85,11+1,77,24,87.0
119,Leighton Baines,29,2015,England,82,77,77,,80,88,75,85,68,84,79,70,16+1,84,82,86.0
120,Steve Mandanda,29,2015,France,82,23,25,,79,25,53,31,61,34,43,25,81+1,31,25,25.0
121,Filipe Luís Kasmirski,28,2015,Brazil,82,84,77,,82,86,79,89,74,71,85,59,14,75,81,65.0
122,Jakub Błaszczykowski,28,2015,Poland,82,83,83,,82,82,88,80,71,80,87,70,17+1,82,60,75.0
123,Carlos Alberto Vela Garrido,25,2015,Mexico,82,85,86,,78,72,87,64,69,68,85,82,15+1,80,22,71.0
124,Marek Hamšík,26,2015,Slovakia,82,84,81,,80,79,73,78,69,76,73,77,14+1,86,59,70.0
125,Asmir Begović,27,2015,Bosnia and Herzegovina,82,24,25,,78,25,52,36,82,28,58,25,82,26,25,40.0
126,Jan Bert Lieve Vertonghen,27,2015,Belgium,82,74,67,,80,68,69,79,81,86,75,60,13+1,80,83,68.0
127,Sokratis Papastathopoulos,26,2015,Greece,82,67,61,,80,65,75,69,86,66,81,45,12,66,85,55.0
128,Simon Luc Hildebert Mignolet,26,2015,Belgium,82,23,25,,69,25,55,31,72,44,59,25,81+1,38,25,40.0
129,Łukasz Piszczek,29,2015,Poland,82,77,74,,83,84,78,87,80,77,84,64,15,77,84,62.0
130,Dries Mertens,27,2015,Belgium,82,87,87,,76,79,92,76,36,79,85,76,12,81,41,80.0
131,Marcelo Vieira da Silva Júnior,26,2015,Brazil,82,86,83,,85,85,79,82,75,83,83,64,12+1,80,79,59.0
132,Benedikt Höwedes,26,2015,Germany,82,72,60,,82,65,64,69,81,62,68,53,14,74,83,56.0
133,David Luiz Moreira Marinho,27,2015,Brazil,82,79,69,,74,68,75,75,77,73,78,56,15+2,77,82,75.0
134,Willian Borges da Silva,25,2015,Brazil,82,87,88,,81,74,92,86,61,71,86,75,16,82,62,51.0
135,Anderson Hernanes de Carvalho Andrade,29,2015,Brazil,82,87,85,,81,79,69,77,72,87,72,76,13+1,85,71,84.0
136,Néstor Fernando Muslera Micol,28,2015,Uruguay,82,35,25,,84,25,63,45,64,25,64,25,82,38,25,44.0
137,Neven Subotić,25,2015,Serbia,82,64,48,,79,47,67,67,84,83,75,44,11+1,68,86,67.0
138,Osvaldo Nicolás Fabián Gaitán,26,2015,Argentina,82,85,87,,83,83,85,70,50,75,82,73,12,80,42,71.0
139,Luiz Gustavo Dias,26,2015,Brazil,82,77,70,,83,67,75,85,79,77,69,45,15+1,80,87,56.0
140,Mario Barwuah Balotelli,23,2015,Italy,82,87,83,,66,65,82,72,87,85,82,82,6+2,73,24,92.0
141,Seydou Doumbia,26,2015,Côte d'Ivoire,82,81,86,,79,45,91,94,66,80,94,86,14,75,38,78.0
142,Christian Dannemann Eriksen,22,2015,Denmark,82,85,84,,81,83,84,87,47,78,78,70,13+1,83,52,67.0
143,Nemanja Matić,25,2015,Serbia,82,79,78,,81,68,66,90,84,78,68,64,15,82,83,69.0
144,Marc-André ter Stegen,22,2015,Germany,82,28,25,,81,25,38,35,79,38,50,25,82,30,25,33.0
145,Bernd Leno,22,2015,Germany,82,28,25,,82,25,46,43,68,43,52,25,82,36,25,23.0
146,Jorge Resurrección Merodio,22,2015,Spain,82,86,79,,84,84,77,82,72,81,74,68,16,86,51,59.0
147,Antoine Griezmann,23,2015,France,82,80,86,,80,82,85,75,62,75,85,80,16,74,22,64.0
148,Jackson Arley Martínez Valencia,27,2015,Colombia,82,79,77,,80,61,78,84,86,85,85,86,16,72,47,70.0
149,David Olatukunbo Alaba,22,2015,Austria,82,83,81,,84,85,87,88,65,78,86,63,14+1,84,81,74.0
150,Lucas Rodrigues Moura da Silva,21,2015,Brazil,82,83,88,,83,76,95,72,57,83,91,69,15,78,43,75.0
151,Francisco Amorebielsa,28,2015,Venezuela,82,60,44,,73,48,53,68,91,69,53,38,14+1,67,84,56.0
152,Samuel Eto'o Fils,33,2015,Cameroon,81,81,83,,84,69,74,68,72,82,77,82,15+1,72,39,85.0
153,Miroslav Klose,36,2015,Germany,81,78,73,,78,64,72,53,73,77,69,86,13+2,71,27,81.0
154,José Manuel Reina Páez,31,2015,Spain,81,23,25,,84,25,50,34,64,29,63,25,81,25,25,40.0
155,Dimitar Ivanov Berbatov,33,2015,Bulgaria,81,86,82,,71,78,59,55,73,83,68,85,15+1,85,25,86.0
156,Didier Yves Drogba Tébily,36,2015,Côte d'Ivoire,81,80,77,,75,75,64,66,83,86,70,83,14+1,74,32,84.0
157,Ashley Cole,33,2015,England,81,76,71,,86,76,74,84,69,74,72,42,12+1,77,82,69.0
158,Rafael van der Vaart,31,2015,Netherlands,81,83,81,,82,77,54,68,63,80,53,76,16+1,82,36,78.0
159,Fernando José Torres Sanz,30,2015,Spain,81,82,81,,81,73,81,70,73,84,76,78,16+1,75,29,75.0
160,Nigel de Jong,29,2015,Netherlands,81,79,65,,75,59,74,80,82,71,68,39,7+1,82,82,58.0
161,Cédric Carrasso,32,2015,France,81,22,25,,73,25,38,31,71,27,42,25,80+1,24,25,25.0
162,Felipe Melo de Carvalho,31,2015,Brazil,81,76,75,,79,69,74,82,87,84,80,63,13+1,81,81,73.0
163,Fernando Luiz Rosa,29,2015,Brazil,81,83,80,,82,78,77,82,71,81,78,70,15+1,85,76,61.0
164,Stefan Kießling,30,2015,Germany,81,74,69,,85,68,64,86,79,83,68,88,13,78,50,79.0
165,Luís Carlos Almeida da Cunha,27,2015,Portugal,81,83,87,,76,81,87,72,63,85,81,74,11,80,22,72.0
166,Tolga Zengin,30,2015,Turkey,81,29,25,,79,25,42,37,74,25,44,25,81,24,25,25.0
167,Roberto Soldado Rillo,29,2015,Spain,81,79,75,,81,67,75,75,76,82,76,84,14+1,70,40,85.0
168,Ânderson Luís da Silva,33,2015,Brazil,81,65,50,,77,58,32,47,88,78,44,45,16,67,85,66.0
169,Daniel Munthe Agger,29,2015,Denmark,81,71,56,,75,54,68,76,77,86,77,58,16+1,76,84,67.0
170,Clint Dempsey,31,2015,United States,81,83,83,,79,70,74,80,74,83,73,80,14+1,80,45,71.0
171,Riccardo Montolivo,29,2015,Italy,81,83,73,,79,77,54,78,71,83,64,59,8+1,85,74,77.0
172,Fernando Javier Llorente Torres,29,2015,Spain,81,80,72,,82,43,55,75,93,83,65,84,7+1,70,33,69.0
173,Mbark Boussoufa,29,2015,Morocco,81,84,86,,77,81,84,84,34,72,76,72,17,83,42,71.0
174,Gary Cahill,28,2015,England,81,64,58,,84,28,69,68,79,63,78,56,13,65,85,53.0
175,Theo Walcott,25,2015,England,81,80,81,,82,78,97,75,60,76,96,83,13+1,77,33,67.0
176,Laurent Koscielny,28,2015,France,81,67,62,,78,54,79,73,71,54,82,32,15+1,75,85,51.0
177,Diego Alves Carreira,29,2015,Brazil,81,25,25,,78,25,55,43,67,45,54,25,81,33,25,30.0
178,Martin Škrtel,29,2015,Slovakia,81,60,46,,73,39,56,75,85,46,69,35,13+1,65,83,52.0
179,Yohan Cabaye,28,2015,France,81,83,74,,79,77,67,83,66,82,69,70,14+1,85,72,82.0
180,Giovani dos Santos Ramírez,25,2015,Mexico,81,87,88,,81,71,87,68,49,81,85,83,11+1,69,28,70.0
181,Gervais Lombe Yao Kouassi,27,2015,Côte d'Ivoire,81,80,85,,80,75,94,91,56,69,92,73,15+1,74,39,63.0
182,Nuri Şahin,25,2015,Turkey,81,85,81,,83,82,59,68,61,72,51,63,16+1,84,68,57.0
183,Leandro Castán da Silva,27,2015,Brazil,81,69,49,,77,39,69,72,84,63,73,31,11,59,85,45.0
184,Mathieu Valbuena,29,2015,France,81,83,80,,78,80,90,81,35,75,82,71,14+1,82,26,72.0
185,Lars Bender,25,2015,Germany,81,76,73,,82,69,67,94,76,74,69,59,14+1,83,84,52.0
186,Sven Bender,25,2015,Germany,81,74,60,,82,56,65,93,75,75,66,44,16,82,86,58.0
187,Javier Hernández Balcázar,26,2015,Mexico,81,77,74,,73,62,87,75,57,75,85,88,16+1,67,29,80.0
188,Branislav Ivanović,30,2015,Serbia,81,64,57,,84,71,65,78,85,72,69,56,15+1,66,86,57.0
189,Stevan Jovetić,24,2015,Montenegro,81,82,85,,83,72,77,75,74,83,79,83,13,82,42,84.0
190,António Alberto Bastos Pimparel,32,2015,Portugal,81,28,25,,76,25,47,40,52,36,34,25,81,36,25,28.0
191,Mamadou Sakho,24,2015,France,81,66,50,,66,60,68,72,88,51,68,23,14+1,71,84,40.0
192,Sofiane Feghouli,24,2015,Algeria,81,85,87,,84,80,88,85,58,83,81,69,14,77,47,62.0
193,Ramires Santos do Nascimento,27,2015,Brazil,81,82,82,,82,76,86,94,59,75,90,67,14+1,83,82,67.0
194,Philippe Coutinho Correia,22,2015,Brazil,81,86,87,,73,74,89,63,49,69,75,66,14,85,38,64.0
195,Jordi Alba Ramos,25,2015,Spain,81,79,80,,83,81,93,92,67,64,92,73,16+1,78,82,59.0
196,Jack Wilshere,22,2015,England,81,84,84,,80,75,77,84,72,75,75,64,15+1,84,62,65.0
197,Thiago Alcântara do Nascimento,23,2015,Spain,81,88,86,,76,59,77,74,58,69,68,69,14+1,87,58,75.0
198,Ander Iturraspe Derteano,25,2015,Spain,81,77,72,,83,61,68,82,82,78,66,65,12,85,82,57.0
199,Kevin Strootman,24,2015,Netherlands,81,81,75,,81,69,66,86,84,85,68,66,12,83,79,71.0
200,Wilfried Guemiand Bony,25,2015,Côte d'Ivoire,81,77,74,,81,45,69,78,94,89,77,80,13,68,42,77.0
201,Henrikh Mkhitaryan,25,2015,Armenia,81,83,86,,81,64,88,85,66,75,84,74,12,83,53,70.0
202,Kevin De Bruyne,23,2015,Belgium,81,83,82,,78,78,75,83,74,82,78,78,16,82,39,75.0
203,André Schürrle,23,2015,Germany,81,78,86,,83,77,92,76,64,86,85,81,14+1,79,36,81.0
204,Raphaël Varane,21,2015,France,81,72,57,,78,36,74,69,80,52,77,40,14+1,73,84,43.0
205,Roberto Firmino Barbosa de Oliveira,22,2015,Brazil,81,83,87,,78,70,78,76,72,73,77,80,13,83,30,63.0
206,Carlos Arturo Bacca Ahumada,27,2015,Colombia,81,79,80,,82,61,84,73,78,81,79,84,14,67,25,79.0
207,Aymeric Laporte,20,2015,France,81,70,43,,73,31,65,74,83,37,69,25,14,68,84,35.0
208,Francesco Totti,37,2015,Italy,80,91,80,,83,83,48,55,78,86,34,81,14+1,90,24,89.0
209,Tiago Cardoso Mendes,33,2015,Portugal,80,84,70,,78,61,62,75,76,79,64,58,13+1,84,78,57.0
210,Gareth Barry,33,2015,England,80,76,67,,81,80,33,79,77,77,60,63,14,85,80,72.0
211,Antonio Cassano,31,2015,Italy,80,91,86,,84,87,56,60,74,74,52,78,13+1,89,25,84.0
212,Tomáš Rosický,33,2015,Czech Republic,80,85,84,,79,77,76,74,61,76,73,65,16,83,45,74.0
213,Ricardo Andrade Quaresma Bernardo,30,2015,Portugal,80,86,87,,74,81,85,68,65,82,83,66,15,75,25,74.0
214,Ronaldo de Assis Moreira,34,2015,Brazil,80,91,86,,72,84,56,41,72,74,51,70,14+1,84,28,86.0
215,Mikel Arteta Amatriain,32,2015,Spain,80,83,79,,81,79,46,67,62,78,41,67,16+1,87,72,85.0
216,Jermain Colin Defoe,31,2015,England,80,76,77,,76,53,83,74,62,87,84,87,14,67,25,67.0
217,Patrice Evra,33,2015,France,80,76,76,,80,79,79,79,75,73,79,40,9+1,76,81,57.0
218,Emmanuel Adebayor,30,2015,Togo,80,77,81,,76,57,68,70,84,81,77,82,14+1,77,24,84.0
219,Andoni Iraola Sagarna,32,2015,Spain,80,80,77,,82,88,79,87,78,72,78,58,15,73,80,62.0
220,Aritz Aduriz Zubeldia,33,2015,Spain,80,77,69,,82,54,65,69,81,83,69,83,16,75,44,75.0
221,Jérémy Mathieu,30,2015,France,80,65,45,,80,79,74,66,90,80,78,52,14,66,84,60.0
222,David Villa Sánchez,32,2015,Spain,80,84,82,,82,71,75,62,66,80,72,84,14+1,74,28,92.0
223,Diego Orlando Benaglio,30,2015,Switzerland,80,24,25,,80,25,42,43,76,36,48,25,79+1,32,25,28.0
224,Bruno Eduardo Regufe Alves,32,2015,Portugal,80,70,59,,75,51,67,75,85,81,62,48,16+1,64,81,68.0
225,Vincent Enyeama,31,2015,Nigeria,80,23,25,,62,25,42,32,71,35,48,25,80,39,25,75.0
226,Francisco Guillermo Ochoa Magaña,28,2015,Mexico,80,28,25,,75,25,47,34,56,24,50,25,79+1,26,25,25.0
227,Raffael Caetano de Araújo,29,2015,Brazil,80,83,86,,82,73,77,77,63,77,72,80,16,81,42,72.0
228,Igor Denisov,30,2015,Russia,80,79,74,,75,71,75,91,62,67,77,64,15,82,84,62.0
229,Rio Antonio Zoba Mavuba,30,2015,France,80,76,69,,80,68,68,87,71,68,65,42,13+1,82,80,57.0
230,Gaël Dimitri Clichy,28,2015,France,80,78,77,,83,77,84,82,66,51,85,33,13+1,78,80,44.0
231,Raúl Albiol Tortajada,28,2015,Spain,80,66,54,,80,43,60,62,82,65,62,37,12,71,84,42.0
232,Alexandre Dimitri Song-Billong,26,2015,Cameroon,80,77,65,,80,62,68,86,82,68,73,61,15+1,76,81,66.0
233,Mathieu Debuchy,28,2015,France,80,75,72,,76,80,77,89,71,74,75,59,14+1,77,81,66.0
234,Loïc Perrin,28,2015,France,80,74,62,,78,69,68,74,76,75,74,60,14,74,84,68.0
235,Mousa Sidi Yaya Dembélé,26,2015,Belgium,80,85,86,,77,64,78,82,87,84,79,65,18+1,83,75,66.0
236,Bacary Sagna,31,2015,France,80,74,75,,82,75,73,81,76,68,75,48,13+1,78,83,58.0
